county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Adams,Abbottstown,Attorney General,,DEM,EUGENE DEPASQUALE,135,91,,42,2
Adams,Abbottstown,Attorney General,,REP,DAVE SUNDAY,348,285,,62,1
Adams,Abbottstown,Attorney General,,LIB,ROBERT COWBURN,13,12,,1,0
Adams,Abbottstown,Attorney General,,GNP,RICHARD L WEISS,3,2,,1,0
Adams,Abbottstown,Attorney General,,CST,JUSTIN L MAGILL,2,2,,0,0
Adams,Abbottstown,Attorney General,,FWD,ERIC L SETTLE,1,1,,0,0
Adams,Abbottstown,Attorney General,,,Write-ins,0,0,,0,0
Adams,Abbottstown,Attorney General,,,Not Assigned,0,0,,0,0
Adams,Abbottstown,Attorney General,,,Over Votes,0,0,,0,0
Adams,Abbottstown,Attorney General,,,Under Votes,7,5,,2,0
Adams,Arendtsville,Attorney General,,DEM,EUGENE DEPASQUALE,149,108,,40,1
Adams,Arendtsville,Attorney General,,REP,DAVE SUNDAY,272,230,,38,4
Adams,Arendtsville,Attorney General,,LIB,ROBERT COWBURN,4,4,,0,0
Adams,Arendtsville,Attorney General,,GNP,RICHARD L WEISS,3,3,,0,0
Adams,Arendtsville,Attorney General,,CST,JUSTIN L MAGILL,7,7,,0,0
Adams,Arendtsville,Attorney General,,FWD,ERIC L SETTLE,3,2,,1,0
Adams,Arendtsville,Attorney General,,,Write-ins,1,1,,0,0
Adams,Arendtsville,Attorney General,,,Not Assigned,1,1,,0,0
Adams,Arendtsville,Attorney General,,,Over Votes,0,0,,0,0
Adams,Arendtsville,Attorney General,,,Under Votes,7,5,,2,0
Adams,Bendersville,Attorney General,,DEM,EUGENE DEPASQUALE,91,73,,18,0
Adams,Bendersville,Attorney General,,REP,DAVE SUNDAY,204,187,,17,0
Adams,Bendersville,Attorney General,,LIB,ROBERT COWBURN,4,4,,0,0
Adams,Bendersville,Attorney General,,GNP,RICHARD L WEISS,1,1,,0,0
Adams,Bendersville,Attorney General,,CST,JUSTIN L MAGILL,0,0,,0,0
Adams,Bendersville,Attorney General,,FWD,ERIC L SETTLE,0,0,,0,0
Adams,Bendersville,Attorney General,,,Write-ins,0,0,,0,0
Adams,Bendersville,Attorney General,,,Not Assigned,0,0,,0,0
Adams,Bendersville,Attorney General,,,Over Votes,0,0,,0,0
Adams,Bendersville,Attorney General,,,Under Votes,0,0,,0,0
Adams,Berwick,Attorney General,,DEM,EUGENE DEPASQUALE,400,242,,156,2
Adams,Berwick,Attorney General,,REP,DAVE SUNDAY,1056,797,,254,5
Adams,Berwick,Attorney General,,LIB,ROBERT COWBURN,20,17,,3,0
Adams,Berwick,Attorney General,,GNP,RICHARD L WEISS,12,9,,3,0
Adams,Berwick,Attorney General,,CST,JUSTIN L MAGILL,7,7,,0,0
Adams,Berwick,Attorney General,,FWD,ERIC L SETTLE,2,2,,0,0
Adams,Berwick,Attorney General,,,Write-ins,0,0,,0,0
Adams,Berwick,Attorney General,,,Not Assigned,0,0,,0,0
Adams,Berwick,Attorney General,,,Over Votes,0,0,,0,0
Adams,Berwick,Attorney General,,,Under Votes,28,20,,8,0
Adams,Biglerville,Attorney General,,DEM,EUGENE DEPASQUALE,180,124,,53,3
Adams,Biglerville,Attorney General,,REP,DAVE SUNDAY,357,298,,56,3
Adams,Biglerville,Attorney General,,LIB,ROBERT COWBURN,11,10,,1,0
Adams,Biglerville,Attorney General,,GNP,RICHARD L WEISS,6,6,,0,0
Adams,Biglerville,Attorney General,,CST,JUSTIN L MAGILL,4,4,,0,0
Adams,Biglerville,Attorney General,,FWD,ERIC L SETTLE,4,2,,2,0
Adams,Biglerville,Attorney General,,,Write-ins,1,0,,1,0
Adams,Biglerville,Attorney General,,,Not Assigned,1,0,,1,0
Adams,Biglerville,Attorney General,,,Over Votes,0,0,,0,0
Adams,Biglerville,Attorney General,,,Under Votes,5,4,,1,0
Adams,Bonneauville,Attorney General,,DEM,EUGENE DEPASQUALE,255,184,,70,1
Adams,Bonneauville,Attorney General,,REP,DAVE SUNDAY,593,503,,88,2
Adams,Bonneauville,Attorney General,,LIB,ROBERT COWBURN,16,15,,0,1
Adams,Bonneauville,Attorney General,,GNP,RICHARD L WEISS,6,5,,1,0
Adams,Bonneauville,Attorney General,,CST,JUSTIN L MAGILL,2,2,,0,0
Adams,Bonneauville,Attorney General,,FWD,ERIC L SETTLE,3,1,,1,1
Adams,Bonneauville,Attorney General,,,Write-ins,0,0,,0,0
Adams,Bonneauville,Attorney General,,,Not Assigned,0,0,,0,0
Adams,Bonneauville,Attorney General,,,Over Votes,0,0,,0,0
Adams,Bonneauville,Attorney General,,,Under Votes,12,11,,1,0
Adams,Butler,Attorney General,,DEM,EUGENE DEPASQUALE,348,183,,162,3
Adams,Butler,Attorney General,,REP,DAVE SUNDAY,1016,686,,330,0
Adams,Butler,Attorney General,,LIB,ROBERT COWBURN,39,29,,10,0
Adams,Butler,Attorney General,,GNP,RICHARD L WEISS,20,12,,8,0
Adams,Butler,Attorney General,,CST,JUSTIN L MAGILL,7,4,,3,0
Adams,Butler,Attorney General,,FWD,ERIC L SETTLE,3,3,,0,0
Adams,Butler,Attorney General,,,Write-ins,0,0,,0,0
Adams,Butler,Attorney General,,,Not Assigned,0,0,,0,0
Adams,Butler,Attorney General,,,Over Votes,0,0,,0,0
Adams,Butler,Attorney General,,,Under Votes,37,21,,16,0
Adams,Carroll Valley 1,Attorney General,,DEM,EUGENE DEPASQUALE,440,269,,170,1
Adams,Carroll Valley 1,Attorney General,,REP,DAVE SUNDAY,968,767,,200,1
Adams,Carroll Valley 1,Attorney General,,LIB,ROBERT COWBURN,25,20,,5,0
Adams,Carroll Valley 1,Attorney General,,GNP,RICHARD L WEISS,7,6,,1,0
Adams,Carroll Valley 1,Attorney General,,CST,JUSTIN L MAGILL,13,8,,5,0
Adams,Carroll Valley 1,Attorney General,,FWD,ERIC L SETTLE,4,3,,1,0
Adams,Carroll Valley 1,Attorney General,,,Write-ins,4,3,,1,0
Adams,Carroll Valley 1,Attorney General,,,Not Assigned,4,3,,1,0
Adams,Carroll Valley 1,Attorney General,,,Over Votes,1,0,,1,0
Adams,Carroll Valley 1,Attorney General,,,Under Votes,30,23,,7,0
Adams,Carroll Valley 2,Attorney General,,DEM,EUGENE DEPASQUALE,314,182,,132,0
Adams,Carroll Valley 2,Attorney General,,REP,DAVE SUNDAY,825,676,,148,1
Adams,Carroll Valley 2,Attorney General,,LIB,ROBERT COWBURN,16,12,,4,0
Adams,Carroll Valley 2,Attorney General,,GNP,RICHARD L WEISS,11,8,,3,0
Adams,Carroll Valley 2,Attorney General,,CST,JUSTIN L MAGILL,7,7,,0,0
Adams,Carroll Valley 2,Attorney General,,FWD,ERIC L SETTLE,1,1,,0,0
Adams,Carroll Valley 2,Attorney General,,,Write-ins,1,0,,1,0
Adams,Carroll Valley 2,Attorney General,,,Not Assigned,1,0,,1,0
Adams,Carroll Valley 2,Attorney General,,,Over Votes,1,1,,0,0
Adams,Carroll Valley 2,Attorney General,,,Under Votes,25,16,,9,0
Adams,Conewago 1,Attorney General,,DEM,EUGENE DEPASQUALE,470,219,,247,4
Adams,Conewago 1,Attorney General,,REP,DAVE SUNDAY,957,705,,252,0
Adams,Conewago 1,Attorney General,,LIB,ROBERT COWBURN,19,15,,4,0
Adams,Conewago 1,Attorney General,,GNP,RICHARD L WEISS,13,8,,5,0
Adams,Conewago 1,Attorney General,,CST,JUSTIN L MAGILL,6,2,,4,0
Adams,Conewago 1,Attorney General,,FWD,ERIC L SETTLE,2,2,,0,0
Adams,Conewago 1,Attorney General,,,Write-ins,2,1,,1,0
Adams,Conewago 1,Attorney General,,,Not Assigned,2,1,,1,0
Adams,Conewago 1,Attorney General,,,Over Votes,1,0,,1,0
Adams,Conewago 1,Attorney General,,,Under Votes,16,10,,5,1
Adams,Conewago 2,Attorney General,,DEM,EUGENE DEPASQUALE,398,181,,212,5
