county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Adams,Abbottstown,President,,DEM,Kamala Harris,150,100,,48,2
Adams,Abbottstown,President,,REP,Donald Trump,350,290,,59,1
Adams,Abbottstown,President,,LIB,Chase Oliver,4,3,,1,0
Adams,Abbottstown,President,,GRN,Jill Stein,3,3,,0,0
Adams,Abbottstown,President,,,Overvotes,2,2,,0,0
Adams,Abbottstown,President,,,Undervotes,0,0,,0,0
Adams,Abbottstown,President,,,Write-ins,0,0,,0,0
Adams,Arendtsville,President,,DEM,Kamala Harris,164,122,,41,1
Adams,Arendtsville,President,,REP,Donald Trump,273,231,,38,4
Adams,Arendtsville,President,,LIB,Chase Oliver,1,1,,0,0
Adams,Arendtsville,President,,GRN,Jill Stein,1,1,,0,0
Adams,Arendtsville,President,,,Overvotes,1,0,,1,0
Adams,Arendtsville,President,,,Undervotes,4,3,,1,0
Adams,Arendtsville,President,,,Write-ins,2,2,,0,0
Adams,Bendersville,President,,DEM,Kamala Harris,97,78,,19,0
Adams,Bendersville,President,,REP,Donald Trump,197,182,,15,0
Adams,Bendersville,President,,LIB,Chase Oliver,1,1,,0,0
Adams,Bendersville,President,,GRN,Jill Stein,3,2,,1,0
Adams,Bendersville,President,,,Overvotes,0,0,,0,0
Adams,Bendersville,President,,,Undervotes,1,1,,0,0
Adams,Bendersville,President,,,Write-ins,1,1,,0,0
Adams,Berwick,President,,DEM,Kamala Harris,425,253,,170,2
Adams,Berwick,President,,REP,Donald Trump,1086,835,,246,5
Adams,Berwick,President,,LIB,Chase Oliver,7,4,,3,0
Adams,Berwick,President,,GRN,Jill Stein,3,2,,1,0
Adams,Berwick,President,,,Overvotes,1,0,,1,0
Adams,Berwick,President,,,Undervotes,0,0,,0,0
Adams,Berwick,President,,,Write-ins,3,0,,3,0
Adams,Biglerville,President,,DEM,Kamala Harris,198,137,,58,3
Adams,Biglerville,President,,REP,Donald Trump,356,301,,52,3
Adams,Biglerville,President,,LIB,Chase Oliver,6,5,,1,0
Adams,Biglerville,President,,GRN,Jill Stein,1,1,,0,0
Adams,Biglerville,President,,,Overvotes,0,0,,0,0
Adams,Biglerville,President,,,Undervotes,2,0,,2,0
Adams,Biglerville,President,,,Write-ins,5,4,,1,0
Adams,Bonneauville,President,,DEM,Kamala Harris,262,184,,76,2
Adams,Bonneauville,President,,REP,Donald Trump,613,527,,83,3
Adams,Bonneauville,President,,LIB,Chase Oliver,7,5,,2,0
Adams,Bonneauville,President,,GRN,Jill Stein,1,1,,0,0
Adams,Bonneauville,President,,,Overvotes,1,1,,0,0
Adams,Bonneauville,President,,,Undervotes,1,1,,0,0
Adams,Bonneauville,President,,,Write-ins,2,2,,0,0
Adams,Butler,President,,DEM,Kamala Harris,377,193,,181,3
Adams,Butler,President,,REP,Donald Trump,1066,734,,332,0
Adams,Butler,President,,LIB,Chase Oliver,9,5,,4,0
Adams,Butler,President,,GRN,Jill Stein,4,2,,2,0
Adams,Butler,President,,,Overvotes,0,0,,0,0
Adams,Butler,President,,,Undervotes,7,0,,7,0
Adams,Butler,President,,,Write-ins,7,4,,3,0
Adams,Carroll Valley 1,President,,DEM,Kamala Harris,472,286,,185,1
Adams,Carroll Valley 1,President,,REP,Donald Trump,993,795,,197,1
Adams,Carroll Valley 1,President,,LIB,Chase Oliver,10,8,,2,0
Adams,Carroll Valley 1,President,,GRN,Jill Stein,7,5,,2,0
Adams,Carroll Valley 1,President,,,Overvotes,1,0,,1,0
Adams,Carroll Valley 1,President,,,Undervotes,1,1,,0,0
Adams,Carroll Valley 1,President,,,Write-ins,8,4,,4,0
Adams,Carroll Valley 2,President,,DEM,Kamala Harris,359,215,,144,0
Adams,Carroll Valley 2,President,,REP,Donald Trump,825,675,,149,1
Adams,Carroll Valley 2,President,,LIB,Chase Oliver,5,3,,2,0
Adams,Carroll Valley 2,President,,GRN,Jill Stein,6,5,,1,0
Adams,Carroll Valley 2,President,,,Overvotes,1,1,,0,0
Adams,Carroll Valley 2,President,,,Undervotes,2,1,,1,0
Adams,Carroll Valley 2,President,,,Write-ins,3,3,,0,0
Adams,Conewago 1,President,,DEM,Kamala Harris,503,237,,262,4
Adams,Conewago 1,President,,REP,Donald Trump,957,707,,249,1
Adams,Conewago 1,President,,LIB,Chase Oliver,5,2,,3,0
Adams,Conewago 1,President,,GRN,Jill Stein,8,5,,3,0
Adams,Conewago 1,President,,,Overvotes,1,0,,1,0
Adams,Conewago 1,President,,,Undervotes,6,6,,0,0
Adams,Conewago 1,President,,,Write-ins,6,5,,1,0
Adams,Conewago 2,President,,DEM,Kamala Harris,420,190,,225,5
Adams,Conewago 2,President,,REP,Donald Trump,1051,747,,295,9
Adams,Conewago 2,President,,LIB,Chase Oliver,10,4,,6,0
Adams,Conewago 2,President,,GRN,Jill Stein,5,3,,2,0
Adams,Conewago 2,President,,,Overvotes,0,0,,0,0
Adams,Conewago 2,President,,,Undervotes,3,1,,2,0
Adams,Conewago 2,President,,,Write-ins,7,3,,4,0
Adams,Conewago 3,President,,DEM,Kamala Harris,442,211,,230,1
Adams,Conewago 3,President,,REP,Donald Trump,1019,790,,226,3
Adams,Conewago 3,President,,LIB,Chase Oliver,7,7,,0,0
Adams,Conewago 3,President,,GRN,Jill Stein,3,1,,2,0
Adams,Conewago 3,President,,,Overvotes,0,0,,0,0
Adams,Conewago 3,President,,,Undervotes,4,0,,4,0
Adams,Conewago 3,President,,,Write-ins,7,6,,1,0
Adams,Cumberland 1,President,,DEM,Kamala Harris,615,341,,268,6
Adams,Cumberland 1,President,,REP,Donald Trump,715,540,,175,0
Adams,Cumberland 1,President,,LIB,Chase Oliver,7,6,,1,0
Adams,Cumberland 1,President,,GRN,Jill Stein,8,7,,1,0
Adams,Cumberland 1,President,,,Overvotes,0,0,,0,0
Adams,Cumberland 1,President,,,Undervotes,5,5,,0,0
Adams,Cumberland 1,President,,,Write-ins,9,7,,2,0
Adams,Cumberland 2,President,,DEM,Kamala Harris,311,168,,139,4
Adams,Cumberland 2,President,,REP,Donald Trump,658,534,,117,7
Adams,Cumberland 2,President,,LIB,Chase Oliver,4,4,,0,0
Adams,Cumberland 2,President,,GRN,Jill Stein,6,4,,2,0
Adams,Cumberland 2,President,,,Overvotes,0,0,,0,0
Adams,Cumberland 2,President,,,Undervotes,4,4,,0,0
Adams,Cumberland 2,President,,,Write-ins,6,5,,1,0
Adams,Cumberland 3,President,,DEM,Kamala Harris,552,275,,275,2
Adams,Cumberland 3,President,,REP,Donald Trump,614,429,,184,1
Adams,Cumberland 3,President,,LIB,Chase Oliver,3,2,,1,0
Adams,Cumberland 3,President,,GRN,Jill Stein,5,3,,2,0
Adams,Cumberland 3,President,,,Overvotes,1,0,,1,0
Adams,Cumberland 3,President,,,Undervotes,4,3,,1,0
Adams,Cumberland 3,President,,,Write-ins,7,6,,1,0
Adams,Cumberland 4,President,,DEM,Kamala Harris,738,372,,362,4
Adams,Cumberland 4,President,,REP,Donald Trump,668,452,,215,1
Adams,Cumberland 4,President,,LIB,Chase Oliver,16,11,,5,0
Adams,Cumberland 4,President,,GRN,Jill Stein,5,2,,3,0
Adams,Cumberland 4,President,,,Overvotes,2,2,,0,0
Adams,Cumberland 4,President,,,Undervotes,6,1,,5,0
Adams,Cumberland 4,President,,,Write-ins,8,5,,3,0
Adams,East Berlin,President,,DEM,Kamala Harris,262,188,,72,2
Adams,East Berlin,President,,REP,Donald Trump,612,535,,76,1
Adams,East Berlin,President,,LIB,Chase Oliver,4,3,,1,0
Adams,East Berlin,President,,GRN,Jill Stein,5,5,,0,0
Adams,East Berlin,President,,,Overvotes,0,0,,0,0
Adams,East Berlin,President,,,Undervotes,2,2,,0,0
Adams,East Berlin,President,,,Write-ins,3,3,,0,0
Adams,Fairfield,President,,DEM,Kamala Harris,137,98,,39,0
Adams,Fairfield,President,,REP,Donald Trump,201,175,,25,1
Adams,Fairfield,President,,LIB,Chase Oliver,1,1,,0,0
Adams,Fairfield,President,,GRN,Jill Stein,1,1,,0,0
Adams,Fairfield,President,,,Overvotes,0,0,,0,0
Adams,Fairfield,President,,,Undervotes,0,0,,0,0
Adams,Fairfield,President,,,Write-ins,2,2,,0,0
Adams,Franklin 1,President,,DEM,Kamala Harris,453,230,,222,1
Adams,Franklin 1,President,,REP,Donald Trump,1025,809,,211,5
Adams,Franklin 1,President,,LIB,Chase Oliver,12,10,,2,0
Adams,Franklin 1,President,,GRN,Jill Stein,4,4,,0,0
