county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Alameda,830400,U.S. House,17,REP,Anita Chen,,,,,
Alameda,830400,U.S. House,17,DEM,Ro Khanna,,,,,
Alameda,833300,U.S. House,17,REP,Anita Chen,861,178,,683,
Alameda,833300,U.S. House,17,DEM,Ro Khanna,1464,145,,1319,
Alameda,833400,U.S. House,17,REP,Anita Chen,797,181,,616,
Alameda,833400,U.S. House,17,DEM,Ro Khanna,1456,182,,1274,
Alameda,833410,U.S. House,17,REP,Anita Chen,834,134,,700,
Alameda,833410,U.S. House,17,DEM,Ro Khanna,1259,149,,1110,
Alameda,833710,U.S. House,17,REP,Anita Chen,493,99,,394,
Alameda,833710,U.S. House,17,DEM,Ro Khanna,809,100,,709,
Alameda,837300,U.S. House,17,REP,Anita Chen,625,76,,549,
Alameda,837300,U.S. House,17,DEM,Ro Khanna,1112,94,,1018,
Alameda,837600,U.S. House,17,REP,Anita Chen,1282,174,,1108,
Alameda,837600,U.S. House,17,DEM,Ro Khanna,2482,197,,2285,
Alameda,837700,U.S. House,17,REP,Anita Chen,547,69,,478,
Alameda,837700,U.S. House,17,DEM,Ro Khanna,1182,118,,1064,
Alameda,838000,U.S. House,17,REP,Anita Chen,606,60,,546,
Alameda,838000,U.S. House,17,DEM,Ro Khanna,892,83,,809,
Alameda,838120,U.S. House,17,REP,Anita Chen,346,41,,305,
Alameda,838120,U.S. House,17,DEM,Ro Khanna,617,51,,566,
Alameda,838700,U.S. House,17,REP,Anita Chen,1139,246,,893,
Alameda,838700,U.S. House,17,DEM,Ro Khanna,2057,220,,1837,
Alameda,839040,U.S. House,17,REP,Anita Chen,502,129,,373,
Alameda,839040,U.S. House,17,DEM,Ro Khanna,1092,196,,896,
Alameda,839100,U.S. House,17,REP,Anita Chen,339,74,,265,
Alameda,839100,U.S. House,17,DEM,Ro Khanna,492,69,,423,
Alameda,850330,U.S. House,17,REP,Anita Chen,892,181,,711,
Alameda,850330,U.S. House,17,DEM,Ro Khanna,1886,264,,1622,
Alameda,850500,U.S. House,17,REP,Anita Chen,1023,230,,793,
Alameda,850500,U.S. House,17,DEM,Ro Khanna,1998,237,,1761,
Alameda,850800,U.S. House,17,REP,Anita Chen,498,126,,372,
Alameda,850800,U.S. House,17,DEM,Ro Khanna,1030,162,,868,
Alameda,851000,U.S. House,17,REP,Anita Chen,832,151,,681,
Alameda,851000,U.S. House,17,DEM,Ro Khanna,1868,185,,1683,
Alameda,851520,U.S. House,17,REP,Anita Chen,1009,172,,837,
Alameda,851520,U.S. House,17,DEM,Ro Khanna,2197,217,,1980,
Alameda,852010,U.S. House,17,REP,Anita Chen,930,241,,689,
Alameda,852010,U.S. House,17,DEM,Ro Khanna,2227,247,,1980,
