county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Barry,"City of Hastings, Ward 1, Precinct 1",President,,DEM,Kamala D. Harris,500,129,100,271,
Barry,"City of Hastings, Ward 1, Precinct 1",President,,REP,Donald J. Trump,573,261,138,174,
Barry,"City of Hastings, Ward 1, Precinct 1",President,,LIB,Chase Oliver,6,3,2,1,
Barry,"City of Hastings, Ward 1, Precinct 1",President,,UST,Randall Terry,5,1,2,2,
Barry,"City of Hastings, Ward 1, Precinct 1",President,,GRN,Jill Stein,0,0,0,0,
Barry,"City of Hastings, Ward 1, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,15,2,5,8,
Barry,"City of Hastings, Ward 1, Precinct 1",President,,,Joseph Kishore,0,0,0,0,
Barry,"City of Hastings, Ward 1, Precinct 1",President,,,Cornel West,0,0,0,0,
Barry,"City of Hastings, Ward 1, Precinct 1",President,,,Write-ins,3,1,0,2,
Barry,"City of Hastings, Ward 2, Precinct 2",President,,DEM,Kamala D. Harris,403,129,95,179,
Barry,"City of Hastings, Ward 2, Precinct 2",President,,REP,Donald J. Trump,579,318,167,94,
Barry,"City of Hastings, Ward 2, Precinct 2",President,,LIB,Chase Oliver,2,2,0,0,
Barry,"City of Hastings, Ward 2, Precinct 2",President,,UST,Randall Terry,2,1,1,0,
Barry,"City of Hastings, Ward 2, Precinct 2",President,,GRN,Jill Stein,2,1,0,1,
Barry,"City of Hastings, Ward 2, Precinct 2",President,,NLP,Robert F. Kennedy Jr.,12,2,5,5,
Barry,"City of Hastings, Ward 2, Precinct 2",President,,,Joseph Kishore,0,0,0,0,
Barry,"City of Hastings, Ward 2, Precinct 2",President,,,Cornel West,0,0,0,0,
Barry,"City of Hastings, Ward 2, Precinct 2",President,,,Write-ins,1,1,0,0,
Barry,"City of Hastings, Ward 3, Precinct 3",President,,DEM,Kamala D. Harris,371,124,98,149,
Barry,"City of Hastings, Ward 3, Precinct 3",President,,REP,Donald J. Trump,534,301,157,76,
Barry,"City of Hastings, Ward 3, Precinct 3",President,,LIB,Chase Oliver,6,3,1,2,
Barry,"City of Hastings, Ward 3, Precinct 3",President,,UST,Randall Terry,3,2,1,0,
Barry,"City of Hastings, Ward 3, Precinct 3",President,,GRN,Jill Stein,3,2,0,1,
Barry,"City of Hastings, Ward 3, Precinct 3",President,,NLP,Robert F. Kennedy Jr.,12,5,2,5,
Barry,"City of Hastings, Ward 3, Precinct 3",President,,,Joseph Kishore,0,0,0,0,
Barry,"City of Hastings, Ward 3, Precinct 3",President,,,Cornel West,0,0,0,0,
Barry,"City of Hastings, Ward 3, Precinct 3",President,,,Write-ins,1,0,0,1,
Barry,"City of Hastings, Ward 4, Precinct 4",President,,DEM,Kamala D. Harris,479,120,114,245,
Barry,"City of Hastings, Ward 4, Precinct 4",President,,REP,Donald J. Trump,566,247,184,135,
Barry,"City of Hastings, Ward 4, Precinct 4",President,,LIB,Chase Oliver,7,4,3,0,
Barry,"City of Hastings, Ward 4, Precinct 4",President,,UST,Randall Terry,2,1,0,1,
Barry,"City of Hastings, Ward 4, Precinct 4",President,,GRN,Jill Stein,2,0,2,0,
Barry,"City of Hastings, Ward 4, Precinct 4",President,,NLP,Robert F. Kennedy Jr.,4,1,1,2,
Barry,"City of Hastings, Ward 4, Precinct 4",President,,,Joseph Kishore,1,0,0,1,
Barry,"City of Hastings, Ward 4, Precinct 4",President,,,Cornel West,0,0,0,0,
Barry,"City of Hastings, Ward 4, Precinct 4",President,,,Write-ins,1,1,0,0,
Barry,"Assyria Township, Precinct 1",President,,DEM,Kamala D. Harris,320,267,53,0,
Barry,"Assyria Township, Precinct 1",President,,REP,Donald J. Trump,970,656,314,0,
Barry,"Assyria Township, Precinct 1",President,,LIB,Chase Oliver,3,3,0,0,
Barry,"Assyria Township, Precinct 1",President,,UST,Randall Terry,1,1,0,0,
Barry,"Assyria Township, Precinct 1",President,,GRN,Jill Stein,1,1,0,0,
Barry,"Assyria Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,9,9,0,0,
Barry,"Assyria Township, Precinct 1",President,,,Joseph Kishore,0,0,0,0,
Barry,"Assyria Township, Precinct 1",President,,,Cornel West,0,0,0,0,
Barry,"Assyria Township, Precinct 1",President,,,Write-ins,1,1,0,0,
Barry,"Baltimore Township, Precinct 1",President,,DEM,Kamala D. Harris,292,112,70,110,
Barry,"Baltimore Township, Precinct 1",President,,REP,Donald J. Trump,836,383,346,107,
Barry,"Baltimore Township, Precinct 1",President,,LIB,Chase Oliver,5,3,1,1,
Barry,"Baltimore Township, Precinct 1",President,,UST,Randall Terry,0,0,0,0,
Barry,"Baltimore Township, Precinct 1",President,,GRN,Jill Stein,1,0,1,0,
Barry,"Baltimore Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,5,1,2,2,
Barry,"Baltimore Township, Precinct 1",President,,,Joseph Kishore,2,0,0,2,
Barry,"Baltimore Township, Precinct 1",President,,,Cornel West,0,0,0,0,
Barry,"Baltimore Township, Precinct 1",President,,,Write-ins,0,0,0,0,
Barry,"Barry Township, Precinct 1",President,,DEM,Kamala D. Harris,716,138,177,401,
Barry,"Barry Township, Precinct 1",President,,REP,Donald J. Trump,1331,405,576,350,
Barry,"Barry Township, Precinct 1",President,,LIB,Chase Oliver,17,9,5,3,
Barry,"Barry Township, Precinct 1",President,,UST,Randall Terry,3,1,1,1,
Barry,"Barry Township, Precinct 1",President,,GRN,Jill Stein,4,2,2,0,
Barry,"Barry Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,19,9,2,8,
Barry,"Barry Township, Precinct 1",President,,,Joseph Kishore,3,0,0,3,
Barry,"Barry Township, Precinct 1",President,,,Cornel West,0,0,0,0,
Barry,"Barry Township, Precinct 1",President,,,Write-ins,3,1,2,0,
Barry,"Carlton Township, Precinct 1",President,,DEM,Kamala D. Harris,466,351,115,0,
Barry,"Carlton Township, Precinct 1",President,,REP,Donald J. Trump,1096,649,447,0,
Barry,"Carlton Township, Precinct 1",President,,LIB,Chase Oliver,5,3,2,0,
Barry,"Carlton Township, Precinct 1",President,,UST,Randall Terry,4,3,1,0,
Barry,"Carlton Township, Precinct 1",President,,GRN,Jill Stein,2,1,1,0,
Barry,"Carlton Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,5,3,2,0,
Barry,"Carlton Township, Precinct 1",President,,,Joseph Kishore,0,0,0,0,
Barry,"Carlton Township, Precinct 1",President,,,Cornel West,0,0,0,0,
Barry,"Carlton Township, Precinct 1",President,,,Write-ins,1,1,0,0,
Barry,"Castleton Township, Precinct 1",President,,DEM,Kamala D. Harris,457,328,129,0,
Barry,"Castleton Township, Precinct 1",President,,REP,Donald J. Trump,1161,673,488,0,
Barry,"Castleton Township, Precinct 1",President,,LIB,Chase Oliver,1,1,0,0,
