county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Barry,"City of Hastings, Ward 1, Precinct 1",Straight Party,,DEM,Democratic,226,54,36,136,
Barry,"City of Hastings, Ward 1, Precinct 1",Straight Party,,REP,Republican,363,162,83,118,
Barry,"City of Hastings, Ward 1, Precinct 1",Straight Party,,LIB,Libertarian,2,2,0,0,
Barry,"City of Hastings, Ward 1, Precinct 1",Straight Party,,GRN,Green,0,0,0,0,
Barry,"City of Hastings, Ward 1, Precinct 1",Straight Party,,NLP,Natural Law,1,0,0,1,
Barry,"City of Hastings, Ward 1, Precinct 1",Straight Party,,WCP,Working Class,7,4,2,1,
Barry,"City of Hastings, Ward 1, Precinct 1",Straight Party,,UST,U.S. Taxpayers,2,0,0,2,
Barry,"City of Hastings, Ward 1, Precinct 1",Straight Party,,,Write-ins,0,0,0,0,
Barry,"City of Hastings, Ward 2, Precinct 2",Straight Party,,DEM,Democratic,205,67,44,94,
Barry,"City of Hastings, Ward 2, Precinct 2",Straight Party,,REP,Republican,354,192,108,54,
Barry,"City of Hastings, Ward 2, Precinct 2",Straight Party,,LIB,Libertarian,1,1,0,0,
Barry,"City of Hastings, Ward 2, Precinct 2",Straight Party,,GRN,Green,1,1,0,0,
Barry,"City of Hastings, Ward 2, Precinct 2",Straight Party,,NLP,Natural Law,1,0,1,0,
Barry,"City of Hastings, Ward 2, Precinct 2",Straight Party,,WCP,Working Class,13,5,4,4,
Barry,"City of Hastings, Ward 2, Precinct 2",Straight Party,,UST,U.S. Taxpayers,1,1,0,0,
Barry,"City of Hastings, Ward 2, Precinct 2",Straight Party,,,Write-ins,0,0,0,0,
Barry,"City of Hastings, Ward 3, Precinct 3",Straight Party,,DEM,Democratic,167,52,50,65,
Barry,"City of Hastings, Ward 3, Precinct 3",Straight Party,,REP,Republican,325,185,99,41,
Barry,"City of Hastings, Ward 3, Precinct 3",Straight Party,,LIB,Libertarian,4,2,0,2,
Barry,"City of Hastings, Ward 3, Precinct 3",Straight Party,,GRN,Green,3,2,0,1,
Barry,"City of Hastings, Ward 3, Precinct 3",Straight Party,,NLP,Natural Law,1,1,0,0,
Barry,"City of Hastings, Ward 3, Precinct 3",Straight Party,,WCP,Working Class,3,3,0,0,
Barry,"City of Hastings, Ward 3, Precinct 3",Straight Party,,UST,U.S. Taxpayers,1,1,0,0,
Barry,"City of Hastings, Ward 3, Precinct 3",Straight Party,,,Write-ins,0,0,0,0,
Barry,"City of Hastings, Ward 4, Precinct 4",Straight Party,,DEM,Democratic,187,53,42,92,
Barry,"City of Hastings, Ward 4, Precinct 4",Straight Party,,REP,Republican,322,148,104,70,
Barry,"City of Hastings, Ward 4, Precinct 4",Straight Party,,LIB,Libertarian,1,0,1,0,
Barry,"City of Hastings, Ward 4, Precinct 4",Straight Party,,GRN,Green,3,2,1,0,
Barry,"City of Hastings, Ward 4, Precinct 4",Straight Party,,NLP,Natural Law,0,0,0,0,
