county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Bay,Bangor Township Precinct 1,President,,DEM,Kamala D. Harris,444,121,61,262,
Bay,Bangor Township Precinct 1,President,,REP,Donald J. Trump,669,374,88,207,
Bay,Bangor Township Precinct 1,President,,LIB,Chase Oliver,3,2,0,1,
Bay,Bangor Township Precinct 1,President,,UST,Randall Terry,1,0,0,1,
Bay,Bangor Township Precinct 1,President,,GRN,Jill Stein,1,0,0,1,
Bay,Bangor Township Precinct 1,President,,NLP,"Robert F. Kennedy, Jr.",5,2,0,3,
Bay,Bangor Township Precinct 1,President,,,Joseph Kishore,2,1,1,0,
Bay,Bangor Township Precinct 1,President,,,Cornel West,0,0,0,0,
Bay,Bangor Township Precinct 2,President,,DEM,Kamala D. Harris,534,155,43,336,
Bay,Bangor Township Precinct 2,President,,REP,Donald J. Trump,886,463,156,267,
Bay,Bangor Township Precinct 2,President,,LIB,Chase Oliver,3,2,1,0,
Bay,Bangor Township Precinct 2,President,,UST,Randall Terry,0,0,0,0,
Bay,Bangor Township Precinct 2,President,,GRN,Jill Stein,1,0,1,0,
Bay,Bangor Township Precinct 2,President,,NLP,"Robert F. Kennedy, Jr.",3,0,0,3,
Bay,Bangor Township Precinct 2,President,,,Joseph Kishore,0,0,0,0,
Bay,Bangor Township Precinct 2,President,,,Cornel West,0,0,0,0,
Bay,Bangor Township Precinct 3,President,,DEM,Kamala D. Harris,571,175,79,317,
Bay,Bangor Township Precinct 3,President,,REP,Donald J. Trump,828,409,183,236,
Bay,Bangor Township Precinct 3,President,,LIB,Chase Oliver,2,1,0,1,
Bay,Bangor Township Precinct 3,President,,UST,Randall Terry,2,2,0,0,
Bay,Bangor Township Precinct 3,President,,GRN,Jill Stein,4,3,0,1,
Bay,Bangor Township Precinct 3,President,,NLP,"Robert F. Kennedy, Jr.",5,2,0,3,
Bay,Bangor Township Precinct 3,President,,,Joseph Kishore,2,0,2,0,
Bay,Bangor Township Precinct 3,President,,,Cornel West,1,1,0,0,
Bay,Bangor Township Precinct 4,President,,DEM,Kamala D. Harris,541,155,71,315,
Bay,Bangor Township Precinct 4,President,,REP,Donald J. Trump,660,322,116,222,
Bay,Bangor Township Precinct 4,President,,LIB,Chase Oliver,7,5,1,1,
Bay,Bangor Township Precinct 4,President,,UST,Randall Terry,1,0,0,1,
Bay,Bangor Township Precinct 4,President,,GRN,Jill Stein,4,4,0,0,
Bay,Bangor Township Precinct 4,President,,NLP,"Robert F. Kennedy, Jr.",5,0,0,5,
Bay,Bangor Township Precinct 4,President,,,Joseph Kishore,1,0,1,0,
Bay,Bangor Township Precinct 4,President,,,Cornel West,1,1,0,0,
Bay,Bangor Township Precinct 5,President,,DEM,Kamala D. Harris,818,290,74,454,
Bay,Bangor Township Precinct 5,President,,REP,Donald J. Trump,1126,599,199,328,
Bay,Bangor Township Precinct 5,President,,LIB,Chase Oliver,6,4,0,2,
