county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Bay,Bangor Township Precinct 1,Straight Party,,DEM,Democratic Party,213,51,25,137,
Bay,Bangor Township Precinct 1,Straight Party,,REP,Republican Party,304,170,45,89,
Bay,Bangor Township Precinct 1,Straight Party,,LIB,Libertarian Party,0,0,0,0,
Bay,Bangor Township Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,3,1,0,2,
Bay,Bangor Township Precinct 1,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,Bangor Township Precinct 1,Straight Party,,WCP,Working Class Party,2,1,1,0,
Bay,Bangor Township Precinct 1,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,Bangor Township Precinct 2,Straight Party,,DEM,Democratic Party,260,72,25,163,
Bay,Bangor Township Precinct 2,Straight Party,,REP,Republican Party,386,201,69,116,
Bay,Bangor Township Precinct 2,Straight Party,,LIB,Libertarian Party,0,0,0,0,
Bay,Bangor Township Precinct 2,Straight Party,,UST,U.S. Taxpayers Party,1,1,0,0,
Bay,Bangor Township Precinct 2,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,Bangor Township Precinct 2,Straight Party,,WCP,Working Class Party,2,2,0,0,
Bay,Bangor Township Precinct 2,Straight Party,,NLP,Natural Law Party,1,1,0,0,
Bay,Bangor Township Precinct 3,Straight Party,,DEM,Democratic Party,287,71,54,162,
Bay,Bangor Township Precinct 3,Straight Party,,REP,Republican Party,406,179,106,121,
Bay,Bangor Township Precinct 3,Straight Party,,LIB,Libertarian Party,1,1,0,0,
Bay,Bangor Township Precinct 3,Straight Party,,UST,U.S. Taxpayers Party,1,1,0,0,
Bay,Bangor Township Precinct 3,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,Bangor Township Precinct 3,Straight Party,,WCP,Working Class Party,8,8,0,0,
Bay,Bangor Township Precinct 3,Straight Party,,NLP,Natural Law Party,1,0,0,1,
Bay,Bangor Township Precinct 4,Straight Party,,DEM,Democratic Party,302,76,35,191,
Bay,Bangor Township Precinct 4,Straight Party,,REP,Republican Party,326,146,70,110,
Bay,Bangor Township Precinct 4,Straight Party,,LIB,Libertarian Party,3,2,0,1,
Bay,Bangor Township Precinct 4,Straight Party,,UST,U.S. Taxpayers Party,1,1,0,0,
Bay,Bangor Township Precinct 4,Straight Party,,GRN,Green Party,3,3,0,0,
Bay,Bangor Township Precinct 4,Straight Party,,WCP,Working Class Party,5,3,0,2,
Bay,Bangor Township Precinct 4,Straight Party,,NLP,Natural Law Party,2,1,0,1,
Bay,Bangor Township Precinct 5,Straight Party,,DEM,Democratic Party,425,128,40,257,
Bay,Bangor Township Precinct 5,Straight Party,,REP,Republican Party,575,315,115,145,
Bay,Bangor Township Precinct 5,Straight Party,,LIB,Libertarian Party,2,1,0,1,
Bay,Bangor Township Precinct 5,Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Bay,Bangor Township Precinct 5,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,Bangor Township Precinct 5,Straight Party,,WCP,Working Class Party,6,5,0,1,
Bay,Bangor Township Precinct 5,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,Bangor Township Precinct 6,Straight Party,,DEM,Democratic Party,316,83,45,188,
Bay,Bangor Township Precinct 6,Straight Party,,REP,Republican Party,363,158,81,124,
Bay,Bangor Township Precinct 6,Straight Party,,LIB,Libertarian Party,6,4,1,1,
Bay,Bangor Township Precinct 6,Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Bay,Bangor Township Precinct 6,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,Bangor Township Precinct 6,Straight Party,,WCP,Working Class Party,7,5,1,1,
Bay,Bangor Township Precinct 6,Straight Party,,NLP,Natural Law Party,1,0,0,1,
Bay,Beaver Township Precinct 1,Straight Party,,DEM,Democratic Party,255,241,14,0,
Bay,Beaver Township Precinct 1,Straight Party,,REP,Republican Party,594,528,66,0,
Bay,Beaver Township Precinct 1,Straight Party,,LIB,Libertarian Party,2,2,0,0,
Bay,Beaver Township Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,2,2,0,0,
Bay,Beaver Township Precinct 1,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,Beaver Township Precinct 1,Straight Party,,WCP,Working Class Party,5,5,0,0,
Bay,Beaver Township Precinct 1,Straight Party,,NLP,Natural Law Party,0,0,0,0,
Bay,City of Auburn Precinct 1,Straight Party,,DEM,Democratic Party,231,81,19,131,
Bay,City of Auburn Precinct 1,Straight Party,,REP,Republican Party,335,205,38,92,
Bay,City of Auburn Precinct 1,Straight Party,,LIB,Libertarian Party,5,3,0,2,
Bay,City of Auburn Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,3,2,0,1,
Bay,City of Auburn Precinct 1,Straight Party,,GRN,Green Party,0,0,0,0,
Bay,City of Auburn Precinct 1,Straight Party,,WCP,Working Class Party,4,4,0,0,
Bay,City of Auburn Precinct 1,Straight Party,,NLP,Natural Law Party,2,2,0,0,
Bay,City of Bay City Ward 1 Precinct 1,Straight Party,,DEM,Democratic Party,615,167,108,340,
Bay,City of Bay City Ward 1 Precinct 1,Straight Party,,REP,Republican Party,413,200,81,132,
Bay,City of Bay City Ward 1 Precinct 1,Straight Party,,LIB,Libertarian Party,7,6,0,1,
Bay,City of Bay City Ward 1 Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,4,1,2,1,
Bay,City of Bay City Ward 1 Precinct 1,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,City of Bay City Ward 1 Precinct 1,Straight Party,,WCP,Working Class Party,12,8,1,3,
Bay,City of Bay City Ward 1 Precinct 1,Straight Party,,NLP,Natural Law Party,1,1,0,0,
Bay,City of Bay City Ward 2 Precinct 1,Straight Party,,DEM,Democratic Party,653,188,132,333,
Bay,City of Bay City Ward 2 Precinct 1,Straight Party,,REP,Republican Party,356,157,89,110,
Bay,City of Bay City Ward 2 Precinct 1,Straight Party,,LIB,Libertarian Party,4,2,1,1,
Bay,City of Bay City Ward 2 Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,2,2,0,0,
Bay,City of Bay City Ward 2 Precinct 1,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,City of Bay City Ward 2 Precinct 1,Straight Party,,WCP,Working Class Party,13,9,1,3,
Bay,City of Bay City Ward 2 Precinct 1,Straight Party,,NLP,Natural Law Party,1,0,0,1,
Bay,City of Bay City Ward 3 Precinct 1,Straight Party,,DEM,Democratic Party,625,210,81,334,
Bay,City of Bay City Ward 3 Precinct 1,Straight Party,,REP,Republican Party,404,227,76,101,
Bay,City of Bay City Ward 3 Precinct 1,Straight Party,,LIB,Libertarian Party,7,5,0,2,
Bay,City of Bay City Ward 3 Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,4,4,0,0,
Bay,City of Bay City Ward 3 Precinct 1,Straight Party,,GRN,Green Party,2,0,1,1,
Bay,City of Bay City Ward 3 Precinct 1,Straight Party,,WCP,Working Class Party,13,10,0,3,
Bay,City of Bay City Ward 3 Precinct 1,Straight Party,,NLP,Natural Law Party,3,2,1,0,
Bay,City of Bay City Ward 4 Precinct 1,Straight Party,,DEM,Democratic Party,598,204,90,304,
Bay,City of Bay City Ward 4 Precinct 1,Straight Party,,REP,Republican Party,444,228,109,107,
Bay,City of Bay City Ward 4 Precinct 1,Straight Party,,LIB,Libertarian Party,9,7,1,1,
Bay,City of Bay City Ward 4 Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,6,6,0,0,
Bay,City of Bay City Ward 4 Precinct 1,Straight Party,,GRN,Green Party,3,2,0,1,
Bay,City of Bay City Ward 4 Precinct 1,Straight Party,,WCP,Working Class Party,14,13,1,0,
Bay,City of Bay City Ward 4 Precinct 1,Straight Party,,NLP,Natural Law Party,3,2,1,0,
Bay,City of Bay City Ward 5 Precinct 1,Straight Party,,DEM,Democratic Party,614,195,66,353,
Bay,City of Bay City Ward 5 Precinct 1,Straight Party,,REP,Republican Party,469,232,108,129,
Bay,City of Bay City Ward 5 Precinct 1,Straight Party,,LIB,Libertarian Party,4,4,0,0,
Bay,City of Bay City Ward 5 Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Bay,City of Bay City Ward 5 Precinct 1,Straight Party,,GRN,Green Party,1,1,0,0,
Bay,City of Bay City Ward 5 Precinct 1,Straight Party,,WCP,Working Class Party,12,7,0,5,
Bay,City of Bay City Ward 5 Precinct 1,Straight Party,,NLP,Natural Law Party,1,0,1,0,
Bay,City of Bay City Ward 6 Precinct 1,Straight Party,,DEM,Democratic Party,535,187,66,282,
Bay,City of Bay City Ward 6 Precinct 1,Straight Party,,REP,Republican Party,433,231,93,109,
Bay,City of Bay City Ward 6 Precinct 1,Straight Party,,LIB,Libertarian Party,12,7,1,4,
Bay,City of Bay City Ward 6 Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,5,3,0,2,
Bay,City of Bay City Ward 6 Precinct 1,Straight Party,,GRN,Green Party,2,1,0,1,
Bay,City of Bay City Ward 6 Precinct 1,Straight Party,,WCP,Working Class Party,7,5,2,0,
Bay,City of Bay City Ward 6 Precinct 1,Straight Party,,NLP,Natural Law Party,3,2,0,1,
Bay,City of Bay City Ward 7 Precinct 1,Straight Party,,DEM,Democratic Party,526,147,100,279,
Bay,City of Bay City Ward 7 Precinct 1,Straight Party,,REP,Republican Party,456,220,157,79,
Bay,City of Bay City Ward 7 Precinct 1,Straight Party,,LIB,Libertarian Party,4,2,0,2,
Bay,City of Bay City Ward 7 Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,5,5,0,0,
Bay,City of Bay City Ward 7 Precinct 1,Straight Party,,GRN,Green Party,2,2,0,0,
Bay,City of Bay City Ward 7 Precinct 1,Straight Party,,WCP,Working Class Party,18,10,4,4,
Bay,City of Bay City Ward 7 Precinct 1,Straight Party,,NLP,Natural Law Party,2,2,0,0,
Bay,City of Bay City Ward 8 Precinct 1,Straight Party,,DEM,Democratic Party,499,155,99,245,
Bay,City of Bay City Ward 8 Precinct 1,Straight Party,,REP,Republican Party,479,252,147,80,
Bay,City of Bay City Ward 8 Precinct 1,Straight Party,,LIB,Libertarian Party,4,2,0,2,
Bay,City of Bay City Ward 8 Precinct 1,Straight Party,,UST,U.S. Taxpayers Party,2,1,0,1,
Bay,City of Bay City Ward 8 Precinct 1,Straight Party,,GRN,Green Party,1,0,0,1,
Bay,City of Bay City Ward 8 Precinct 1,Straight Party,,WCP,Working Class Party,4,3,1,0,
