county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Bay,Bangor Township Precinct 1,U.S. House,8,DEM,Kristen McDonald Rivet,491,153,64,274,
Bay,Bangor Township Precinct 1,U.S. House,8,REP,Paul Junge,587,319,83,185,
Bay,Bangor Township Precinct 1,U.S. House,8,LIB,Steve Barcelo,10,5,1,4,
Bay,Bangor Township Precinct 1,U.S. House,8,UST,James Little,5,2,0,3,
Bay,Bangor Township Precinct 1,U.S. House,8,GRN,Jim Casha,0,0,0,0,
Bay,Bangor Township Precinct 1,U.S. House,8,WCP,Kathy Goodwin,12,8,0,4,
Bay,Bangor Township Precinct 2,U.S. House,8,DEM,Kristen McDonald Rivet,608,199,59,350,
Bay,Bangor Township Precinct 2,U.S. House,8,REP,Paul Junge,740,375,130,235,
Bay,Bangor Township Precinct 2,U.S. House,8,LIB,Steve Barcelo,14,5,5,4,
Bay,Bangor Township Precinct 2,U.S. House,8,UST,James Little,11,8,1,2,
Bay,Bangor Township Precinct 2,U.S. House,8,GRN,Jim Casha,4,2,0,2,
Bay,Bangor Township Precinct 2,U.S. House,8,WCP,Kathy Goodwin,16,12,2,2,
Bay,Bangor Township Precinct 3,U.S. House,8,DEM,Kristen McDonald Rivet,642,218,88,336,
Bay,Bangor Township Precinct 3,U.S. House,8,REP,Paul Junge,698,326,165,207,
Bay,Bangor Township Precinct 3,U.S. House,8,LIB,Steve Barcelo,16,10,2,4,
Bay,Bangor Township Precinct 3,U.S. House,8,UST,James Little,10,7,0,3,
Bay,Bangor Township Precinct 3,U.S. House,8,GRN,Jim Casha,5,4,1,0,
Bay,Bangor Township Precinct 3,U.S. House,8,WCP,Kathy Goodwin,26,19,2,5,
Bay,Bangor Township Precinct 4,U.S. House,8,DEM,Kristen McDonald Rivet,579,175,81,323,
Bay,Bangor Township Precinct 4,U.S. House,8,REP,Paul Junge,565,267,104,194,
Bay,Bangor Township Precinct 4,U.S. House,8,LIB,Steve Barcelo,16,13,0,3,
Bay,Bangor Township Precinct 4,U.S. House,8,UST,James Little,4,2,0,2,
Bay,Bangor Township Precinct 4,U.S. House,8,GRN,Jim Casha,2,2,0,0,
Bay,Bangor Township Precinct 4,U.S. House,8,WCP,Kathy Goodwin,22,13,2,7,
Bay,Bangor Township Precinct 5,U.S. House,8,DEM,Kristen McDonald Rivet,900,323,84,493,
Bay,Bangor Township Precinct 5,U.S. House,8,REP,Paul Junge,944,502,176,266,
Bay,Bangor Township Precinct 5,U.S. House,8,LIB,Steve Barcelo,17,8,3,6,
Bay,Bangor Township Precinct 5,U.S. House,8,UST,James Little,12,6,3,3,
Bay,Bangor Township Precinct 5,U.S. House,8,GRN,Jim Casha,6,6,0,0,
Bay,Bangor Township Precinct 5,U.S. House,8,WCP,Kathy Goodwin,45,28,5,12,
Bay,Bangor Township Precinct 6,U.S. House,8,DEM,Kristen McDonald Rivet,735,232,104,399,
Bay,Bangor Township Precinct 6,U.S. House,8,REP,Paul Junge,692,331,147,214,
Bay,Bangor Township Precinct 6,U.S. House,8,LIB,Steve Barcelo,10,5,5,0,
Bay,Bangor Township Precinct 6,U.S. House,8,UST,James Little,5,1,0,4,
Bay,Bangor Township Precinct 6,U.S. House,8,GRN,Jim Casha,2,1,1,0,
Bay,Bangor Township Precinct 6,U.S. House,8,WCP,Kathy Goodwin,28,16,6,6,
Bay,Beaver Township Precinct 1,U.S. House,8,DEM,Kristen McDonald Rivet,563,535,28,0,
Bay,Beaver Township Precinct 1,U.S. House,8,REP,Paul Junge,1116,1010,106,0,
Bay,Beaver Township Precinct 1,U.S. House,8,LIB,Steve Barcelo,23,20,3,0,
Bay,Beaver Township Precinct 1,U.S. House,8,UST,James Little,13,13,0,0,
Bay,Beaver Township Precinct 1,U.S. House,8,GRN,Jim Casha,4,3,1,0,
Bay,Beaver Township Precinct 1,U.S. House,8,WCP,Kathy Goodwin,28,25,3,0,
Bay,City of Auburn Precinct 1,U.S. House,8,DEM,Kristen McDonald Rivet,583,251,46,286,
Bay,City of Auburn Precinct 1,U.S. House,8,REP,Paul Junge,607,373,64,170,
Bay,City of Auburn Precinct 1,U.S. House,8,LIB,Steve Barcelo,15,11,1,3,
Bay,City of Auburn Precinct 1,U.S. House,8,UST,James Little,11,6,0,5,
Bay,City of Auburn Precinct 1,U.S. House,8,GRN,Jim Casha,4,3,0,1,
Bay,City of Auburn Precinct 1,U.S. House,8,WCP,Kathy Goodwin,20,14,0,6,
Bay,City of Bay City Ward 1 Precinct 1,U.S. House,8,DEM,Kristen McDonald Rivet,1079,359,167,553,
Bay,City of Bay City Ward 1 Precinct 1,U.S. House,8,REP,Paul Junge,688,323,136,229,
Bay,City of Bay City Ward 1 Precinct 1,U.S. House,8,LIB,Steve Barcelo,23,11,5,7,
Bay,City of Bay City Ward 1 Precinct 1,U.S. House,8,UST,James Little,13,4,5,4,
Bay,City of Bay City Ward 1 Precinct 1,U.S. House,8,GRN,Jim Casha,11,9,1,1,
Bay,City of Bay City Ward 1 Precinct 1,U.S. House,8,WCP,Kathy Goodwin,30,20,1,9,
Bay,City of Bay City Ward 2 Precinct 1,U.S. House,8,DEM,Kristen McDonald Rivet,1222,399,241,582,
Bay,City of Bay City Ward 2 Precinct 1,U.S. House,8,REP,Paul Junge,607,243,171,193,
Bay,City of Bay City Ward 2 Precinct 1,U.S. House,8,LIB,Steve Barcelo,21,12,4,5,
Bay,City of Bay City Ward 2 Precinct 1,U.S. House,8,UST,James Little,13,9,0,4,
Bay,City of Bay City Ward 2 Precinct 1,U.S. House,8,GRN,Jim Casha,6,5,0,1,
Bay,City of Bay City Ward 2 Precinct 1,U.S. House,8,WCP,Kathy Goodwin,26,17,3,6,
Bay,City of Bay City Ward 3 Precinct 1,U.S. House,8,DEM,Kristen McDonald Rivet,969,356,142,471,
Bay,City of Bay City Ward 3 Precinct 1,U.S. House,8,REP,Paul Junge,615,320,125,170,
Bay,City of Bay City Ward 3 Precinct 1,U.S. House,8,LIB,Steve Barcelo,26,19,4,3,
Bay,City of Bay City Ward 3 Precinct 1,U.S. House,8,UST,James Little,22,17,0,5,
Bay,City of Bay City Ward 3 Precinct 1,U.S. House,8,GRN,Jim Casha,6,4,0,2,
Bay,City of Bay City Ward 3 Precinct 1,U.S. House,8,WCP,Kathy Goodwin,43,28,2,13,
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,DEM,Kristen McDonald Rivet,1021,387,159,475,
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,REP,Paul Junge,647,332,149,166,
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,LIB,Steve Barcelo,33,22,4,7,
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,UST,James Little,13,10,0,3,
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,GRN,Jim Casha,9,6,1,2,
Bay,City of Bay City Ward 4 Precinct 1,U.S. House,8,WCP,Kathy Goodwin,50,33,4,13,
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,DEM,Kristen McDonald Rivet,1176,446,128,602,
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,REP,Paul Junge,813,416,159,238,
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,LIB,Steve Barcelo,30,23,2,5,
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,UST,James Little,9,4,1,4,
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,GRN,Jim Casha,12,9,1,2,
Bay,City of Bay City Ward 5 Precinct 1,U.S. House,8,WCP,Kathy Goodwin,38,23,7,8,
Bay,City of Bay City Ward 6 Precinct 1,U.S. House,8,DEM,Kristen McDonald Rivet,905,331,128,446,
Bay,City of Bay City Ward 6 Precinct 1,U.S. House,8,REP,Paul Junge,682,348,156,178,
