county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Bay,Bangor Township Precinct 1,U.S. Senate,,DEM,Elissa Slotkin,446,127,61,258,
Bay,Bangor Township Precinct 1,U.S. Senate,,REP,Mike Rogers,646,355,85,206,
Bay,Bangor Township Precinct 1,U.S. Senate,,LIB,Joseph Solis-Mullen,6,2,2,2,
Bay,Bangor Township Precinct 1,U.S. Senate,,UST,Dave Stein,5,2,0,3,
Bay,Bangor Township Precinct 1,U.S. Senate,,GRN,Douglas P. Marsh,4,3,0,1,
Bay,Bangor Township Precinct 1,U.S. Senate,,NLP,Doug Dern,0,0,0,0,
Bay,Bangor Township Precinct 2,U.S. Senate,,DEM,Elissa Slotkin,548,164,49,335,
Bay,Bangor Township Precinct 2,U.S. Senate,,REP,Mike Rogers,810,418,143,249,
Bay,Bangor Township Precinct 2,U.S. Senate,,LIB,Joseph Solis-Mullen,15,5,4,6,
Bay,Bangor Township Precinct 2,U.S. Senate,,UST,Dave Stein,13,7,1,5,
Bay,Bangor Township Precinct 2,U.S. Senate,,GRN,Douglas P. Marsh,1,1,0,0,
Bay,Bangor Township Precinct 2,U.S. Senate,,NLP,Doug Dern,1,1,0,0,
Bay,Bangor Township Precinct 3,U.S. Senate,,DEM,Elissa Slotkin,586,182,82,322,
Bay,Bangor Township Precinct 3,U.S. Senate,,REP,Mike Rogers,772,370,175,227,
Bay,Bangor Township Precinct 3,U.S. Senate,,LIB,Joseph Solis-Mullen,10,6,2,2,
Bay,Bangor Township Precinct 3,U.S. Senate,,UST,Dave Stein,8,6,0,2,
Bay,Bangor Township Precinct 3,U.S. Senate,,GRN,Douglas P. Marsh,5,5,0,0,
Bay,Bangor Township Precinct 3,U.S. Senate,,NLP,Doug Dern,8,5,0,3,
Bay,Bangor Township Precinct 4,U.S. Senate,,DEM,Elissa Slotkin,541,151,71,319,
Bay,Bangor Township Precinct 4,U.S. Senate,,REP,Mike Rogers,614,300,112,202,
Bay,Bangor Township Precinct 4,U.S. Senate,,LIB,Joseph Solis-Mullen,17,13,1,3,
Bay,Bangor Township Precinct 4,U.S. Senate,,UST,Dave Stein,12,6,0,6,
Bay,Bangor Township Precinct 4,U.S. Senate,,GRN,Douglas P. Marsh,4,3,0,1,
Bay,Bangor Township Precinct 4,U.S. Senate,,NLP,Doug Dern,6,2,0,4,
Bay,Bangor Township Precinct 5,U.S. Senate,,DEM,Elissa Slotkin,845,294,79,472,
Bay,Bangor Township Precinct 5,U.S. Senate,,REP,Mike Rogers,1028,545,186,297,
