county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Branch,City of Bronson,President,,DEM,Kamala D. Harris,261,,,,
Branch,City of Bronson,President,,REP,Donald J. Trump,574,,,,
Branch,City of Bronson,President,,LIB,Chase Oliver,5,,,,
Branch,City of Bronson,President,,UST,Randall Terry,0,,,,
Branch,City of Bronson,President,,GRN,Jill Stein,2,,,,
Branch,City of Bronson,President,,,Robert F. Kennedy Jr.,6,,,,
Branch,City of Bronson,President,,,Joseph Kishore,0,,,,
Branch,City of Bronson,President,,,Cornel West,3,,,,
Branch,City of Bronson,President,,,Write-ins,0,,,,
Branch,"City of Coldwater, Pct 1",President,,DEM,Kamala D. Harris,298,,,,
Branch,"City of Coldwater, Pct 1",President,,REP,Donald J. Trump,570,,,,
Branch,"City of Coldwater, Pct 1",President,,LIB,Chase Oliver,7,,,,
Branch,"City of Coldwater, Pct 1",President,,UST,Randall Terry,1,,,,
Branch,"City of Coldwater, Pct 1",President,,GRN,Jill Stein,19,,,,
Branch,"City of Coldwater, Pct 1",President,,,Robert F. Kennedy Jr.,4,,,,
Branch,"City of Coldwater, Pct 1",President,,,Joseph Kishore,1,,,,
Branch,"City of Coldwater, Pct 1",President,,,Cornel West,1,,,,
Branch,"City of Coldwater, Pct 1",President,,,Write-ins,0,,,,
Branch,"City of Coldwater, Pct 2",President,,DEM,Kamala D. Harris,492,,,,
Branch,"City of Coldwater, Pct 2",President,,REP,Donald J. Trump,799,,,,
Branch,"City of Coldwater, Pct 2",President,,LIB,Chase Oliver,7,,,,
Branch,"City of Coldwater, Pct 2",President,,UST,Randall Terry,2,,,,
Branch,"City of Coldwater, Pct 2",President,,GRN,Jill Stein,3,,,,
Branch,"City of Coldwater, Pct 2",President,,,Robert F. Kennedy Jr.,7,,,,
Branch,"City of Coldwater, Pct 2",President,,,Joseph Kishore,0,,,,
Branch,"City of Coldwater, Pct 2",President,,,Cornel West,0,,,,
Branch,"City of Coldwater, Pct 2",President,,,Write-ins,0,,,,
Branch,"City of Coldwater, Pct 3",President,,DEM,Kamala D. Harris,575,,,,
Branch,"City of Coldwater, Pct 3",President,,REP,Donald J. Trump,897,,,,
Branch,"City of Coldwater, Pct 3",President,,LIB,Chase Oliver,3,,,,
Branch,"City of Coldwater, Pct 3",President,,UST,Randall Terry,7,,,,
Branch,"City of Coldwater, Pct 3",President,,GRN,Jill Stein,8,,,,
Branch,"City of Coldwater, Pct 3",President,,,Robert F. Kennedy Jr.,13,,,,
Branch,"City of Coldwater, Pct 3",President,,,Joseph Kishore,1,,,,
Branch,"City of Coldwater, Pct 3",President,,,Cornel West,2,,,,
Branch,"City of Coldwater, Pct 3",President,,,Write-ins,0,,,,
Branch,"City of Coldwater, Pct 4",President,,DEM,Kamala D. Harris,339,,,,
Branch,"City of Coldwater, Pct 4",President,,REP,Donald J. Trump,613,,,,
Branch,"City of Coldwater, Pct 4",President,,LIB,Chase Oliver,3,,,,
Branch,"City of Coldwater, Pct 4",President,,UST,Randall Terry,0,,,,
Branch,"City of Coldwater, Pct 4",President,,GRN,Jill Stein,20,,,,
Branch,"City of Coldwater, Pct 4",President,,,Robert F. Kennedy Jr.,8,,,,
Branch,"City of Coldwater, Pct 4",President,,,Joseph Kishore,0,,,,
Branch,"City of Coldwater, Pct 4",President,,,Cornel West,1,,,,
Branch,"City of Coldwater, Pct 4",President,,,Write-ins,0,,,,
Branch,Algansee Township,President,,DEM,Kamala D. Harris,225,,,,
Branch,Algansee Township,President,,REP,Donald J. Trump,778,,,,
Branch,Algansee Township,President,,LIB,Chase Oliver,1,,,,
Branch,Algansee Township,President,,UST,Randall Terry,3,,,,
Branch,Algansee Township,President,,GRN,Jill Stein,2,,,,
Branch,Algansee Township,President,,,Robert F. Kennedy Jr.,1,,,,
Branch,Algansee Township,President,,,Joseph Kishore,0,,,,
Branch,Algansee Township,President,,,Cornel West,0,,,,
Branch,Algansee Township,President,,,Write-ins,0,,,,
Branch,Batavia Township,President,,DEM,Kamala D. Harris,171,,,,
Branch,Batavia Township,President,,REP,Donald J. Trump,502,,,,
Branch,Batavia Township,President,,LIB,Chase Oliver,4,,,,
Branch,Batavia Township,President,,UST,Randall Terry,4,,,,
Branch,Batavia Township,President,,GRN,Jill Stein,1,,,,
Branch,Batavia Township,President,,,Robert F. Kennedy Jr.,7,,,,
Branch,Batavia Township,President,,,Joseph Kishore,2,,,,
Branch,Batavia Township,President,,,Cornel West,0,,,,
Branch,Batavia Township,President,,,Write-ins,0,,,,
Branch,Bethel Township,President,,DEM,Kamala D. Harris,138,,,,
Branch,Bethel Township,President,,REP,Donald J. Trump,522,,,,
Branch,Bethel Township,President,,LIB,Chase Oliver,1,,,,
Branch,Bethel Township,President,,UST,Randall Terry,2,,,,
Branch,Bethel Township,President,,GRN,Jill Stein,1,,,,
Branch,Bethel Township,President,,,Robert F. Kennedy Jr.,3,,,,
Branch,Bethel Township,President,,,Joseph Kishore,0,,,,
Branch,Bethel Township,President,,,Cornel West,1,,,,
Branch,Bethel Township,President,,,Write-ins,0,,,,
Branch,Bronson Township,President,,DEM,Kamala D. Harris,146,,,,
Branch,Bronson Township,President,,REP,Donald J. Trump,585,,,,
Branch,Bronson Township,President,,LIB,Chase Oliver,2,,,,
Branch,Bronson Township,President,,UST,Randall Terry,0,,,,
Branch,Bronson Township,President,,GRN,Jill Stein,1,,,,
Branch,Bronson Township,President,,,Robert F. Kennedy Jr.,4,,,,
Branch,Bronson Township,President,,,Joseph Kishore,0,,,,
Branch,Bronson Township,President,,,Cornel West,0,,,,
Branch,Bronson Township,President,,,Write-ins,0,,,,
Branch,Butler Township,President,,DEM,Kamala D. Harris,143,,,,
Branch,Butler Township,President,,REP,Donald J. Trump,492,,,,
Branch,Butler Township,President,,LIB,Chase Oliver,5,,,,
Branch,Butler Township,President,,UST,Randall Terry,1,,,,
Branch,Butler Township,President,,GRN,Jill Stein,0,,,,
Branch,Butler Township,President,,,Robert F. Kennedy Jr.,5,,,,
Branch,Butler Township,President,,,Joseph Kishore,1,,,,
Branch,Butler Township,President,,,Cornel West,0,,,,
Branch,Butler Township,President,,,Write-ins,0,,,,
Branch,California Township,President,,DEM,Kamala D. Harris,51,,,,
Branch,California Township,President,,REP,Donald J. Trump,221,,,,
Branch,California Township,President,,LIB,Chase Oliver,0,,,,
Branch,California Township,President,,UST,Randall Terry,1,,,,
Branch,California Township,President,,GRN,Jill Stein,0,,,,
Branch,California Township,President,,,Robert F. Kennedy Jr.,1,,,,
Branch,California Township,President,,,Joseph Kishore,0,,,,
Branch,California Township,President,,,Cornel West,0,,,,
Branch,California Township,President,,,Write-ins,0,,,,
Branch,Coldwater Township,President,,DEM,Kamala D. Harris,520,,,,
Branch,Coldwater Township,President,,REP,Donald J. Trump,1480,,,,
Branch,Coldwater Township,President,,LIB,Chase Oliver,9,,,,
Branch,Coldwater Township,President,,UST,Randall Terry,3,,,,
Branch,Coldwater Township,President,,GRN,Jill Stein,1,,,,
Branch,Coldwater Township,President,,,Robert F. Kennedy Jr.,4,,,,
Branch,Coldwater Township,President,,,Joseph Kishore,0,,,,
Branch,Coldwater Township,President,,,Cornel West,0,,,,
Branch,Coldwater Township,President,,,Write-ins,0,,,,
Branch,Gilead Township,President,,DEM,Kamala D. Harris,87,,,,
Branch,Gilead Township,President,,REP,Donald J. Trump,261,,,,
Branch,Gilead Township,President,,LIB,Chase Oliver,0,,,,
Branch,Gilead Township,President,,UST,Randall Terry,0,,,,
Branch,Gilead Township,President,,GRN,Jill Stein,1,,,,
Branch,Gilead Township,President,,,Robert F. Kennedy Jr.,2,,,,
Branch,Gilead Township,President,,,Joseph Kishore,0,,,,
Branch,Gilead Township,President,,,Cornel West,0,,,,
Branch,Gilead Township,President,,,Write-ins,0,,,,
Branch,Girard Township,President,,DEM,Kamala D. Harris,289,,,,
Branch,Girard Township,President,,REP,Donald J. Trump,780,,,,
Branch,Girard Township,President,,LIB,Chase Oliver,4,,,,
Branch,Girard Township,President,,UST,Randall Terry,4,,,,
Branch,Girard Township,President,,GRN,Jill Stein,5,,,,
Branch,Girard Township,President,,,Robert F. Kennedy Jr.,6,,,,
Branch,Girard Township,President,,,Joseph Kishore,1,,,,
Branch,Girard Township,President,,,Cornel West,0,,,,
Branch,Girard Township,President,,,Write-ins,0,,,,
Branch,Kinderhook Township,President,,DEM,Kamala D. Harris,257,,,,
Branch,Kinderhook Township,President,,REP,Donald J. Trump,689,,,,
Branch,Kinderhook Township,President,,LIB,Chase Oliver,1,,,,
Branch,Kinderhook Township,President,,UST,Randall Terry,0,,,,
Branch,Kinderhook Township,President,,GRN,Jill Stein,3,,,,
Branch,Kinderhook Township,President,,,Robert F. Kennedy Jr.,5,,,,
Branch,Kinderhook Township,President,,,Joseph Kishore,0,,,,
Branch,Kinderhook Township,President,,,Cornel West,2,,,,
Branch,Kinderhook Township,President,,,Write-ins,0,,,,
Branch,Matteson Township,President,,DEM,Kamala D. Harris,217,,,,
Branch,Matteson Township,President,,REP,Donald J. Trump,473,,,,
Branch,Matteson Township,President,,LIB,Chase Oliver,3,,,,
Branch,Matteson Township,President,,UST,Randall Terry,0,,,,
Branch,Matteson Township,President,,GRN,Jill Stein,0,,,,
Branch,Matteson Township,President,,,Robert F. Kennedy Jr.,3,,,,
Branch,Matteson Township,President,,,Joseph Kishore,0,,,,
Branch,Matteson Township,President,,,Cornel West,0,,,,
Branch,Matteson Township,President,,,Write-ins,0,,,,
Branch,Noble Township,President,,DEM,Kamala D. Harris,58,,,,
Branch,Noble Township,President,,REP,Donald J. Trump,199,,,,
Branch,Noble Township,President,,LIB,Chase Oliver,1,,,,
Branch,Noble Township,President,,UST,Randall Terry,2,,,,
Branch,Noble Township,President,,GRN,Jill Stein,1,,,,
Branch,Noble Township,President,,,Robert F. Kennedy Jr.,1,,,,
Branch,Noble Township,President,,,Joseph Kishore,0,,,,
Branch,Noble Township,President,,,Cornel West,0,,,,
Branch,Noble Township,President,,,Write-ins,0,,,,
Branch,Ovid Township,President,,DEM,Kamala D. Harris,429,,,,
Branch,Ovid Township,President,,REP,Donald J. Trump,1160,,,,
Branch,Ovid Township,President,,LIB,Chase Oliver,3,,,,
Branch,Ovid Township,President,,UST,Randall Terry,1,,,,
Branch,Ovid Township,President,,GRN,Jill Stein,0,,,,
Branch,Ovid Township,President,,,Robert F. Kennedy Jr.,3,,,,
Branch,Ovid Township,President,,,Joseph Kishore,2,,,,
Branch,Ovid Township,President,,,Cornel West,0,,,,
Branch,Ovid Township,President,,,Write-ins,0,,,,
Branch,Quincy Township,President,,DEM,Kamala D. Harris,547,,,,
Branch,Quincy Township,President,,REP,Donald J. Trump,1442,,,,
Branch,Quincy Township,President,,LIB,Chase Oliver,10,,,,
Branch,Quincy Township,President,,UST,Randall Terry,2,,,,
Branch,Quincy Township,President,,GRN,Jill Stein,3,,,,
Branch,Quincy Township,President,,,Robert F. Kennedy Jr.,11,,,,
Branch,Quincy Township,President,,,Joseph Kishore,2,,,,
Branch,Quincy Township,President,,,Cornel West,0,,,,
Branch,Quincy Township,President,,,Write-ins,0,,,,
Branch,Sherwood Township,President,,DEM,Kamala D. Harris,254,,,,
Branch,Sherwood Township,President,,REP,Donald J. Trump,773,,,,
Branch,Sherwood Township,President,,LIB,Chase Oliver,3,,,,
Branch,Sherwood Township,President,,UST,Randall Terry,2,,,,
Branch,Sherwood Township,President,,GRN,Jill Stein,1,,,,
Branch,Sherwood Township,President,,,Robert F. Kennedy Jr.,5,,,,
Branch,Sherwood Township,President,,,Joseph Kishore,1,,,,
Branch,Sherwood Township,President,,,Cornel West,2,,,,
Branch,Sherwood Township,President,,,Write-ins,0,,,,
Branch,Union Township,President,,DEM,Kamala D. Harris,414,,,,
Branch,Union Township,President,,REP,Donald J. Trump,1038,,,,
Branch,Union Township,President,,LIB,Chase Oliver,5,,,,
Branch,Union Township,President,,UST,Randall Terry,4,,,,
Branch,Union Township,President,,GRN,Jill Stein,5,,,,
Branch,Union Township,President,,,Robert F. Kennedy Jr.,14,,,,
Branch,Union Township,President,,,Joseph Kishore,0,,,,
Branch,Union Township,President,,,Cornel West,0,,,,
Branch,Union Township,President,,,Write-ins,1,,,,
