county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Branch,City of Bronson,Straight Party,,DEM,Democratic,145,,,,
Branch,City of Bronson,Straight Party,,REP,Republican,353,,,,
Branch,City of Bronson,Straight Party,,LIB,Libertarian,2,,,,
Branch,City of Bronson,Straight Party,,UST,U.S. Taxpayers,2,,,,
Branch,City of Bronson,Straight Party,,GRN,Green,1,,,,
Branch,City of Bronson,Straight Party,,WCP,Working Class,9,,,,
Branch,City of Bronson,Straight Party,,NLP,Natural Law,1,,,,
Branch,"City of Coldwater, Pct 1",Straight Party,,DEM,Democratic,190,,,,
Branch,"City of Coldwater, Pct 1",Straight Party,,REP,Republican,381,,,,
Branch,"City of Coldwater, Pct 1",Straight Party,,LIB,Libertarian,5,,,,
Branch,"City of Coldwater, Pct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Branch,"City of Coldwater, Pct 1",Straight Party,,GRN,Green,5,,,,
Branch,"City of Coldwater, Pct 1",Straight Party,,WCP,Working Class,4,,,,
Branch,"City of Coldwater, Pct 1",Straight Party,,NLP,Natural Law,0,,,,
Branch,"City of Coldwater, Pct 2",Straight Party,,DEM,Democratic,273,,,,
Branch,"City of Coldwater, Pct 2",Straight Party,,REP,Republican,508,,,,
Branch,"City of Coldwater, Pct 2",Straight Party,,LIB,Libertarian,5,,,,
Branch,"City of Coldwater, Pct 2",Straight Party,,UST,U.S. Taxpayers,3,,,,
Branch,"City of Coldwater, Pct 2",Straight Party,,GRN,Green,1,,,,
Branch,"City of Coldwater, Pct 2",Straight Party,,WCP,Working Class,8,,,,
Branch,"City of Coldwater, Pct 2",Straight Party,,NLP,Natural Law,1,,,,
Branch,"City of Coldwater, Pct 3",Straight Party,,DEM,Democratic,270,,,,
Branch,"City of Coldwater, Pct 3",Straight Party,,REP,Republican,548,,,,
Branch,"City of Coldwater, Pct 3",Straight Party,,LIB,Libertarian,1,,,,
Branch,"City of Coldwater, Pct 3",Straight Party,,UST,U.S. Taxpayers,3,,,,
Branch,"City of Coldwater, Pct 3",Straight Party,,GRN,Green,4,,,,
Branch,"City of Coldwater, Pct 3",Straight Party,,WCP,Working Class,10,,,,
Branch,"City of Coldwater, Pct 3",Straight Party,,NLP,Natural Law,2,,,,
Branch,"City of Coldwater, Pct 4",Straight Party,,DEM,Democratic,182,,,,
Branch,"City of Coldwater, Pct 4",Straight Party,,REP,Republican,388,,,,
Branch,"City of Coldwater, Pct 4",Straight Party,,LIB,Libertarian,3,,,,
Branch,"City of Coldwater, Pct 4",Straight Party,,UST,U.S. Taxpayers,1,,,,
Branch,"City of Coldwater, Pct 4",Straight Party,,GRN,Green,11,,,,
Branch,"City of Coldwater, Pct 4",Straight Party,,WCP,Working Class,8,,,,
Branch,"City of Coldwater, Pct 4",Straight Party,,NLP,Natural Law,2,,,,
Branch,Algansee Township,Straight Party,,DEM,Democratic,92,,,,
Branch,Algansee Township,Straight Party,,REP,Republican,459,,,,
Branch,Algansee Township,Straight Party,,LIB,Libertarian,1,,,,
