county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Branch,City of Bronson,U.S. House,5,DEM,Libbi Urban,226,,,,
Branch,City of Bronson,U.S. House,5,REP,Tim Walberg,584,,,,
Branch,City of Bronson,U.S. House,5,GRN,James Bronke,20,,,,
Branch,"City of Coldwater, Pct 1",U.S. House,5,DEM,Libbi Urban,280,,,,
Branch,"City of Coldwater, Pct 1",U.S. House,5,REP,Tim Walberg,570,,,,
Branch,"City of Coldwater, Pct 1",U.S. House,5,GRN,James Bronke,25,,,,
Branch,"City of Coldwater, Pct 2",U.S. House,5,DEM,Libbi Urban,426,,,,
Branch,"City of Coldwater, Pct 2",U.S. House,5,REP,Tim Walberg,834,,,,
Branch,"City of Coldwater, Pct 2",U.S. House,5,GRN,James Bronke,18,,,,
Branch,"City of Coldwater, Pct 3",U.S. House,5,DEM,Libbi Urban,500,,,,
Branch,"City of Coldwater, Pct 3",U.S. House,5,REP,Tim Walberg,963,,,,
Branch,"City of Coldwater, Pct 3",U.S. House,5,GRN,James Bronke,16,,,,
Branch,"City of Coldwater, Pct 4",U.S. House,5,DEM,Libbi Urban,301,,,,
Branch,"City of Coldwater, Pct 4",U.S. House,5,REP,Tim Walberg,622,,,,
Branch,"City of Coldwater, Pct 4",U.S. House,5,GRN,James Bronke,33,,,,
Branch,"Algansee Township, Pre",U.S. House,5,DEM,Libbi Urban,192,,,,
Branch,"Algansee Township, Pre",U.S. House,5,REP,Tim Walberg,790,,,,
Branch,"Algansee Township, Pre",U.S. House,5,GRN,James Bronke,14,,,,
Branch,Batavia Township,U.S. House,5,DEM,Libbi Urban,144,,,,
Branch,Batavia Township,U.S. House,5,REP,Tim Walberg,525,,,,
Branch,Batavia Township,U.S. House,5,GRN,James Bronke,7,,,,
Branch,Bethel Township,U.S. House,5,DEM,Libbi Urban,126,,,,
Branch,Bethel Township,U.S. House,5,REP,Tim Walberg,525,,,,
Branch,Bethel Township,U.S. House,5,GRN,James Bronke,10,,,,
Branch,Bronson Township,U.S. House,5,DEM,Libbi Urban,126,,,,
Branch,Bronson Township,U.S. House,5,REP,Tim Walberg,591,,,,
Branch,Bronson Township,U.S. House,5,GRN,James Bronke,10,,,,
Branch,Butler Township,U.S. House,5,DEM,Libbi Urban,123,,,,
Branch,Butler Township,U.S. House,5,REP,Tim Walberg,504,,,,
Branch,Butler Township,U.S. House,5,GRN,James Bronke,14,,,,
Branch,California Township,U.S. House,5,DEM,Libbi Urban,43,,,,
Branch,California Township,U.S. House,5,REP,Tim Walberg,224,,,,
Branch,California Township,U.S. House,5,GRN,James Bronke,3,,,,
Branch,Coldwater Township,U.S. House,5,DEM,Libbi Urban,422,,,,
Branch,Coldwater Township,U.S. House,5,REP,Tim Walberg,1534,,,,
Branch,Coldwater Township,U.S. House,5,GRN,James Bronke,27,,,,
Branch,Gilead Township,U.S. House,5,DEM,Libbi Urban,70,,,,
Branch,Gilead Township,U.S. House,5,REP,Tim Walberg,270,,,,
Branch,Gilead Township,U.S. House,5,GRN,James Bronke,1,,,,
Branch,Girard Township,U.S. House,5,DEM,Libbi Urban,248,,,,
Branch,Girard Township,U.S. House,5,REP,Tim Walberg,808,,,,
Branch,Girard Township,U.S. House,5,GRN,James Bronke,11,,,,
Branch,Kinderhook Township,U.S. House,5,DEM,Libbi Urban,215,,,,
Branch,Kinderhook Township,U.S. House,5,REP,Tim Walberg,707,,,,
Branch,Kinderhook Township,U.S. House,5,GRN,James Bronke,12,,,,
Branch,Matteson Township,U.S. House,5,DEM,Libbi Urban,195,,,,
Branch,Matteson Township,U.S. House,5,REP,Tim Walberg,481,,,,
Branch,Matteson Township,U.S. House,5,GRN,James Bronke,5,,,,
Branch,Noble Township,U.S. House,5,DEM,Libbi Urban,50,,,,
Branch,Noble Township,U.S. House,5,REP,Tim Walberg,206,,,,
Branch,Noble Township,U.S. House,5,GRN,James Bronke,2,,,,
Branch,Ovid Township,U.S. House,5,DEM,Libbi Urban,373,,,,
Branch,Ovid Township,U.S. House,5,REP,Tim Walberg,1206,,,,
Branch,Ovid Township,U.S. House,5,GRN,James Bronke,15,,,,
Branch,Quincy Township,U.S. House,5,DEM,Libbi Urban,466,,,,
Branch,Quincy Township,U.S. House,5,REP,Tim Walberg,1480,,,,
Branch,Quincy Township,U.S. House,5,GRN,James Bronke,30,,,,
Branch,Sherwood Township,U.S. House,5,DEM,Libbi Urban,217,,,,
Branch,Sherwood Township,U.S. House,5,REP,Tim Walberg,775,,,,
Branch,Sherwood Township,U.S. House,5,GRN,James Bronke,13,,,,
Branch,Union Township,U.S. House,5,DEM,Libbi Urban,360,,,,
Branch,Union Township,U.S. House,5,REP,Tim Walberg,1067,,,,
Branch,Union Township,U.S. House,5,GRN,James Bronke,24,,,,
