county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Branch,City of Bronson,U.S. Senate,,DEM,Elissa Slotkin,255,,,,
Branch,City of Bronson,U.S. Senate,,REP,Mike Rogers,535,,,,
Branch,City of Bronson,U.S. Senate,,LIB,Joseph Solis-Mullen,17,,,,
Branch,City of Bronson,U.S. Senate,,UST,Dave Stein,9,,,,
Branch,City of Bronson,U.S. Senate,,GRN,Douglas Marsh,8,,,,
Branch,City of Bronson,U.S. Senate,,NLP,Doug Dern,10,,,,
Branch,"City of Coldwater, Pct 1",U.S. Senate,,DEM,Elissa Slotkin,310,,,,
Branch,"City of Coldwater, Pct 1",U.S. Senate,,REP,Mike Rogers,526,,,,
Branch,"City of Coldwater, Pct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,9,,,,
Branch,"City of Coldwater, Pct 1",U.S. Senate,,UST,Dave Stein,14,,,,
Branch,"City of Coldwater, Pct 1",U.S. Senate,,GRN,Douglas Marsh,14,,,,
Branch,"City of Coldwater, Pct 1",U.S. Senate,,NLP,Doug Dern,8,,,,
Branch,"City of Coldwater, Pct 2",U.S. Senate,,DEM,Elissa Slotkin,498,,,,
Branch,"City of Coldwater, Pct 2",U.S. Senate,,REP,Mike Rogers,743,,,,
Branch,"City of Coldwater, Pct 2",U.S. Senate,,LIB,Joseph Solis-Mullen,18,,,,
Branch,"City of Coldwater, Pct 2",U.S. Senate,,UST,Dave Stein,13,,,,
Branch,"City of Coldwater, Pct 2",U.S. Senate,,GRN,Douglas Marsh,5,,,,
Branch,"City of Coldwater, Pct 2",U.S. Senate,,NLP,Doug Dern,10,,,,
Branch,"City of Coldwater, Pct 3",U.S. Senate,,DEM,Elissa Slotkin,560,,,,
Branch,"City of Coldwater, Pct 3",U.S. Senate,,REP,Mike Rogers,872,,,,
Branch,"City of Coldwater, Pct 3",U.S. Senate,,LIB,Joseph Solis-Mullen,15,,,,
Branch,"City of Coldwater, Pct 3",U.S. Senate,,UST,Dave Stein,17,,,,
Branch,"City of Coldwater, Pct 3",U.S. Senate,,GRN,Douglas Marsh,14,,,,
Branch,"City of Coldwater, Pct 3",U.S. Senate,,NLP,Doug Dern,8,,,,
Branch,"City of Coldwater, Pct 4",U.S. Senate,,DEM,Elissa Slotkin,331,,,,
Branch,"City of Coldwater, Pct 4",U.S. Senate,,REP,Mike Rogers,575,,,,
Branch,"City of Coldwater, Pct 4",U.S. Senate,,LIB,Joseph Solis-Mullen,20,,,,
Branch,"City of Coldwater, Pct 4",U.S. Senate,,UST,Dave Stein,14,,,,
Branch,"City of Coldwater, Pct 4",U.S. Senate,,GRN,Douglas Marsh,17,,,,
Branch,"City of Coldwater, Pct 4",U.S. Senate,,NLP,Doug Dern,7,,,,
Branch,Algansee Township,U.S. Senate,,DEM,Elissa Slotkin,220,,,,
Branch,Algansee Township,U.S. Senate,,REP,Mike Rogers,756,,,,
Branch,Algansee Township,U.S. Senate,,LIB,Joseph Solis-Mullen,8,,,,
Branch,Algansee Township,U.S. Senate,,UST,Dave Stein,12,,,,
Branch,Algansee Township,U.S. Senate,,GRN,Douglas Marsh,7,,,,
Branch,Algansee Township,U.S. Senate,,NLP,Doug Dern,2,,,,
Branch,Batavia Township,U.S. Senate,,DEM,Elissa Slotkin,165,,,,
Branch,Batavia Township,U.S. Senate,,REP,Mike Rogers,495,,,,
Branch,Batavia Township,U.S. Senate,,LIB,Joseph Solis-Mullen,6,,,,
Branch,Batavia Township,U.S. Senate,,UST,Dave Stein,7,,,,
Branch,Batavia Township,U.S. Senate,,GRN,Douglas Marsh,2,,,,
Branch,Batavia Township,U.S. Senate,,NLP,Doug Dern,3,,,,
Branch,Bethel Township,U.S. Senate,,DEM,Elissa Slotkin,146,,,,
Branch,Bethel Township,U.S. Senate,,REP,Mike Rogers,497,,,,
Branch,Bethel Township,U.S. Senate,,LIB,Joseph Solis-Mullen,4,,,,
Branch,Bethel Township,U.S. Senate,,UST,Dave Stein,10,,,,
Branch,Bethel Township,U.S. Senate,,GRN,Douglas Marsh,3,,,,
Branch,Bethel Township,U.S. Senate,,NLP,Doug Dern,3,,,,
Branch,Bronson Township,U.S. Senate,,DEM,Elissa Slotkin,157,,,,
Branch,Bronson Township,U.S. Senate,,REP,Mike Rogers,555,,,,
Branch,Bronson Township,U.S. Senate,,LIB,Joseph Solis-Mullen,5,,,,
Branch,Bronson Township,U.S. Senate,,UST,Dave Stein,8,,,,
Branch,Bronson Township,U.S. Senate,,GRN,Douglas Marsh,4,,,,
Branch,Bronson Township,U.S. Senate,,NLP,Doug Dern,3,,,,
Branch,Butler Township,U.S. Senate,,DEM,Elissa Slotkin,151,,,,
Branch,Butler Township,U.S. Senate,,REP,Mike Rogers,475,,,,
Branch,Butler Township,U.S. Senate,,LIB,Joseph Solis-Mullen,6,,,,
Branch,Butler Township,U.S. Senate,,UST,Dave Stein,6,,,,
Branch,Butler Township,U.S. Senate,,GRN,Douglas Marsh,4,,,,
Branch,Butler Township,U.S. Senate,,NLP,Doug Dern,3,,,,
Branch,California Township,U.S. Senate,,DEM,Elissa Slotkin,50,,,,
Branch,California Township,U.S. Senate,,REP,Mike Rogers,208,,,,
Branch,California Township,U.S. Senate,,LIB,Joseph Solis-Mullen,2,,,,
Branch,California Township,U.S. Senate,,UST,Dave Stein,6,,,,
Branch,California Township,U.S. Senate,,GRN,Douglas Marsh,3,,,,
Branch,California Township,U.S. Senate,,NLP,Doug Dern,2,,,,
Branch,Coldwater Township,U.S. Senate,,DEM,Elissa Slotkin,511,,,,
Branch,Coldwater Township,U.S. Senate,,REP,Mike Rogers,1425,,,,
Branch,Coldwater Township,U.S. Senate,,LIB,Joseph Solis-Mullen,23,,,,
Branch,Coldwater Township,U.S. Senate,,UST,Dave Stein,27,,,,
Branch,Coldwater Township,U.S. Senate,,GRN,Douglas Marsh,6,,,,
Branch,Coldwater Township,U.S. Senate,,NLP,Doug Dern,3,,,,
Branch,Gilead Township,U.S. Senate,,DEM,Elissa Slotkin,84,,,,
Branch,Gilead Township,U.S. Senate,,REP,Mike Rogers,249,,,,
Branch,Gilead Township,U.S. Senate,,LIB,Joseph Solis-Mullen,4,,,,
Branch,Gilead Township,U.S. Senate,,UST,Dave Stein,2,,,,
Branch,Gilead Township,U.S. Senate,,GRN,Douglas Marsh,0,,,,
Branch,Gilead Township,U.S. Senate,,NLP,Doug Dern,2,,,,
Branch,Girard Township,U.S. Senate,,DEM,Elissa Slotkin,297,,,,
Branch,Girard Township,U.S. Senate,,REP,Mike Rogers,751,,,,
Branch,Girard Township,U.S. Senate,,LIB,Joseph Solis-Mullen,8,,,,
Branch,Girard Township,U.S. Senate,,UST,Dave Stein,8,,,,
Branch,Girard Township,U.S. Senate,,GRN,Douglas Marsh,6,,,,
Branch,Girard Township,U.S. Senate,,NLP,Doug Dern,2,,,,
Branch,Kinderhook Township,U.S. Senate,,DEM,Elissa Slotkin,255,,,,
Branch,Kinderhook Township,U.S. Senate,,REP,Mike Rogers,663,,,,
Branch,Kinderhook Township,U.S. Senate,,LIB,Joseph Solis-Mullen,4,,,,
Branch,Kinderhook Township,U.S. Senate,,UST,Dave Stein,6,,,,
Branch,Kinderhook Township,U.S. Senate,,GRN,Douglas Marsh,6,,,,
Branch,Kinderhook Township,U.S. Senate,,NLP,Doug Dern,2,,,,
Branch,Matteson Township,U.S. Senate,,DEM,Elissa Slotkin,208,,,,
Branch,Matteson Township,U.S. Senate,,REP,Mike Rogers,461,,,,
Branch,Matteson Township,U.S. Senate,,LIB,Joseph Solis-Mullen,6,,,,
Branch,Matteson Township,U.S. Senate,,UST,Dave Stein,6,,,,
