county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Calaveras,110,President,,GRN,Howie Hawkins,3,0,,3,0
Calaveras,110,President,,LIB,Jo Jorgensen,10,1,,9,0
Calaveras,110,President,,DEM,Joe Biden,275,35,,240,0
Calaveras,110,President,,REP,Donald Trump,515,81,,434,0
Calaveras,110,President,,PFP,GLORIA LA RIVA,3,1,,2,0
Calaveras,110,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,0,,4,0
Calaveras,110,President,,,Undervotes,3,1,,2,0
Calaveras,110,President,,,Overvotes,1,0,,1,0
Calaveras,110,President,,,Write-ins,3,0,,3,0
Calaveras,120,President,,GRN,Howie Hawkins,3,0,,3,0
Calaveras,120,President,,LIB,Jo Jorgensen,11,1,,10,0
Calaveras,120,President,,DEM,Joe Biden,334,15,,319,0
Calaveras,120,President,,REP,Donald Trump,638,101,,536,1
Calaveras,120,President,,PFP,GLORIA LA RIVA,1,0,,1,0
Calaveras,120,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",2,0,,2,0
Calaveras,120,President,,,Undervotes,6,0,,6,0
Calaveras,120,President,,,Overvotes,2,0,,2,0
Calaveras,120,President,,,Write-ins,1,0,,1,0
Calaveras,140,President,,GRN,Howie Hawkins,3,1,,2,0
Calaveras,140,President,,LIB,Jo Jorgensen,16,2,,14,0
Calaveras,140,President,,DEM,Joe Biden,278,20,,258,0
Calaveras,140,President,,REP,Donald Trump,625,152,,471,2
Calaveras,140,President,,PFP,GLORIA LA RIVA,1,1,,0,0
Calaveras,140,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,0,,4,0
Calaveras,140,President,,,Undervotes,6,0,,6,0
Calaveras,140,President,,,Overvotes,1,0,,1,0
Calaveras,140,President,,,Write-ins,0,0,,0,0
Calaveras,150,President,,GRN,Howie Hawkins,4,2,,2,0
Calaveras,150,President,,LIB,Jo Jorgensen,2,0,,2,0
Calaveras,150,President,,DEM,Joe Biden,226,13,,213,0
Calaveras,150,President,,REP,Donald Trump,468,98,,368,2
Calaveras,150,President,,PFP,GLORIA LA RIVA,0,0,,0,0
Calaveras,150,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",1,0,,1,0
Calaveras,150,President,,,Undervotes,5,0,,5,0
Calaveras,150,President,,,Overvotes,0,0,,0,0
Calaveras,150,President,,,Write-ins,4,0,,4,0
Calaveras,160,President,,GRN,Howie Hawkins,4,1,,3,0
Calaveras,160,President,,LIB,Jo Jorgensen,7,2,,5,0
Calaveras,160,President,,DEM,Joe Biden,207,14,,193,0
Calaveras,160,President,,REP,Donald Trump,583,114,,468,1
