county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Calaveras,110,U.S. House,4,DEM,Brynne Kennedy,295,41,,254,0
Calaveras,110,U.S. House,4,REP,Tom McClintock,499,74,,425,0
Calaveras,110,U.S. House,4,,Undervotes,22,4,,18,0
Calaveras,110,U.S. House,4,,Overvotes,1,0,,1,0
Calaveras,110,U.S. House,4,,Write-ins,0,0,,0,0
Calaveras,120,U.S. House,4,DEM,Brynne Kennedy,324,17,,307,0
Calaveras,120,U.S. House,4,REP,Tom McClintock,658,96,,561,1
Calaveras,120,U.S. House,4,,Undervotes,16,4,,12,0
Calaveras,120,U.S. House,4,,Overvotes,0,0,,0,0
Calaveras,120,U.S. House,4,,Write-ins,0,0,,0,0
Calaveras,140,U.S. House,4,DEM,Brynne Kennedy,289,21,,268,0
Calaveras,140,U.S. House,4,REP,Tom McClintock,620,152,,466,2
Calaveras,140,U.S. House,4,,Undervotes,24,3,,21,0
Calaveras,140,U.S. House,4,,Overvotes,1,0,,1,0
Calaveras,140,U.S. House,4,,Write-ins,0,0,,0,0
Calaveras,150,U.S. House,4,DEM,Brynne Kennedy,225,13,,212,0
Calaveras,150,U.S. House,4,REP,Tom McClintock,469,98,,369,2
Calaveras,150,U.S. House,4,,Undervotes,16,2,,14,0
Calaveras,150,U.S. House,4,,Overvotes,0,0,,0,0
Calaveras,150,U.S. House,4,,Write-ins,0,0,,0,0
Calaveras,160,U.S. House,4,DEM,Brynne Kennedy,221,15,,206,0
Calaveras,160,U.S. House,4,REP,Tom McClintock,575,119,,455,1
Calaveras,160,U.S. House,4,,Undervotes,20,1,,19,0
Calaveras,160,U.S. House,4,,Overvotes,0,0,,0,0
Calaveras,160,U.S. House,4,,Write-ins,0,0,,0,0
Calaveras,170,U.S. House,4,DEM,Brynne Kennedy,274,29,,245,0
Calaveras,170,U.S. House,4,REP,Tom McClintock,673,157,,515,1
Calaveras,170,U.S. House,4,,Undervotes,22,4,,18,0
Calaveras,170,U.S. House,4,,Overvotes,1,0,,1,0
