county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Calhoun,"City of Albion, Precinct 1",President,,DEM,Kamala D. Harris,429,257,29,143,
Calhoun,"City of Albion, Precinct 1",President,,REP,Donald J. Trump,145,98,25,22,
Calhoun,"City of Albion, Precinct 1",President,,LIB,Chase Oliver,3,2,0,1,
Calhoun,"City of Albion, Precinct 1",President,,UST,Randall Terry,0,0,0,0,
Calhoun,"City of Albion, Precinct 1",President,,GRN,Jill Stein,0,0,0,0,
Calhoun,"City of Albion, Precinct 1",President,,NLP,"Robert F. Kennedy, Jr.",4,3,0,1,
Calhoun,"City of Albion, Precinct 1",President,,NPA,Joseph Kishore,0,0,0,0,
Calhoun,"City of Albion, Precinct 1",President,,NPA,Cornel West,1,0,0,1,
Calhoun,"City of Albion, Precinct 1",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Albion, Precinct 1",President,,,Claudia De la Cruz,0,0,0,0,
Calhoun,"City of Albion, Precinct 1",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Albion, Precinct 1",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Albion, Precinct 1",President,,,Write-ins,0,0,0,0,
Calhoun,"City of Albion, Precinct 2",President,,DEM,Kamala D. Harris,316,179,26,111,
Calhoun,"City of Albion, Precinct 2",President,,REP,Donald J. Trump,108,73,13,22,
Calhoun,"City of Albion, Precinct 2",President,,LIB,Chase Oliver,1,0,0,1,
Calhoun,"City of Albion, Precinct 2",President,,UST,Randall Terry,1,1,0,0,
Calhoun,"City of Albion, Precinct 2",President,,GRN,Jill Stein,2,2,0,0,
Calhoun,"City of Albion, Precinct 2",President,,NLP,"Robert F. Kennedy, Jr.",1,1,0,0,
Calhoun,"City of Albion, Precinct 2",President,,NPA,Joseph Kishore,2,1,0,1,
Calhoun,"City of Albion, Precinct 2",President,,NPA,Cornel West,0,0,0,0,
Calhoun,"City of Albion, Precinct 2",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Albion, Precinct 2",President,,,Claudia De la Cruz,0,0,0,0,
Calhoun,"City of Albion, Precinct 2",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Albion, Precinct 2",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Albion, Precinct 2",President,,,Write-ins,0,0,0,0,
Calhoun,"City of Albion, Precinct 3",President,,DEM,Kamala D. Harris,402,200,16,186,
Calhoun,"City of Albion, Precinct 3",President,,REP,Donald J. Trump,208,127,28,53,
Calhoun,"City of Albion, Precinct 3",President,,LIB,Chase Oliver,4,4,0,0,
Calhoun,"City of Albion, Precinct 3",President,,UST,Randall Terry,0,0,0,0,
Calhoun,"City of Albion, Precinct 3",President,,GRN,Jill Stein,2,2,0,0,
Calhoun,"City of Albion, Precinct 3",President,,NLP,"Robert F. Kennedy, Jr.",5,4,0,1,
Calhoun,"City of Albion, Precinct 3",President,,NPA,Joseph Kishore,0,0,0,0,
Calhoun,"City of Albion, Precinct 3",President,,NPA,Cornel West,2,1,0,1,
Calhoun,"City of Albion, Precinct 3",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Albion, Precinct 3",President,,,Claudia De la Cruz,0,0,0,0,
Calhoun,"City of Albion, Precinct 3",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Albion, Precinct 3",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Albion, Precinct 3",President,,,Write-ins,2,1,0,1,
Calhoun,"City of Albion, Precinct 4",President,,DEM,Kamala D. Harris,251,154,15,82,
Calhoun,"City of Albion, Precinct 4",President,,REP,Donald J. Trump,212,141,27,44,
Calhoun,"City of Albion, Precinct 4",President,,LIB,Chase Oliver,1,0,0,1,
Calhoun,"City of Albion, Precinct 4",President,,UST,Randall Terry,0,0,0,0,
Calhoun,"City of Albion, Precinct 4",President,,GRN,Jill Stein,1,1,0,0,
Calhoun,"City of Albion, Precinct 4",President,,NLP,"Robert F. Kennedy, Jr.",2,2,0,0,
Calhoun,"City of Albion, Precinct 4",President,,NPA,Joseph Kishore,0,0,0,0,
Calhoun,"City of Albion, Precinct 4",President,,NPA,Cornel West,0,0,0,0,
Calhoun,"City of Albion, Precinct 4",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Albion, Precinct 4",President,,,Claudia De la Cruz,0,0,0,0,
Calhoun,"City of Albion, Precinct 4",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Albion, Precinct 4",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Albion, Precinct 4",President,,,Write-ins,0,0,0,0,
Calhoun,"City of Albion, Precinct 5",President,,DEM,Kamala D. Harris,361,167,21,173,
Calhoun,"City of Albion, Precinct 5",President,,REP,Donald J. Trump,250,147,46,57,
Calhoun,"City of Albion, Precinct 5",President,,LIB,Chase Oliver,2,1,1,0,
Calhoun,"City of Albion, Precinct 5",President,,UST,Randall Terry,1,1,0,0,
Calhoun,"City of Albion, Precinct 5",President,,GRN,Jill Stein,1,0,0,1,
Calhoun,"City of Albion, Precinct 5",President,,NLP,"Robert F. Kennedy, Jr.",6,6,0,0,
Calhoun,"City of Albion, Precinct 5",President,,NPA,Joseph Kishore,0,0,0,0,
Calhoun,"City of Albion, Precinct 5",President,,NPA,Cornel West,2,1,0,1,
Calhoun,"City of Albion, Precinct 5",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Albion, Precinct 5",President,,,Claudia De la Cruz,1,1,0,0,
Calhoun,"City of Albion, Precinct 5",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Albion, Precinct 5",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Albion, Precinct 5",President,,,Write-ins,1,1,0,0,
Calhoun,"City of Albion, Precinct 6",President,,DEM,Kamala D. Harris,353,166,27,160,
Calhoun,"City of Albion, Precinct 6",President,,REP,Donald J. Trump,118,58,17,43,
Calhoun,"City of Albion, Precinct 6",President,,LIB,Chase Oliver,2,1,0,1,
Calhoun,"City of Albion, Precinct 6",President,,UST,Randall Terry,0,0,0,0,
Calhoun,"City of Albion, Precinct 6",President,,GRN,Jill Stein,1,1,0,0,
Calhoun,"City of Albion, Precinct 6",President,,NLP,"Robert F. Kennedy, Jr.",1,1,0,0,
Calhoun,"City of Albion, Precinct 6",President,,NPA,Joseph Kishore,0,0,0,0,
Calhoun,"City of Albion, Precinct 6",President,,NPA,Cornel West,1,1,0,0,
Calhoun,"City of Albion, Precinct 6",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Albion, Precinct 6",President,,,Claudia De la Cruz,0,0,0,0,
Calhoun,"City of Albion, Precinct 6",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Albion, Precinct 6",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Albion, Precinct 6",President,,,Write-ins,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,DEM,Kamala D. Harris,430,217,89,124,
Calhoun,"City of Battle Creek, Precinct 1",President,,REP,Donald J. Trump,320,201,67,52,
Calhoun,"City of Battle Creek, Precinct 1",President,,LIB,Chase Oliver,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,UST,Randall Terry,1,1,0,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,GRN,Jill Stein,2,1,1,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,NLP,"Robert F. Kennedy, Jr.",5,2,1,2,
Calhoun,"City of Battle Creek, Precinct 1",President,,NPA,Joseph Kishore,1,0,1,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,NPA,Cornel West,1,0,1,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,,Claudia De la Cruz,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 1",President,,,Write-ins,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 2",President,,DEM,Kamala D. Harris,384,183,88,113,
Calhoun,"City of Battle Creek, Precinct 2",President,,REP,Donald J. Trump,421,226,117,78,
Calhoun,"City of Battle Creek, Precinct 2",President,,LIB,Chase Oliver,3,3,0,0,
Calhoun,"City of Battle Creek, Precinct 2",President,,UST,Randall Terry,3,2,0,1,
Calhoun,"City of Battle Creek, Precinct 2",President,,GRN,Jill Stein,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 2",President,,NLP,"Robert F. Kennedy, Jr.",11,5,1,5,
Calhoun,"City of Battle Creek, Precinct 2",President,,NPA,Joseph Kishore,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 2",President,,NPA,Cornel West,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 2",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 2",President,,,Claudia De la Cruz,1,1,0,0,
Calhoun,"City of Battle Creek, Precinct 2",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 2",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 2",President,,,Write-ins,3,3,0,0,
Calhoun,"City of Battle Creek, Precinct 3",President,,DEM,Kamala D. Harris,676,190,167,319,
Calhoun,"City of Battle Creek, Precinct 3",President,,REP,Donald J. Trump,871,307,296,268,
Calhoun,"City of Battle Creek, Precinct 3",President,,LIB,Chase Oliver,6,3,2,1,
Calhoun,"City of Battle Creek, Precinct 3",President,,UST,Randall Terry,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 3",President,,GRN,Jill Stein,4,2,0,2,
Calhoun,"City of Battle Creek, Precinct 3",President,,NLP,"Robert F. Kennedy, Jr.",2,0,0,2,
Calhoun,"City of Battle Creek, Precinct 3",President,,NPA,Joseph Kishore,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 3",President,,NPA,Cornel West,1,1,0,0,
Calhoun,"City of Battle Creek, Precinct 3",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 3",President,,,Claudia De la Cruz,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 3",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 3",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 3",President,,,Write-ins,4,1,0,3,
Calhoun,"City of Battle Creek, Precinct 4",President,,DEM,Kamala D. Harris,535,207,122,206,
Calhoun,"City of Battle Creek, Precinct 4",President,,REP,Donald J. Trump,617,382,139,96,
Calhoun,"City of Battle Creek, Precinct 4",President,,LIB,Chase Oliver,7,4,2,1,
Calhoun,"City of Battle Creek, Precinct 4",President,,UST,Randall Terry,1,0,0,1,
Calhoun,"City of Battle Creek, Precinct 4",President,,GRN,Jill Stein,2,2,0,0,
Calhoun,"City of Battle Creek, Precinct 4",President,,NLP,"Robert F. Kennedy, Jr.",7,7,0,0,
Calhoun,"City of Battle Creek, Precinct 4",President,,NPA,Joseph Kishore,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 4",President,,NPA,Cornel West,3,3,0,0,
Calhoun,"City of Battle Creek, Precinct 4",President,,,Jay J. Bowman,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 4",President,,,Claudia De la Cruz,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 4",President,,,Cherunda Lynn Fox,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 4",President,,,Peter Sonski,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 4",President,,,Write-ins,4,4,0,0,
Calhoun,"City of Battle Creek, Precinct 5",President,,DEM,Kamala D. Harris,644,170,135,339,
Calhoun,"City of Battle Creek, Precinct 5",President,,REP,Donald J. Trump,822,325,267,230,
