county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Calhoun,"City of Battle Creek, Precinct 1",U.S. House,4,DEM,Jessica Swartz,412,206,88,118,
Calhoun,"City of Battle Creek, Precinct 1",U.S. House,4,REP,Bill Huizenga,291,180,62,49,
Calhoun,"City of Battle Creek, Precinct 1",U.S. House,4,UST,Curtis Clark,24,13,7,4,
Calhoun,"City of Battle Creek, Precinct 1",U.S. House,4,,Write-ins,1,0,1,0,
Calhoun,"City of Battle Creek, Precinct 2",U.S. House,4,DEM,Jessica Swartz,371,176,89,106,
Calhoun,"City of Battle Creek, Precinct 2",U.S. House,4,REP,Bill Huizenga,410,222,112,76,
Calhoun,"City of Battle Creek, Precinct 2",U.S. House,4,UST,Curtis Clark,21,11,2,8,
Calhoun,"City of Battle Creek, Precinct 2",U.S. House,4,,Write-ins,3,3,0,0,
Calhoun,"City of Battle Creek, Precinct 3",U.S. House,4,DEM,Jessica Swartz,606,161,153,292,
Calhoun,"City of Battle Creek, Precinct 3",U.S. House,4,REP,Bill Huizenga,896,313,297,286,
Calhoun,"City of Battle Creek, Precinct 3",U.S. House,4,UST,Curtis Clark,19,9,6,4,
Calhoun,"City of Battle Creek, Precinct 3",U.S. House,4,,Write-ins,2,1,1,0,
Calhoun,"City of Battle Creek, Precinct 4",U.S. House,4,DEM,Jessica Swartz,522,206,116,200,
Calhoun,"City of Battle Creek, Precinct 4",U.S. House,4,REP,Bill Huizenga,564,341,130,93,
Calhoun,"City of Battle Creek, Precinct 4",U.S. House,4,UST,Curtis Clark,41,31,6,4,
Calhoun,"City of Battle Creek, Precinct 4",U.S. House,4,,Write-ins,3,3,0,0,
Calhoun,"City of Battle Creek, Precinct 5",U.S. House,4,DEM,Jessica Swartz,573,154,116,303,
Calhoun,"City of Battle Creek, Precinct 5",U.S. House,4,REP,Bill Huizenga,851,325,273,253,
Calhoun,"City of Battle Creek, Precinct 5",U.S. House,4,UST,Curtis Clark,13,7,1,5,
Calhoun,"City of Battle Creek, Precinct 5",U.S. House,4,,Write-ins,3,3,0,0,
Calhoun,"City of Battle Creek, Precinct 6",U.S. House,4,DEM,Jessica Swartz,622,190,129,303,
Calhoun,"City of Battle Creek, Precinct 6",U.S. House,4,REP,Bill Huizenga,713,291,231,191,
Calhoun,"City of Battle Creek, Precinct 6",U.S. House,4,UST,Curtis Clark,16,11,3,2,
Calhoun,"City of Battle Creek, Precinct 6",U.S. House,4,,Write-ins,3,2,0,1,
Calhoun,"City of Battle Creek, Precinct 7",U.S. House,4,DEM,Jessica Swartz,330,168,72,90,
Calhoun,"City of Battle Creek, Precinct 7",U.S. House,4,REP,Bill Huizenga,178,109,43,26,
Calhoun,"City of Battle Creek, Precinct 7",U.S. House,4,UST,Curtis Clark,12,7,4,1,
Calhoun,"City of Battle Creek, Precinct 7",U.S. House,4,,Write-ins,2,1,1,0,
Calhoun,"City of Battle Creek, Precinct 8",U.S. House,4,DEM,Jessica Swartz,669,219,142,308,
Calhoun,"City of Battle Creek, Precinct 8",U.S. House,4,REP,Bill Huizenga,862,401,264,197,
Calhoun,"City of Battle Creek, Precinct 8",U.S. House,4,UST,Curtis Clark,18,10,3,5,
Calhoun,"City of Battle Creek, Precinct 8",U.S. House,4,,Write-ins,1,1,0,0,
Calhoun,"City of Battle Creek, Precinct 9",U.S. House,4,DEM,Jessica Swartz,461,180,79,202,
Calhoun,"City of Battle Creek, Precinct 9",U.S. House,4,REP,Bill Huizenga,525,267,151,107,
Calhoun,"City of Battle Creek, Precinct 9",U.S. House,4,UST,Curtis Clark,20,15,3,2,
Calhoun,"City of Battle Creek, Precinct 9",U.S. House,4,,Write-ins,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 10",U.S. House,4,DEM,Jessica Swartz,597,216,115,266,
Calhoun,"City of Battle Creek, Precinct 10",U.S. House,4,REP,Bill Huizenga,497,255,129,113,
Calhoun,"City of Battle Creek, Precinct 10",U.S. House,4,UST,Curtis Clark,20,15,3,2,
Calhoun,"City of Battle Creek, Precinct 10",U.S. House,4,,Write-ins,7,7,0,0,
Calhoun,"City of Battle Creek, Precinct 11",U.S. House,4,DEM,Jessica Swartz,901,348,193,360,
Calhoun,"City of Battle Creek, Precinct 11",U.S. House,4,REP,Bill Huizenga,703,329,181,193,
Calhoun,"City of Battle Creek, Precinct 11",U.S. House,4,UST,Curtis Clark,32,21,3,8,
Calhoun,"City of Battle Creek, Precinct 11",U.S. House,4,,Write-ins,0,0,0,0,
Calhoun,"City of Battle Creek, Precinct 12",U.S. House,4,DEM,Jessica Swartz,572,242,108,222,
Calhoun,"City of Battle Creek, Precinct 12",U.S. House,4,REP,Bill Huizenga,136,61,53,22,
Calhoun,"City of Battle Creek, Precinct 12",U.S. House,4,UST,Curtis Clark,14,4,6,4,
Calhoun,"City of Battle Creek, Precinct 12",U.S. House,4,,Write-ins,3,0,1,2,
Calhoun,"City of Battle Creek, Precinct 13",U.S. House,4,DEM,Jessica Swartz,507,282,94,131,
Calhoun,"City of Battle Creek, Precinct 13",U.S. House,4,REP,Bill Huizenga,359,230,81,48,
Calhoun,"City of Battle Creek, Precinct 13",U.S. House,4,UST,Curtis Clark,24,17,2,5,
Calhoun,"City of Battle Creek, Precinct 13",U.S. House,4,,Write-ins,1,0,0,1,
Calhoun,"City of Battle Creek, Precinct 15",U.S. House,4,DEM,Jessica Swartz,871,273,219,379,
Calhoun,"City of Battle Creek, Precinct 15",U.S. House,4,REP,Bill Huizenga,558,210,182,166,
Calhoun,"City of Battle Creek, Precinct 15",U.S. House,4,UST,Curtis Clark,30,22,1,7,
Calhoun,"City of Battle Creek, Precinct 15",U.S. House,4,,Write-ins,3,1,1,1,
Calhoun,"City of Battle Creek, Precinct 17",U.S. House,4,DEM,Jessica Swartz,688,331,150,207,
Calhoun,"City of Battle Creek, Precinct 17",U.S. House,4,REP,Bill Huizenga,533,322,118,93,
Calhoun,"City of Battle Creek, Precinct 17",U.S. House,4,UST,Curtis Clark,16,8,3,5,
Calhoun,"City of Battle Creek, Precinct 17",U.S. House,4,,Write-ins,2,0,0,2,
Calhoun,"City of Battle Creek, Precinct 18",U.S. House,4,DEM,Jessica Swartz,452,244,79,129,
Calhoun,"City of Battle Creek, Precinct 18",U.S. House,4,REP,Bill Huizenga,202,108,55,39,
Calhoun,"City of Battle Creek, Precinct 18",U.S. House,4,UST,Curtis Clark,24,17,0,7,
Calhoun,"City of Battle Creek, Precinct 18",U.S. House,4,,Write-ins,3,3,0,0,
Calhoun,"City of Battle Creek, Precinct 19",U.S. House,4,DEM,Jessica Swartz,324,178,56,90,
Calhoun,"City of Battle Creek, Precinct 19",U.S. House,4,REP,Bill Huizenga,184,115,42,27,
Calhoun,"City of Battle Creek, Precinct 19",U.S. House,4,UST,Curtis Clark,21,15,3,3,
Calhoun,"City of Battle Creek, Precinct 19",U.S. House,4,,Write-ins,1,1,0,0,
Calhoun,"City of Battle Creek, Precinct 20",U.S. House,4,DEM,Jessica Swartz,531,150,145,236,
Calhoun,"City of Battle Creek, Precinct 20",U.S. House,4,REP,Bill Huizenga,809,341,240,228,
Calhoun,"City of Battle Creek, Precinct 20",U.S. House,4,UST,Curtis Clark,19,10,3,6,
Calhoun,"City of Battle Creek, Precinct 20",U.S. House,4,,Write-ins,1,0,1,0,
Calhoun,"City of Battle Creek, Precinct 21",U.S. House,4,DEM,Jessica Swartz,758,342,131,285,
Calhoun,"City of Battle Creek, Precinct 21",U.S. House,4,REP,Bill Huizenga,257,137,65,55,
Calhoun,"City of Battle Creek, Precinct 21",U.S. House,4,UST,Curtis Clark,25,10,4,11,
Calhoun,"City of Battle Creek, Precinct 21",U.S. House,4,,Write-ins,6,5,0,1,
Calhoun,"City of Battle Creek, Precinct 22",U.S. House,4,DEM,Jessica Swartz,405,174,72,159,
Calhoun,"City of Battle Creek, Precinct 22",U.S. House,4,REP,Bill Huizenga,582,297,164,121,
Calhoun,"City of Battle Creek, Precinct 22",U.S. House,4,UST,Curtis Clark,28,18,5,5,
Calhoun,"City of Battle Creek, Precinct 22",U.S. House,4,,Write-ins,7,5,1,1,
Calhoun,"City of Battle Creek, Precinct 23",U.S. House,4,DEM,Jessica Swartz,470,177,110,183,
Calhoun,"City of Battle Creek, Precinct 23",U.S. House,4,REP,Bill Huizenga,682,308,234,140,
Calhoun,"City of Battle Creek, Precinct 23",U.S. House,4,UST,Curtis Clark,28,22,4,2,
Calhoun,"City of Battle Creek, Precinct 23",U.S. House,4,,Write-ins,8,4,3,1,
Calhoun,"City of Springfield, Precinct 1",U.S. House,4,DEM,Jessica Swartz,907,409,133,365,
Calhoun,"City of Springfield, Precinct 1",U.S. House,4,REP,Bill Huizenga,1044,598,211,235,
Calhoun,"City of Springfield, Precinct 1",U.S. House,4,UST,Curtis Clark,70,50,11,9,
Calhoun,"City of Springfield, Precinct 1",U.S. House,4,,Write-ins,6,4,1,1,
Calhoun,"Bedford Charter Township, Precinct 1",U.S. House,4,DEM,Jessica Swartz,445,124,68,253,
Calhoun,"Bedford Charter Township, Precinct 1",U.S. House,4,REP,Bill Huizenga,1030,474,246,310,
Calhoun,"Bedford Charter Township, Precinct 1",U.S. House,4,UST,Curtis Clark,31,21,4,6,
Calhoun,"Bedford Charter Township, Precinct 1",U.S. House,4,,Write-ins,3,3,0,0,
Calhoun,"Bedford Charter Township, Precinct 2",U.S. House,4,DEM,Jessica Swartz,604,236,121,247,
Calhoun,"Bedford Charter Township, Precinct 2",U.S. House,4,REP,Bill Huizenga,998,555,229,214,
Calhoun,"Bedford Charter Township, Precinct 2",U.S. House,4,UST,Curtis Clark,46,37,1,8,
Calhoun,"Bedford Charter Township, Precinct 2",U.S. House,4,,Write-ins,2,2,0,0,
Calhoun,"Bedford Charter Township, Precinct 3",U.S. House,4,DEM,Jessica Swartz,842,321,159,362,
Calhoun,"Bedford Charter Township, Precinct 3",U.S. House,4,REP,Bill Huizenga,954,456,245,253,
Calhoun,"Bedford Charter Township, Precinct 3",U.S. House,4,UST,Curtis Clark,46,32,7,7,
Calhoun,"Bedford Charter Township, Precinct 3",U.S. House,4,,Write-ins,2,2,0,0,
Calhoun,"Emmett Charter Township, Precinct 1",U.S. House,4,DEM,Jessica Swartz,347,147,42,158,
Calhoun,"Emmett Charter Township, Precinct 1",U.S. House,4,REP,Bill Huizenga,678,427,122,129,
Calhoun,"Emmett Charter Township, Precinct 1",U.S. House,4,UST,Curtis Clark,39,29,1,9,
Calhoun,"Emmett Charter Township, Precinct 1",U.S. House,4,,Write-ins,3,3,0,0,
Calhoun,"Emmett Charter Township, Precinct 2",U.S. House,4,DEM,Jessica Swartz,538,168,87,283,
Calhoun,"Emmett Charter Township, Precinct 2",U.S. House,4,REP,Bill Huizenga,1154,557,270,327,
Calhoun,"Emmett Charter Township, Precinct 2",U.S. House,4,UST,Curtis Clark,31,25,1,5,
Calhoun,"Emmett Charter Township, Precinct 2",U.S. House,4,,Write-ins,5,3,1,1,
Calhoun,"Emmett Charter Township, Precinct 3",U.S. House,4,DEM,Jessica Swartz,529,206,84,239,
Calhoun,"Emmett Charter Township, Precinct 3",U.S. House,4,REP,Bill Huizenga,778,420,190,168,
Calhoun,"Emmett Charter Township, Precinct 3",U.S. House,4,UST,Curtis Clark,44,32,5,7,
Calhoun,"Emmett Charter Township, Precinct 3",U.S. House,4,,Write-ins,2,2,0,0,
Calhoun,"Emmett Charter Township, Precinct 4",U.S. House,4,DEM,Jessica Swartz,652,227,79,346,
Calhoun,"Emmett Charter Township, Precinct 4",U.S. House,4,REP,Bill Huizenga,1361,690,306,365,
Calhoun,"Emmett Charter Township, Precinct 4",U.S. House,4,UST,Curtis Clark,28,23,3,2,
Calhoun,"Emmett Charter Township, Precinct 4",U.S. House,4,,Write-ins,3,2,1,0,
Calhoun,"Pennfield Charter Township, Precinct 1",U.S. House,4,DEM,Jessica Swartz,541,210,87,244,
Calhoun,"Pennfield Charter Township, Precinct 1",U.S. House,4,REP,Bill Huizenga,1283,724,248,311,
Calhoun,"Pennfield Charter Township, Precinct 1",U.S. House,4,UST,Curtis Clark,43,26,10,7,
Calhoun,"Pennfield Charter Township, Precinct 1",U.S. House,4,,Write-ins,2,1,1,0,
Calhoun,"Pennfield Charter Township, Precinct 2",U.S. House,4,DEM,Jessica Swartz,558,264,69,225,
Calhoun,"Pennfield Charter Township, Precinct 2",U.S. House,4,REP,Bill Huizenga,654,412,135,107,
Calhoun,"Pennfield Charter Township, Precinct 2",U.S. House,4,UST,Curtis Clark,43,30,5,8,
Calhoun,"Pennfield Charter Township, Precinct 2",U.S. House,4,,Write-ins,6,4,2,0,
Calhoun,"Pennfield Charter Township, Precinct 3",U.S. House,4,DEM,Jessica Swartz,553,199,92,262,
Calhoun,"Pennfield Charter Township, Precinct 3",U.S. House,4,REP,Bill Huizenga,1139,581,231,327,
Calhoun,"Pennfield Charter Township, Precinct 3",U.S. House,4,UST,Curtis Clark,41,29,4,8,
