county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Columbia,BEAVER TWP,U.S. House,9,DEM,AMANDA WALDMAN,109,,,,
Columbia,BEAVER TWP,U.S. House,9,REP,DAN MEUSER,450,,,,
Columbia,BENTON TWP,U.S. House,9,DEM,AMANDA WALDMAN,179,,,,
Columbia,BENTON TWP,U.S. House,9,REP,DAN MEUSER,596,,,,
Columbia,BENTON BOROUGH,U.S. House,9,DEM,AMANDA WALDMAN,118,,,,
Columbia,BENTON BOROUGH,U.S. House,9,REP,DAN MEUSER,269,,,,
Columbia,BERWICK 1ST WARD,U.S. House,9,DEM,AMANDA WALDMAN,493,,,,
Columbia,BERWICK 1ST WARD,U.S. House,9,REP,DAN MEUSER,1069,,,,
Columbia,BERWICK 2ND WARD,U.S. House,9,DEM,AMANDA WALDMAN,191,,,,
Columbia,BERWICK 2ND WARD,U.S. House,9,REP,DAN MEUSER,334,,,,
Columbia,BERWICK 3RD WARD,U.S. House,9,DEM,AMANDA WALDMAN,275,,,,
Columbia,BERWICK 3RD WARD,U.S. House,9,REP,DAN MEUSER,619,,,,
Columbia,BERWICK 4TH WARD,U.S. House,9,DEM,AMANDA WALDMAN,377,,,,
Columbia,BERWICK 4TH WARD,U.S. House,9,REP,DAN MEUSER,922,,,,
Columbia,BLOOMSBURG 1ST WARD,U.S. House,9,DEM,AMANDA WALDMAN,318,,,,
Columbia,BLOOMSBURG 1ST WARD,U.S. House,9,REP,DAN MEUSER,272,,,,
Columbia,BLOOMSBURG 2ND WARD,U.S. House,9,DEM,AMANDA WALDMAN,544,,,,
Columbia,BLOOMSBURG 2ND WARD,U.S. House,9,REP,DAN MEUSER,407,,,,
Columbia,BLOOMSBURG 3-1 WARD,U.S. House,9,DEM,AMANDA WALDMAN,625,,,,
Columbia,BLOOMSBURG 3-1 WARD,U.S. House,9,REP,DAN MEUSER,503,,,,
Columbia,BLOOMSBURG 3-2 WARD,U.S. House,9,DEM,AMANDA WALDMAN,405,,,,
Columbia,BLOOMSBURG 3-2 WARD,U.S. House,9,REP,DAN MEUSER,209,,,,
Columbia,BLOOMSBURG 4TH WARD,U.S. House,9,DEM,AMANDA WALDMAN,491,,,,
Columbia,BLOOMSBURG 4TH WARD,U.S. House,9,REP,DAN MEUSER,560,,,,
Columbia,BRIARCREEK TWP NORTHEAST,U.S. House,9,DEM,AMANDA WALDMAN,202,,,,
Columbia,BRIARCREEK TWP NORTHEAST,U.S. House,9,REP,DAN MEUSER,644,,,,
Columbia,BRIARCREEK TWP WEST,U.S. House,9,DEM,AMANDA WALDMAN,205,,,,
Columbia,BRIARCREEK TWP WEST,U.S. House,9,REP,DAN MEUSER,682,,,,
Columbia,BRIARCREEK BORO,U.S. House,9,DEM,AMANDA WALDMAN,63,,,,
Columbia,BRIARCREEK BORO,U.S. House,9,REP,DAN MEUSER,131,,,,
Columbia,CATAWISSA TWP,U.S. House,9,DEM,AMANDA WALDMAN,149,,,,
Columbia,CATAWISSA TWP,U.S. House,9,REP,DAN MEUSER,421,,,,
Columbia,CATAWISSA BOROUGH,U.S. House,9,DEM,AMANDA WALDMAN,216,,,,
Columbia,CATAWISSA BOROUGH,U.S. House,9,REP,DAN MEUSER,442,,,,
Columbia,CENTRALIA BOROUGH,U.S. House,9,DEM,AMANDA WALDMAN,0,,,,
Columbia,CENTRALIA BOROUGH,U.S. House,9,REP,DAN MEUSER,2,,,,
Columbia,CLEVELAND TWP,U.S. House,9,DEM,AMANDA WALDMAN,141,,,,
Columbia,CLEVELAND TWP,U.S. House,9,REP,DAN MEUSER,504,,,,
Columbia,CONYNGHAM TWP,U.S. House,9,DEM,AMANDA WALDMAN,86,,,,
Columbia,CONYNGHAM TWP,U.S. House,9,REP,DAN MEUSER,270,,,,
Columbia,FISHINGCREEK TWP,U.S. House,9,DEM,AMANDA WALDMAN,200,,,,
Columbia,FISHINGCREEK TWP,U.S. House,9,REP,DAN MEUSER,679,,,,
Columbia,FRANKLIN TWP,U.S. House,9,DEM,AMANDA WALDMAN,90,,,,
Columbia,FRANKLIN TWP,U.S. House,9,REP,DAN MEUSER,243,,,,
Columbia,GREENWOOD TWP,U.S. House,9,DEM,AMANDA WALDMAN,243,,,,
Columbia,GREENWOOD TWP,U.S. House,9,REP,DAN MEUSER,740,,,,
Columbia,HEMLOCK TWP,U.S. House,9,DEM,AMANDA WALDMAN,469,,,,
Columbia,HEMLOCK TWP,U.S. House,9,REP,DAN MEUSER,939,,,,
Columbia,JACKSON TWP,U.S. House,9,DEM,AMANDA WALDMAN,67,,,,
Columbia,JACKSON TWP,U.S. House,9,REP,DAN MEUSER,333,,,,
Columbia,LOCUST TWP,U.S. House,9,DEM,AMANDA WALDMAN,232,,,,
Columbia,LOCUST TWP,U.S. House,9,REP,DAN MEUSER,619,,,,
Columbia,MADISON TWP,U.S. House,9,DEM,AMANDA WALDMAN,219,,,,
Columbia,MADISON TWP,U.S. House,9,REP,DAN MEUSER,632,,,,
Columbia,MAIN TWP,U.S. House,9,DEM,AMANDA WALDMAN,260,,,,
Columbia,MAIN TWP,U.S. House,9,REP,DAN MEUSER,488,,,,
Columbia,MIFFLIN TWP,U.S. House,9,DEM,AMANDA WALDMAN,356,,,,
Columbia,MIFFLIN TWP,U.S. House,9,REP,DAN MEUSER,1010,,,,
Columbia,MILLVILLE BOROUGH,U.S. House,9,DEM,AMANDA WALDMAN,126,,,,
Columbia,MILLVILLE BOROUGH,U.S. House,9,REP,DAN MEUSER,346,,,,
Columbia,MONTOUR TWP,U.S. House,9,DEM,AMANDA WALDMAN,210,,,,
Columbia,MONTOUR TWP,U.S. House,9,REP,DAN MEUSER,474,,,,
Columbia,MOUNT PLEASANT TWP,U.S. House,9,DEM,AMANDA WALDMAN,222,,,,
Columbia,MOUNT PLEASANT TWP,U.S. House,9,REP,DAN MEUSER,737,,,,
Columbia,NORTH CENTRE TWP,U.S. House,9,DEM,AMANDA WALDMAN,267,,,,
Columbia,NORTH CENTRE TWP,U.S. House,9,REP,DAN MEUSER,911,,,,
Columbia,ORANGE TWP,U.S. House,9,DEM,AMANDA WALDMAN,249,,,,
Columbia,ORANGE TWP,U.S. House,9,REP,DAN MEUSER,505,,,,
Columbia,ORANGEVILLE BOROUGH,U.S. House,9,DEM,AMANDA WALDMAN,71,,,,
Columbia,ORANGEVILLE BOROUGH,U.S. House,9,REP,DAN MEUSER,119,,,,
Columbia,PINE TWP,U.S. House,9,DEM,AMANDA WALDMAN,118,,,,
Columbia,PINE TWP,U.S. House,9,REP,DAN MEUSER,497,,,,
Columbia,ROARINGCREEK TWP,U.S. House,9,DEM,AMANDA WALDMAN,83,,,,
Columbia,ROARINGCREEK TWP,U.S. House,9,REP,DAN MEUSER,299,,,,
Columbia,SCOTT TWP EAST,U.S. House,9,DEM,AMANDA WALDMAN,674,,,,
Columbia,SCOTT TWP EAST,U.S. House,9,REP,DAN MEUSER,986,,,,
Columbia,SCOTT TWP WEST,U.S. House,9,DEM,AMANDA WALDMAN,610,,,,
Columbia,SCOTT TWP WEST,U.S. House,9,REP,DAN MEUSER,911,,,,
Columbia,SOUTH CENTRE TWP,U.S. House,9,DEM,AMANDA WALDMAN,201,,,,
Columbia,SOUTH CENTRE TWP,U.S. House,9,REP,DAN MEUSER,571,,,,
Columbia,STILLWATER BOROUGH,U.S. House,9,DEM,AMANDA WALDMAN,27,,,,
Columbia,STILLWATER BOROUGH,U.S. House,9,REP,DAN MEUSER,94,,,,
Columbia,SUGARLOAF TWP,U.S. House,9,DEM,AMANDA WALDMAN,113,,,,
Columbia,SUGARLOAF TWP,U.S. House,9,REP,DAN MEUSER,441,,,,
Columbia,BEAVER TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,BENTON TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,BENTON BOROUGH,U.S. House,9,,Write-ins,0,,,,
Columbia,BERWICK 1ST WARD,U.S. House,9,,Write-ins,3,,,,
Columbia,BERWICK 2ND WARD,U.S. House,9,,Write-ins,0,,,,
Columbia,BERWICK 3RD WARD,U.S. House,9,,Write-ins,3,,,,
Columbia,BERWICK 4TH WARD,U.S. House,9,,Write-ins,0,,,,
Columbia,BLOOMSBURG 1ST WARD,U.S. House,9,,Write-ins,0,,,,
Columbia,BLOOMSBURG 2ND WARD,U.S. House,9,,Write-ins,1,,,,
Columbia,BLOOMSBURG 3-1 WARD,U.S. House,9,,Write-ins,0,,,,
Columbia,BLOOMSBURG 3-2 WARD,U.S. House,9,,Write-ins,1,,,,
