county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Columbia,BEAVER TWP,U.S. Senate,,DEM,Bob Casey Jr.,125,,,,
Columbia,BEAVER TWP,U.S. Senate,,REP,Dave McCormick,428,,,,
Columbia,BEAVER TWP,U.S. Senate,,LIB,John Thomas,5,,,,
Columbia,BEAVER TWP,U.S. Senate,,GRN,Leila Hazou,0,,,,
Columbia,BEAVER TWP,U.S. Senate,,CST,Marty Selker,3,,,,
Columbia,BENTON TWP,U.S. Senate,,DEM,Bob Casey Jr.,189,,,,
Columbia,BENTON TWP,U.S. Senate,,REP,Dave McCormick,569,,,,
Columbia,BENTON TWP,U.S. Senate,,LIB,John Thomas,6,,,,
Columbia,BENTON TWP,U.S. Senate,,GRN,Leila Hazou,3,,,,
Columbia,BENTON TWP,U.S. Senate,,CST,Marty Selker,6,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,DEM,Bob Casey Jr.,120,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,REP,Dave McCormick,243,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,LIB,John Thomas,16,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,GRN,Leila Hazou,3,,,,
Columbia,BENTON BOROUGH,U.S. Senate,,CST,Marty Selker,4,,,,
Columbia,BERWICK 1ST WARD,U.S. Senate,,DEM,Bob Casey Jr.,542,,,,
Columbia,BERWICK 1ST WARD,U.S. Senate,,REP,Dave McCormick,994,,,,
Columbia,BERWICK 1ST WARD,U.S. Senate,,LIB,John Thomas,28,,,,
Columbia,BERWICK 1ST WARD,U.S. Senate,,GRN,Leila Hazou,13,,,,
Columbia,BERWICK 1ST WARD,U.S. Senate,,CST,Marty Selker,2,,,,
Columbia,BERWICK 2ND WARD,U.S. Senate,,DEM,Bob Casey Jr.,208,,,,
Columbia,BERWICK 2ND WARD,U.S. Senate,,REP,Dave McCormick,298,,,,
Columbia,BERWICK 2ND WARD,U.S. Senate,,LIB,John Thomas,7,,,,
Columbia,BERWICK 2ND WARD,U.S. Senate,,GRN,Leila Hazou,7,,,,
Columbia,BERWICK 2ND WARD,U.S. Senate,,CST,Marty Selker,6,,,,
Columbia,BERWICK 3RD WARD,U.S. Senate,,DEM,Bob Casey Jr.,287,,,,
Columbia,BERWICK 3RD WARD,U.S. Senate,,REP,Dave McCormick,573,,,,
Columbia,BERWICK 3RD WARD,U.S. Senate,,LIB,John Thomas,17,,,,
Columbia,BERWICK 3RD WARD,U.S. Senate,,GRN,Leila Hazou,8,,,,
Columbia,BERWICK 3RD WARD,U.S. Senate,,CST,Marty Selker,13,,,,
Columbia,BERWICK 4TH WARD,U.S. Senate,,DEM,Bob Casey Jr.,395,,,,
Columbia,BERWICK 4TH WARD,U.S. Senate,,REP,Dave McCormick,867,,,,
Columbia,BERWICK 4TH WARD,U.S. Senate,,LIB,John Thomas,22,,,,
Columbia,BERWICK 4TH WARD,U.S. Senate,,GRN,Leila Hazou,8,,,,
Columbia,BERWICK 4TH WARD,U.S. Senate,,CST,Marty Selker,10,,,,
Columbia,BLOOMSBURG 1ST WARD,U.S. Senate,,DEM,Bob Casey Jr.,305,,,,
Columbia,BLOOMSBURG 1ST WARD,U.S. Senate,,REP,Dave McCormick,263,,,,
Columbia,BLOOMSBURG 1ST WARD,U.S. Senate,,LIB,John Thomas,11,,,,
Columbia,BLOOMSBURG 1ST WARD,U.S. Senate,,GRN,Leila Hazou,14,,,,
Columbia,BLOOMSBURG 1ST WARD,U.S. Senate,,CST,Marty Selker,4,,,,
Columbia,BLOOMSBURG 2ND WARD,U.S. Senate,,DEM,Bob Casey Jr.,559,,,,
Columbia,BLOOMSBURG 2ND WARD,U.S. Senate,,REP,Dave McCormick,374,,,,
Columbia,BLOOMSBURG 2ND WARD,U.S. Senate,,LIB,John Thomas,16,,,,
