county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Gogebic,"City of Bessemer, Precinct 1",President,,DEM,Kamala D. Harris,458,409,49,,
Gogebic,"City of Bessemer, Precinct 1",President,,REP,Donald J. Trump,553,436,117,,
Gogebic,"City of Bessemer, Precinct 1",President,,LIB,Chase Oliver,4,2,2,,
Gogebic,"City of Bessemer, Precinct 1",President,,UST,Randall Terry,0,0,0,,
Gogebic,"City of Bessemer, Precinct 1",President,,GRN,Jill Stein,1,1,0,,
Gogebic,"City of Bessemer, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,6,5,1,,
Gogebic,"City of Bessemer, Precinct 1",President,,,Joseph Kishore,0,0,0,,
Gogebic,"City of Bessemer, Precinct 1",President,,,Cornel West,0,0,0,,
Gogebic,"City of Bessemer, Precinct 1",President,,,Write-ins,5,4,1,,
Gogebic,"City of Ironwood, Precinct 1",President,,DEM,Kamala D. Harris,531,482,49,,
Gogebic,"City of Ironwood, Precinct 1",President,,REP,Donald J. Trump,534,456,78,,
Gogebic,"City of Ironwood, Precinct 1",President,,LIB,Chase Oliver,1,1,0,,
Gogebic,"City of Ironwood, Precinct 1",President,,UST,Randall Terry,6,6,0,,
Gogebic,"City of Ironwood, Precinct 1",President,,GRN,Jill Stein,4,4,0,,
Gogebic,"City of Ironwood, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,5,5,0,,
Gogebic,"City of Ironwood, Precinct 1",President,,,Joseph Kishore,0,0,0,,
Gogebic,"City of Ironwood, Precinct 1",President,,,Cornel West,1,1,0,,
Gogebic,"City of Ironwood, Precinct 1",President,,,Write-ins,3,3,0,,
Gogebic,"City of Ironwood, Precinct 2",President,,DEM,Kamala D. Harris,645,577,68,,
Gogebic,"City of Ironwood, Precinct 2",President,,REP,Donald J. Trump,798,697,101,,
Gogebic,"City of Ironwood, Precinct 2",President,,LIB,Chase Oliver,6,4,2,,
Gogebic,"City of Ironwood, Precinct 2",President,,UST,Randall Terry,1,1,0,,
