county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Humboldt,1CS-1,President,,LIB,Chase Oliver,19,1,,18,
Humboldt,1CS-1,President,,PFP,Claudia De la Cruz,11,1,,10,
Humboldt,1CS-1,President,,REP,Donald Trump,1155,204,,951,
Humboldt,1CS-1,President,,GRN,Jill Stein,25,5,,20,
Humboldt,1CS-1,President,,DEM,Kamala Harris,1589,139,,1450,
Humboldt,1CS-1,President,,,Overvotes,0,0,,0,
Humboldt,1CS-1,President,,AIP,Robert F. Kennedy Jr.,41,4,,37,
Humboldt,1CS-1,President,,,Undervotes,25,1,,24,
Humboldt,1CS-1,President,,,Write-ins,16,1,,15,
Humboldt,1E-26,President,,LIB,Chase Oliver,3,1,,2,
Humboldt,1E-26,President,,PFP,Claudia De la Cruz,1,0,,1,
Humboldt,1E-26,President,,REP,Donald Trump,128,28,,100,
Humboldt,1E-26,President,,GRN,Jill Stein,8,1,,7,
Humboldt,1E-26,President,,DEM,Kamala Harris,201,15,,186,
Humboldt,1E-26,President,,,Overvotes,2,2,,0,
Humboldt,1E-26,President,,AIP,Robert F. Kennedy Jr.,3,0,,3,
Humboldt,1E-26,President,,,Undervotes,8,0,,8,
Humboldt,1E-26,President,,,Write-ins,1,0,,1,
Humboldt,1E-30,President,,LIB,Chase Oliver,7,0,,7,
Humboldt,1E-30,President,,PFP,Claudia De la Cruz,8,0,,8,
Humboldt,1E-30,President,,REP,Donald Trump,417,64,,353,
Humboldt,1E-30,President,,GRN,Jill Stein,15,0,,15,
Humboldt,1E-30,President,,DEM,Kamala Harris,856,99,,757,
Humboldt,1E-30,President,,,Overvotes,1,0,,1,
Humboldt,1E-30,President,,AIP,Robert F. Kennedy Jr.,10,3,,7,
Humboldt,1E-30,President,,,Undervotes,11,2,,9,
Humboldt,1E-30,President,,,Write-ins,10,2,,8,
Humboldt,1E-35,President,,LIB,Chase Oliver,0,0,,0,
Humboldt,1E-35,President,,PFP,Claudia De la Cruz,2,0,,2,
Humboldt,1E-35,President,,REP,Donald Trump,102,23,,79,
Humboldt,1E-35,President,,GRN,Jill Stein,6,2,,4,
Humboldt,1E-35,President,,DEM,Kamala Harris,222,23,,199,
Humboldt,1E-35,President,,,Overvotes,0,0,,0,
Humboldt,1E-35,President,,AIP,Robert F. Kennedy Jr.,5,2,,3,
Humboldt,1E-35,President,,,Undervotes,1,0,,1,
Humboldt,1E-35,President,,,Write-ins,4,1,,3,
Humboldt,1E-47,President,,LIB,Chase Oliver,5,0,,5,
Humboldt,1E-47,President,,PFP,Claudia De la Cruz,6,1,,5,
Humboldt,1E-47,President,,REP,Donald Trump,245,56,,189,
Humboldt,1E-47,President,,GRN,Jill Stein,15,0,,15,
Humboldt,1E-47,President,,DEM,Kamala Harris,533,63,,470,
Humboldt,1E-47,President,,,Overvotes,0,0,,0,
Humboldt,1E-47,President,,AIP,Robert F. Kennedy Jr.,12,1,,11,
Humboldt,1E-47,President,,,Undervotes,10,1,,9,
Humboldt,1E-47,President,,,Write-ins,1,0,,1,
Humboldt,1ES-1,President,,LIB,Chase Oliver,5,2,,3,
Humboldt,1ES-1,President,,PFP,Claudia De la Cruz,5,0,,5,
Humboldt,1ES-1,President,,REP,Donald Trump,363,89,,274,
Humboldt,1ES-1,President,,GRN,Jill Stein,12,1,,11,
Humboldt,1ES-1,President,,DEM,Kamala Harris,616,78,,538,
Humboldt,1ES-1,President,,,Overvotes,1,0,,1,
Humboldt,1ES-1,President,,AIP,Robert F. Kennedy Jr.,11,1,,10,
Humboldt,1ES-1,President,,,Undervotes,4,1,,3,
Humboldt,1ES-1,President,,,Write-ins,4,0,,4,
Humboldt,1F--1,President,,LIB,Chase Oliver,4,0,,4,
Humboldt,1F--1,President,,PFP,Claudia De la Cruz,4,1,,3,
Humboldt,1F--1,President,,REP,Donald Trump,403,124,,279,
Humboldt,1F--1,President,,GRN,Jill Stein,6,1,,5,
Humboldt,1F--1,President,,DEM,Kamala Harris,475,77,,398,
Humboldt,1F--1,President,,,Overvotes,0,0,,0,
Humboldt,1F--1,President,,AIP,Robert F. Kennedy Jr.,13,2,,11,
Humboldt,1F--1,President,,,Undervotes,8,3,,5,
Humboldt,1F--1,President,,,Write-ins,4,0,,4,
Humboldt,1F--7,President,,LIB,Chase Oliver,0,0,,0,
Humboldt,1F--7,President,,PFP,Claudia De la Cruz,0,0,,0,
Humboldt,1F--7,President,,REP,Donald Trump,21,4,,17,
Humboldt,1F--7,President,,GRN,Jill Stein,1,0,,1,
Humboldt,1F--7,President,,DEM,Kamala Harris,12,0,,12,
Humboldt,1F--7,President,,,Overvotes,0,0,,0,
Humboldt,1F--7,President,,AIP,Robert F. Kennedy Jr.,0,0,,0,
Humboldt,1F--7,President,,,Undervotes,2,0,,2,
Humboldt,1F--7,President,,,Write-ins,0,0,,0,
Humboldt,1FB-1,President,,LIB,Chase Oliver,3,1,,2,
Humboldt,1FB-1,President,,PFP,Claudia De la Cruz,5,1,,4,
