county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Huron,"City of Bad Axe, Precinct 1",President,,DEM,Kamala Harris,567,,,,
Huron,"City of Bad Axe, Precinct 1",President,,REP,Donald Trump,959,,,,
Huron,"City of Bad Axe, Precinct 1",President,,LIB,Chase Oliver,9,,,,
Huron,"City of Bad Axe, Precinct 1",President,,UST,Randall Terry,0,,,,
Huron,"City of Bad Axe, Precinct 1",President,,GRN,Jill Stein,3,,,,
Huron,"City of Bad Axe, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,15,,,,
Huron,"City of Bad Axe, Precinct 1",President,,,Joseph Kishore,1,,,,
Huron,"City of Bad Axe, Precinct 1",President,,,Cornel West,1,,,,
Huron,"City of Bad Axe, Precinct 1",President,,,Write-ins,1,,,,
Huron,"City of Caseville, Precinct 1",President,,DEM,Kamala Harris,164,,,,
Huron,"City of Caseville, Precinct 1",President,,REP,Donald Trump,284,,,,
Huron,"City of Caseville, Precinct 1",President,,LIB,Chase Oliver,1,,,,
Huron,"City of Caseville, Precinct 1",President,,UST,Randall Terry,0,,,,
Huron,"City of Caseville, Precinct 1",President,,GRN,Jill Stein,0,,,,
Huron,"City of Caseville, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,3,,,,
Huron,"City of Caseville, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"City of Caseville, Precinct 1",President,,,Cornel West,0,,,,
Huron,"City of Caseville, Precinct 1",President,,,Write-ins,0,,,,
Huron,"City of Harbor Beach, Precinct 1",President,,DEM,Kamala Harris,326,,,,
Huron,"City of Harbor Beach, Precinct 1",President,,REP,Donald Trump,553,,,,
Huron,"City of Harbor Beach, Precinct 1",President,,LIB,Chase Oliver,3,,,,
Huron,"City of Harbor Beach, Precinct 1",President,,UST,Randall Terry,0,,,,
Huron,"City of Harbor Beach, Precinct 1",President,,GRN,Jill Stein,5,,,,
Huron,"City of Harbor Beach, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,8,,,,
Huron,"City of Harbor Beach, Precinct 1",President,,,Joseph Kishore,2,,,,
Huron,"City of Harbor Beach, Precinct 1",President,,,Cornel West,0,,,,
Huron,"City of Harbor Beach, Precinct 1",President,,,Write-ins,0,,,,
Huron,"Bingham Township, Precinct 1",President,,DEM,Kamala Harris,301,,,,
Huron,"Bingham Township, Precinct 1",President,,REP,Donald Trump,672,,,,
Huron,"Bingham Township, Precinct 1",President,,LIB,Chase Oliver,5,,,,
Huron,"Bingham Township, Precinct 1",President,,UST,Randall Terry,1,,,,
Huron,"Bingham Township, Precinct 1",President,,GRN,Jill Stein,2,,,,
Huron,"Bingham Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,4,,,,
Huron,"Bingham Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Bingham Township, Precinct 1",President,,,Cornel West,1,,,,
Huron,"Bingham Township, Precinct 1",President,,,Write-ins,0,,,,
Huron,"Bloomfield Township, Precinct 1",President,,DEM,Kamala Harris,50,,,,
Huron,"Bloomfield Township, Precinct 1",President,,REP,Donald Trump,197,,,,
Huron,"Bloomfield Township, Precinct 1",President,,LIB,Chase Oliver,1,,,,
Huron,"Bloomfield Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Huron,"Bloomfield Township, Precinct 1",President,,GRN,Jill Stein,1,,,,
Huron,"Bloomfield Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,1,,,,
Huron,"Bloomfield Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Bloomfield Township, Precinct 1",President,,,Cornel West,0,,,,
Huron,"Bloomfield Township, Precinct 1",President,,,Write-ins,0,,,,
Huron,"Brookfield Township, Precinct 1",President,,DEM,Kamala Harris,71,,,,
Huron,"Brookfield Township, Precinct 1",President,,REP,Donald Trump,311,,,,
Huron,"Brookfield Township, Precinct 1",President,,LIB,Chase Oliver,1,,,,
Huron,"Brookfield Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Huron,"Brookfield Township, Precinct 1",President,,GRN,Jill Stein,2,,,,
Huron,"Brookfield Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,1,,,,
Huron,"Brookfield Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Brookfield Township, Precinct 1",President,,,Cornel West,1,,,,
Huron,"Brookfield Township, Precinct 1",President,,,Write-ins,1,,,,
Huron,"Caseville Township, Precinct 1",President,,DEM,Kamala Harris,478,,,,
Huron,"Caseville Township, Precinct 1",President,,REP,Donald Trump,784,,,,
Huron,"Caseville Township, Precinct 1",President,,LIB,Chase Oliver,6,,,,
Huron,"Caseville Township, Precinct 1",President,,UST,Randall Terry,2,,,,
Huron,"Caseville Township, Precinct 1",President,,GRN,Jill Stein,2,,,,
Huron,"Caseville Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,4,,,,
Huron,"Caseville Township, Precinct 1",President,,,Joseph Kishore,1,,,,
Huron,"Caseville Township, Precinct 1",President,,,Cornel West,1,,,,
Huron,"Caseville Township, Precinct 1",President,,,Write-ins,1,,,,
Huron,"Chandler Township, Precinct 1",President,,DEM,Kamala Harris,47,,,,
Huron,"Chandler Township, Precinct 1",President,,REP,Donald Trump,213,,,,
Huron,"Chandler Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Huron,"Chandler Township, Precinct 1",President,,UST,Randall Terry,1,,,,
Huron,"Chandler Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Huron,"Chandler Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,1,,,,
Huron,"Chandler Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Chandler Township, Precinct 1",President,,,Cornel West,0,,,,
Huron,"Chandler Township, Precinct 1",President,,,Write-ins,1,,,,
Huron,"Colfax Township, Precinct 1",President,,DEM,Kamala Harris,259,,,,
Huron,"Colfax Township, Precinct 1",President,,REP,Donald Trump,717,,,,
Huron,"Colfax Township, Precinct 1",President,,LIB,Chase Oliver,1,,,,
Huron,"Colfax Township, Precinct 1",President,,UST,Randall Terry,4,,,,
Huron,"Colfax Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Huron,"Colfax Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,4,,,,
Huron,"Colfax Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Colfax Township, Precinct 1",President,,,Cornel West,1,,,,
Huron,"Colfax Township, Precinct 1",President,,,Write-ins,3,,,,
Huron,"Dwight Township, Precinct 1",President,,DEM,Kamala Harris,109,,,,
Huron,"Dwight Township, Precinct 1",President,,REP,Donald Trump,293,,,,
Huron,"Dwight Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Huron,"Dwight Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Huron,"Dwight Township, Precinct 1",President,,GRN,Jill Stein,1,,,,
Huron,"Dwight Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,2,,,,
Huron,"Dwight Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Dwight Township, Precinct 1",President,,,Cornel West,0,,,,
Huron,"Dwight Township, Precinct 1",President,,,Write-ins,0,,,,
Huron,"Fairhaven Township, Precinct 1",President,,DEM,Kamala Harris,13,,,,
Huron,"Fairhaven Township, Precinct 1",President,,REP,Donald Trump,69,,,,
Huron,"Fairhaven Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Huron,"Fairhaven Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Huron,"Fairhaven Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Huron,"Fairhaven Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,0,,,,
Huron,"Fairhaven Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Fairhaven Township, Precinct 1",President,,,Cornel West,0,,,,
Huron,"Fairhaven Township, Precinct 1",President,,,Write-ins,0,,,,
Huron,"Gore Township, Precinct 1",President,,DEM,Kamala Harris,33,,,,
Huron,"Gore Township, Precinct 1",President,,REP,Donald Trump,74,,,,
Huron,"Gore Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Huron,"Gore Township, Precinct 1",President,,UST,Randall Terry,1,,,,
Huron,"Gore Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Huron,"Gore Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,0,,,,
Huron,"Gore Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Gore Township, Precinct 1",President,,,Cornel West,0,,,,
Huron,"Gore Township, Precinct 1",President,,,Write-ins,0,,,,
Huron,"Grant Township, Precinct 1",President,,DEM,Kamala Harris,90,,,,
Huron,"Grant Township, Precinct 1",President,,REP,Donald Trump,331,,,,
Huron,"Grant Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Huron,"Grant Township, Precinct 1",President,,UST,Randall Terry,2,,,,
Huron,"Grant Township, Precinct 1",President,,GRN,Jill Stein,1,,,,
Huron,"Grant Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,2,,,,
Huron,"Grant Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Grant Township, Precinct 1",President,,,Cornel West,0,,,,
Huron,"Grant Township, Precinct 1",President,,,Write-ins,0,,,,
Huron,"Hume Township, Precinct 1",President,,DEM,Kamala Harris,167,,,,
Huron,"Hume Township, Precinct 1",President,,REP,Donald Trump,349,,,,
Huron,"Hume Township, Precinct 1",President,,LIB,Chase Oliver,1,,,,
Huron,"Hume Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Huron,"Hume Township, Precinct 1",President,,GRN,Jill Stein,1,,,,
Huron,"Hume Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,3,,,,
Huron,"Hume Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Hume Township, Precinct 1",President,,,Cornel West,0,,,,
Huron,"Hume Township, Precinct 1",President,,,Write-ins,0,,,,
Huron,"Huron Township, Precinct 1",President,,DEM,Kamala Harris,49,,,,
Huron,"Huron Township, Precinct 1",President,,REP,Donald Trump,162,,,,
Huron,"Huron Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Huron,"Huron Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Huron,"Huron Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Huron,"Huron Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,3,,,,
Huron,"Huron Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Huron,"Huron Township, Precinct 1",President,,,Cornel West,0,,,,
Huron,"Huron Township, Precinct 1",President,,,Write-ins,1,,,,
Huron,"Lake Township, Precinct 1",President,,DEM,Kamala Harris,217,,,,
Huron,"Lake Township, Precinct 1",President,,REP,Donald Trump,335,,,,
Huron,"Lake Township, Precinct 1",President,,LIB,Chase Oliver,2,,,,
Huron,"Lake Township, Precinct 1",President,,UST,Randall Terry,1,,,,
Huron,"Lake Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
