county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Huron,"City of Bad Axe, Precinct 1",Straight Party,,DEM,Democratic,303,,,,
Huron,"City of Caseville, Precinct 1",Straight Party,,DEM,Democratic,93,,,,
Huron,"City of Harbor Beach, Precinct 1",Straight Party,,DEM,Democratic,159,,,,
Huron,"Bingham Township, Precinct 1",Straight Party,,DEM,Democratic,120,,,,
Huron,"Bloomfield Township, Precinct 1",Straight Party,,DEM,Democratic,19,,,,
Huron,"Brookfield Township, Precinct 1",Straight Party,,DEM,Democratic,29,,,,
Huron,"Caseville Township, Precinct 1",Straight Party,,DEM,Democratic,261,,,,
Huron,"Chandler Township, Precinct 1",Straight Party,,DEM,Democratic,19,,,,
Huron,"Colfax Township, Precinct 1",Straight Party,,DEM,Democratic,111,,,,
Huron,"Dwight Township, Precinct 1",Straight Party,,DEM,Democratic,54,,,,
Huron,"Fairhaven Township, Precinct 1",Straight Party,,DEM,Democratic,7,,,,
Huron,"Gore Township, Precinct 1",Straight Party,,DEM,Democratic,17,,,,
Huron,"Grant Township, Precinct 1",Straight Party,,DEM,Democratic,44,,,,
Huron,"Hume Township, Precinct 1",Straight Party,,DEM,Democratic,78,,,,
Huron,"Huron Township, Precinct 1",Straight Party,,DEM,Democratic,24,,,,
Huron,"Lake Township, Precinct 1",Straight Party,,DEM,Democratic,109,,,,
Huron,"Lincoln Township, Precinct 1",Straight Party,,DEM,Democratic,42,,,,
Huron,"McKinley Township, Precinct 1",Straight Party,,DEM,Democratic,31,,,,
Huron,"Meade Township, Precinct 1",Straight Party,,DEM,Democratic,45,,,,
Huron,"Oliver Township, Precinct 1",Straight Party,,DEM,Democratic,8,,,,
Huron,"Paris Township, Precinct 1",Straight Party,,DEM,Democratic,28,,,,
Huron,"Pointe Aux Barques Township, Precinct 1",Straight Party,,DEM,Democratic,3,,,,
Huron,"Port Austin Township, Precinct 1",Straight Party,,DEM,Democratic,163,,,,
Huron,"Rubicon Township, Precinct 1",Straight Party,,DEM,Democratic,55,,,,
Huron,"Sand Beach Township, Precinct 1",Straight Party,,DEM,Democratic,86,,,,
Huron,"Sebewaing Township, Precinct 1",Straight Party,,DEM,Democratic,176,,,,
Huron,"Sheridan Township, Precinct 1",Straight Party,,DEM,Democratic,43,,,,
Huron,"Sherman Township, Precinct 1",Straight Party,,DEM,Democratic,57,,,,
Huron,"Sigel Township, Precinct 1",Straight Party,,DEM,Democratic,13,,,,
Huron,"Verona Township, Precinct 1",Straight Party,,DEM,Democratic,12,,,,
Huron,"Winsor Township, Precinct 1",Straight Party,,DEM,Democratic,128,,,,
Huron,Delaware Township (Sanilac County),Straight Party,,DEM,Democratic,0,,,,
Huron,Multi-precinct Collection,Straight Party,,DEM,Democratic,234,,,,
Huron,"City of Bad Axe, Precinct 1",Straight Party,,REP,Republican,564,,,,
Huron,"City of Caseville, Precinct 1",Straight Party,,REP,Republican,193,,,,
Huron,"City of Harbor Beach, Precinct 1",Straight Party,,REP,Republican,348,,,,
Huron,"Bingham Township, Precinct 1",Straight Party,,REP,Republican,330,,,,
Huron,"Bloomfield Township, Precinct 1",Straight Party,,REP,Republican,126,,,,
Huron,"Brookfield Township, Precinct 1",Straight Party,,REP,Republican,194,,,,
Huron,"Caseville Township, Precinct 1",Straight Party,,REP,Republican,518,,,,
Huron,"Chandler Township, Precinct 1",Straight Party,,REP,Republican,125,,,,
Huron,"Colfax Township, Precinct 1",Straight Party,,REP,Republican,446,,,,
Huron,"Dwight Township, Precinct 1",Straight Party,,REP,Republican,181,,,,
Huron,"Fairhaven Township, Precinct 1",Straight Party,,REP,Republican,47,,,,
Huron,"Gore Township, Precinct 1",Straight Party,,REP,Republican,44,,,,
Huron,"Grant Township, Precinct 1",Straight Party,,REP,Republican,195,,,,
Huron,"Hume Township, Precinct 1",Straight Party,,REP,Republican,204,,,,
Huron,"Huron Township, Precinct 1",Straight Party,,REP,Republican,101,,,,
Huron,"Lake Township, Precinct 1",Straight Party,,REP,Republican,208,,,,
Huron,"Lincoln Township, Precinct 1",Straight Party,,REP,Republican,182,,,,
Huron,"McKinley Township, Precinct 1",Straight Party,,REP,Republican,133,,,,
Huron,"Meade Township, Precinct 1",Straight Party,,REP,Republican,162,,,,
Huron,"Oliver Township, Precinct 1",Straight Party,,REP,Republican,42,,,,
Huron,"Paris Township, Precinct 1",Straight Party,,REP,Republican,113,,,,
Huron,"Pointe Aux Barques Township, Precinct 1",Straight Party,,REP,Republican,6,,,,
Huron,"Port Austin Township, Precinct 1",Straight Party,,REP,Republican,282,,,,
Huron,"Rubicon Township, Precinct 1",Straight Party,,REP,Republican,235,,,,
Huron,"Sand Beach Township, Precinct 1",Straight Party,,REP,Republican,355,,,,
Huron,"Sebewaing Township, Precinct 1",Straight Party,,REP,Republican,662,,,,
Huron,"Sheridan Township, Precinct 1",Straight Party,,REP,Republican,153,,,,
Huron,"Sherman Township, Precinct 1",Straight Party,,REP,Republican,243,,,,
Huron,"Sigel Township, Precinct 1",Straight Party,,REP,Republican,126,,,,
Huron,"Verona Township, Precinct 1",Straight Party,,REP,Republican,91,,,,
Huron,"Winsor Township, Precinct 1",Straight Party,,REP,Republican,468,,,,
Huron,Delaware Township (Sanilac County),Straight Party,,REP,Republican,0,,,,
Huron,Multi-precinct Collection,Straight Party,,REP,Republican,764,,,,
Huron,"City of Bad Axe, Precinct 1",Straight Party,,LIB,Libertarian,6,,,,
Huron,"City of Caseville, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"City of Harbor Beach, Precinct 1",Straight Party,,LIB,Libertarian,2,,,,
Huron,"Bingham Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Bloomfield Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Brookfield Township, Precinct 1",Straight Party,,LIB,Libertarian,1,,,,
Huron,"Caseville Township, Precinct 1",Straight Party,,LIB,Libertarian,2,,,,
Huron,"Chandler Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Colfax Township, Precinct 1",Straight Party,,LIB,Libertarian,2,,,,
Huron,"Dwight Township, Precinct 1",Straight Party,,LIB,Libertarian,3,,,,
Huron,"Fairhaven Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Gore Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Grant Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Hume Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Huron Township, Precinct 1",Straight Party,,LIB,Libertarian,1,,,,
Huron,"Lake Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Lincoln Township, Precinct 1",Straight Party,,LIB,Libertarian,1,,,,
Huron,"McKinley Township, Precinct 1",Straight Party,,LIB,Libertarian,1,,,,
Huron,"Meade Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Oliver Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Paris Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Pointe Aux Barques Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Port Austin Township, Precinct 1",Straight Party,,LIB,Libertarian,2,,,,
Huron,"Rubicon Township, Precinct 1",Straight Party,,LIB,Libertarian,2,,,,
Huron,"Sand Beach Township, Precinct 1",Straight Party,,LIB,Libertarian,1,,,,
Huron,"Sebewaing Township, Precinct 1",Straight Party,,LIB,Libertarian,5,,,,
Huron,"Sheridan Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Sherman Township, Precinct 1",Straight Party,,LIB,Libertarian,2,,,,
Huron,"Sigel Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,
Huron,"Verona Township, Precinct 1",Straight Party,,LIB,Libertarian,1,,,,
Huron,"Winsor Township, Precinct 1",Straight Party,,LIB,Libertarian,2,,,,
Huron,Delaware Township (Sanilac County),Straight Party,,LIB,Libertarian,0,,,,
Huron,Multi-precinct Collection,Straight Party,,LIB,Libertarian,6,,,,
Huron,"City of Bad Axe, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,,,,
Huron,"City of Caseville, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"City of Harbor Beach, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,,,,
Huron,"Bingham Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,2,,,,
Huron,"Bloomfield Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Brookfield Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Caseville Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Chandler Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,2,,,,
Huron,"Colfax Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,,,,
Huron,"Dwight Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Fairhaven Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Gore Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Grant Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Hume Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,,,,
Huron,"Huron Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Lake Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Lincoln Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"McKinley Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Meade Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Oliver Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Paris Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Pointe Aux Barques Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Port Austin Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Rubicon Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Sand Beach Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,
Huron,"Sebewaing Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,3,,,,
