county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Huron,"City of Bad Axe, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,482,,,,
Huron,"City of Caseville, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,151,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,260,,,,
Huron,"Bingham Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,236,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,29,,,,
Huron,"Brookfield Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,50,,,,
Huron,"Caseville Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,401,,,,
Huron,"Chandler Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,32,,,,
Huron,"Colfax Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,201,,,,
Huron,"Dwight Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,84,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,10,,,,
Huron,"Gore Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,26,,,,
Huron,"Grant Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,73,,,,
Huron,"Hume Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,141,,,,
Huron,"Huron Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,42,,,,
Huron,"Lake Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,195,,,,
Huron,"Lincoln Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,80,,,,
Huron,"McKinley Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,50,,,,
Huron,"Meade Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,94,,,,
Huron,"Oliver Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,16,,,,
Huron,"Paris Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,51,,,,
Huron,"Pointe Aux Barques Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,11,,,,
Huron,"Port Austin Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,321,,,,
Huron,"Rubicon Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,94,,,,
Huron,"Sand Beach Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,161,,,,
Huron,"Sebewaing Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,305,,,,
Huron,"Sheridan Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,67,,,,
Huron,"Sherman Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,136,,,,
Huron,"Sigel Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,46,,,,
Huron,"Verona Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,42,,,,
Huron,"Winsor Township, Precinct 1",U.S. House,9,DEM,Clinton St Mosley,240,,,,
Huron,Multi-precinct Collection,U.S. House,9,DEM,Clinton St Mosley,387,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. House,9,REP,Lisa McClain,927,,,,
Huron,"City of Caseville, Precinct 1",U.S. House,9,REP,Lisa McClain,277,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. House,9,REP,Lisa McClain,562,,,,
Huron,"Bingham Township, Precinct 1",U.S. House,9,REP,Lisa McClain,658,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. House,9,REP,Lisa McClain,207,,,,
Huron,"Brookfield Township, Precinct 1",U.S. House,9,REP,Lisa McClain,317,,,,
Huron,"Caseville Township, Precinct 1",U.S. House,9,REP,Lisa McClain,833,,,,
Huron,"Chandler Township, Precinct 1",U.S. House,9,REP,Lisa McClain,210,,,,
Huron,"Colfax Township, Precinct 1",U.S. House,9,REP,Lisa McClain,739,,,,
Huron,"Dwight Township, Precinct 1",U.S. House,9,REP,Lisa McClain,297,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. House,9,REP,Lisa McClain,72,,,,
Huron,"Gore Township, Precinct 1",U.S. House,9,REP,Lisa McClain,72,,,,
Huron,"Grant Township, Precinct 1",U.S. House,9,REP,Lisa McClain,327,,,,
Huron,"Hume Township, Precinct 1",U.S. House,9,REP,Lisa McClain,361,,,,
Huron,"Huron Township, Precinct 1",U.S. House,9,REP,Lisa McClain,168,,,,
Huron,"Lake Township, Precinct 1",U.S. House,9,REP,Lisa McClain,338,,,,
Huron,"Lincoln Township, Precinct 1",U.S. House,9,REP,Lisa McClain,317,,,,
Huron,"McKinley Township, Precinct 1",U.S. House,9,REP,Lisa McClain,205,,,,
Huron,"Meade Township, Precinct 1",U.S. House,9,REP,Lisa McClain,288,,,,
Huron,"Oliver Township, Precinct 1",U.S. House,9,REP,Lisa McClain,72,,,,
Huron,"Paris Township, Precinct 1",U.S. House,9,REP,Lisa McClain,217,,,,
Huron,"Pointe Aux Barques Township, Precinct 1",U.S. House,9,REP,Lisa McClain,7,,,,
Huron,"Port Austin Township, Precinct 1",U.S. House,9,REP,Lisa McClain,608,,,,
Huron,"Rubicon Township, Precinct 1",U.S. House,9,REP,Lisa McClain,362,,,,
Huron,"Sand Beach Township, Precinct 1",U.S. House,9,REP,Lisa McClain,605,,,,
Huron,"Sebewaing Township, Precinct 1",U.S. House,9,REP,Lisa McClain,1118,,,,
Huron,"Sheridan Township, Precinct 1",U.S. House,9,REP,Lisa McClain,276,,,,
Huron,"Sherman Township, Precinct 1",U.S. House,9,REP,Lisa McClain,468,,,,
Huron,"Sigel Township, Precinct 1",U.S. House,9,REP,Lisa McClain,227,,,,
Huron,"Verona Township, Precinct 1",U.S. House,9,REP,Lisa McClain,145,,,,
Huron,"Winsor Township, Precinct 1",U.S. House,9,REP,Lisa McClain,791,,,,
Huron,Multi-precinct Collection,U.S. House,9,REP,Lisa McClain,1239,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. House,9,LIB,Kevin Vayko,22,,,,
Huron,"City of Caseville, Precinct 1",U.S. House,9,LIB,Kevin Vayko,2,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. House,9,LIB,Kevin Vayko,9,,,,
Huron,"Bingham Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,3,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,3,,,,
Huron,"Brookfield Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,2,,,,
Huron,"Caseville Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,5,,,,
Huron,"Chandler Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,1,,,,
Huron,"Colfax Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,5,,,,
Huron,"Dwight Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,3,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,0,,,,
Huron,"Gore Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,1,,,,
Huron,"Grant Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,3,,,,
Huron,"Hume Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,1,,,,
Huron,"Huron Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,1,,,,
Huron,"Lake Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,1,,,,
Huron,"Lincoln Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,3,,,,
Huron,"McKinley Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,4,,,,
Huron,"Meade Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,2,,,,
Huron,"Oliver Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,0,,,,
Huron,"Paris Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,2,,,,
Huron,"Pointe Aux Barques Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,0,,,,
Huron,"Port Austin Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,3,,,,
Huron,"Rubicon Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,9,,,,
Huron,"Sand Beach Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,5,,,,
Huron,"Sebewaing Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,14,,,,
Huron,"Sheridan Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,3,,,,
Huron,"Sherman Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,7,,,,
Huron,"Sigel Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,0,,,,
Huron,"Verona Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,0,,,,
Huron,"Winsor Township, Precinct 1",U.S. House,9,LIB,Kevin Vayko,6,,,,
Huron,Multi-precinct Collection,U.S. House,9,LIB,Kevin Vayko,17,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,49,,,,
Huron,"City of Caseville, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,11,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,28,,,,
Huron,"Bingham Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,37,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,7,,,,
Huron,"Brookfield Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,12,,,,
Huron,"Caseville Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,16,,,,
Huron,"Chandler Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,2,,,,
Huron,"Colfax Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,15,,,,
Huron,"Dwight Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,10,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,0,,,,
Huron,"Gore Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,2,,,,
Huron,"Grant Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,11,,,,
Huron,"Hume Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,13,,,,
Huron,"Huron Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,6,,,,
Huron,"Lake Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,12,,,,
Huron,"Lincoln Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,13,,,,
Huron,"McKinley Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,7,,,,
Huron,"Meade Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,11,,,,
Huron,"Oliver Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,2,,,,
Huron,"Paris Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,4,,,,
Huron,"Pointe Aux Barques Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,0,,,,
Huron,"Port Austin Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,19,,,,
Huron,"Rubicon Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,13,,,,
Huron,"Sand Beach Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,12,,,,
Huron,"Sebewaing Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,41,,,,
Huron,"Sheridan Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,8,,,,
Huron,"Sherman Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,13,,,,
Huron,"Sigel Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,12,,,,
Huron,"Verona Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,4,,,,
Huron,"Winsor Township, Precinct 1",U.S. House,9,WCP,Jim Walkowicz,25,,,,
Huron,Multi-precinct Collection,U.S. House,9,WCP,Jim Walkowicz,48,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. House,9,,Write-ins,3,,,,
Huron,"City of Caseville, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. House,9,,Write-ins,2,,,,
Huron,"Bingham Township, Precinct 1",U.S. House,9,,Write-ins,2,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"Brookfield Township, Precinct 1",U.S. House,9,,Write-ins,1,,,,
Huron,"Caseville Township, Precinct 1",U.S. House,9,,Write-ins,2,,,,
Huron,"Chandler Township, Precinct 1",U.S. House,9,,Write-ins,1,,,,
Huron,"Colfax Township, Precinct 1",U.S. House,9,,Write-ins,2,,,,
Huron,"Dwight Township, Precinct 1",U.S. House,9,,Write-ins,1,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"Gore Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"Grant Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"Hume Township, Precinct 1",U.S. House,9,,Write-ins,1,,,,
Huron,"Huron Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"Lake Township, Precinct 1",U.S. House,9,,Write-ins,2,,,,
Huron,"Lincoln Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"McKinley Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"Meade Township, Precinct 1",U.S. House,9,,Write-ins,1,,,,
Huron,"Oliver Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"Paris Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"Pointe Aux Barques Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
Huron,"Port Austin Township, Precinct 1",U.S. House,9,,Write-ins,0,,,,
