county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Huron,"City of Bad Axe, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,561,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. Senate,,REP,Mike Rogers,871,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,24,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. Senate,,UST,Dave Stein,14,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,13,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. Senate,,NLP,Doug Dern,9,,,,
Huron,"City of Bad Axe, Precinct 1",U.S. Senate,,,Write-ins,3,,,,
Huron,"City of Caseville, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,168,,,,
Huron,"City of Caseville, Precinct 1",U.S. Senate,,REP,Mike Rogers,260,,,,
Huron,"City of Caseville, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,4,,,,
Huron,"City of Caseville, Precinct 1",U.S. Senate,,UST,Dave Stein,4,,,,
Huron,"City of Caseville, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,1,,,,
Huron,"City of Caseville, Precinct 1",U.S. Senate,,NLP,Doug Dern,1,,,,
Huron,"City of Caseville, Precinct 1",U.S. Senate,,,Write-ins,0,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,309,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. Senate,,REP,Mike Rogers,522,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,11,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. Senate,,UST,Dave Stein,13,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,7,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. Senate,,NLP,Doug Dern,8,,,,
Huron,"City of Harbor Beach, Precinct 1",U.S. Senate,,,Write-ins,0,,,,
Huron,"Bingham Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,298,,,,
Huron,"Bingham Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,620,,,,
Huron,"Bingham Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,4,,,,
Huron,"Bingham Township, Precinct 1",U.S. Senate,,UST,Dave Stein,17,,,,
Huron,"Bingham Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,2,,,,
Huron,"Bingham Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,2,,,,
Huron,"Bingham Township, Precinct 1",U.S. Senate,,,Write-ins,1,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,46,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,194,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,1,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. Senate,,UST,Dave Stein,2,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,0,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,3,,,,
Huron,"Bloomfield Township, Precinct 1",U.S. Senate,,,Write-ins,0,,,,
Huron,"Brookfield Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,73,,,,
Huron,"Brookfield Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,297,,,,
Huron,"Brookfield Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,5,,,,
Huron,"Brookfield Township, Precinct 1",U.S. Senate,,UST,Dave Stein,6,,,,
Huron,"Brookfield Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,1,,,,
Huron,"Brookfield Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,2,,,,
Huron,"Brookfield Township, Precinct 1",U.S. Senate,,,Write-ins,0,,,,
Huron,"Caseville Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,479,,,,
Huron,"Caseville Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,755,,,,
Huron,"Caseville Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,11,,,,
Huron,"Caseville Township, Precinct 1",U.S. Senate,,UST,Dave Stein,14,,,,
Huron,"Caseville Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,3,,,,
