county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Mendocino,AIRPORT - 9 99201,President,,LIB,Chase Oliver,2,0,,2,
Mendocino,AIRPORT - 9 99201,President,,PFP,Claudia De la Cruz,1,0,,1,
Mendocino,AIRPORT - 9 99201,President,,REP,Donald Trump,163,9,,154,
Mendocino,AIRPORT - 9 99201,President,,GRN,Jill Stein,0,0,,0,
Mendocino,AIRPORT - 9 99201,President,,DEM,Kamala Harris,213,17,,196,
Mendocino,AIRPORT - 9 99201,President,,,Overvotes,1,0,,1,
Mendocino,AIRPORT - 9 99201,President,,AIP,Robert F. Kennedy Jr.,10,2,,8,
Mendocino,AIRPORT - 9 99201,President,,,Undervotes,2,0,,2,
Mendocino,AIRPORT - 9 99201,President,,,Write-ins,0,0,,0,
Mendocino,AIRPORT SO UTH - 999 141,President,,LIB,Chase Oliver,0,0,,0,
Mendocino,AIRPORT SO UTH - 999 141,President,,PFP,Claudia De la Cruz,0,0,,0,
Mendocino,AIRPORT SO UTH - 999 141,President,,REP,Donald Trump,3,1,,2,
Mendocino,AIRPORT SO UTH - 999 141,President,,GRN,Jill Stein,0,0,,0,
Mendocino,AIRPORT SO UTH - 999 141,President,,DEM,Kamala Harris,0,0,,0,
Mendocino,AIRPORT SO UTH - 999 141,President,,,Overvotes,0,0,,0,
Mendocino,AIRPORT SO UTH - 999 141,President,,AIP,Robert F. Kennedy Jr.,0,0,,0,
Mendocino,AIRPORT SO UTH - 999 141,President,,,Undervotes,0,0,,0,
Mendocino,AIRPORT SO UTH - 999 141,President,,,Write-ins,0,0,,0,
Mendocino,ALDER - 999 428,President,,LIB,Chase Oliver,0,0,,0,
Mendocino,ALDER - 999 428,President,,PFP,Claudia De la Cruz,0,0,,0,
Mendocino,ALDER - 999 428,President,,REP,Donald Trump,55,7,,48,
Mendocino,ALDER - 999 428,President,,GRN,Jill Stein,5,0,,5,
Mendocino,ALDER - 999 428,President,,DEM,Kamala Harris,120,8,,112,
Mendocino,ALDER - 999 428,President,,,Overvotes,0,0,,0,
Mendocino,ALDER - 999 428,President,,AIP,Robert F. Kennedy Jr.,3,0,,3,
Mendocino,ALDER - 999 428,President,,,Undervotes,3,0,,3,
Mendocino,ALDER - 999 428,President,,,Write-ins,0,0,,0,
Mendocino,ALEXANDER - 999122,President,,LIB,Chase Oliver,1,0,,1,
Mendocino,ALEXANDER - 999122,President,,PFP,Claudia De la Cruz,0,0,,0,
Mendocino,ALEXANDER - 999122,President,,REP,Donald Trump,0,0,,0,
Mendocino,ALEXANDER - 999122,President,,GRN,Jill Stein,0,0,,0,
Mendocino,ALEXANDER - 999122,President,,DEM,Kamala Harris,1,0,,1,
Mendocino,ALEXANDER - 999122,President,,,Overvotes,0,0,,0,
Mendocino,ALEXANDER - 999122,President,,AIP,Robert F. Kennedy Jr.,0,0,,0,
Mendocino,ALEXANDER - 999122,President,,,Undervotes,0,0,,0,
Mendocino,ALEXANDER - 999122,President,,,Write-ins,0,0,,0,
Mendocino,ALPINE - 99 9407,President,,LIB,Chase Oliver,0,0,,0,
Mendocino,ALPINE - 99 9407,President,,PFP,Claudia De la Cruz,0,0,,0,
Mendocino,ALPINE - 99 9407,President,,REP,Donald Trump,20,0,,20,
Mendocino,ALPINE - 99 9407,President,,GRN,Jill Stein,2,0,,2,
Mendocino,ALPINE - 99 9407,President,,DEM,Kamala Harris,78,3,,75,
Mendocino,ALPINE - 99 9407,President,,,Overvotes,0,0,,0,
Mendocino,ALPINE - 99 9407,President,,AIP,Robert F. Kennedy Jr.,4,0,,4,
Mendocino,ALPINE - 99 9407,President,,,Undervotes,1,0,,1,
Mendocino,ALPINE - 99 9407,President,,,Write-ins,0,0,,0,
Mendocino,ANCHOR B AY - 999518,President,,LIB,Chase Oliver,0,0,,0,
Mendocino,ANCHOR B AY - 999518,President,,PFP,Claudia De la Cruz,0,0,,0,
Mendocino,ANCHOR B AY - 999518,President,,REP,Donald Trump,3,0,,3,
Mendocino,ANCHOR B AY - 999518,President,,GRN,Jill Stein,2,0,,2,
Mendocino,ANCHOR B AY - 999518,President,,DEM,Kamala Harris,28,1,,27,
Mendocino,ANCHOR B AY - 999518,President,,,Overvotes,0,0,,0,
Mendocino,ANCHOR B AY - 999518,President,,AIP,Robert F. Kennedy Jr.,0,0,,0,
Mendocino,ANCHOR B AY - 999518,President,,,Undervotes,0,0,,0,
Mendocino,ANCHOR B AY - 999518,President,,,Write-ins,0,0,,0,
Mendocino,ANTONI LA NE - 100001,President,,LIB,Chase Oliver,2,0,,2,
Mendocino,ANTONI LA NE - 100001,President,,PFP,Claudia De la Cruz,0,0,,0,
Mendocino,ANTONI LA NE - 100001,President,,REP,Donald Trump,248,18,,230,
Mendocino,ANTONI LA NE - 100001,President,,GRN,Jill Stein,4,1,,3,
Mendocino,ANTONI LA NE - 100001,President,,DEM,Kamala Harris,254,15,,239,
Mendocino,ANTONI LA NE - 100001,President,,,Overvotes,0,0,,0,
Mendocino,ANTONI LA NE - 100001,President,,AIP,Robert F. Kennedy Jr.,6,0,,6,
Mendocino,ANTONI LA NE - 100001,President,,,Undervotes,7,0,,7,
Mendocino,ANTONI LA NE - 100001,President,,,Write-ins,0,0,,0,
Mendocino,APPOLINARIS - 999142,President,,LIB,Chase Oliver,0,0,,0,
Mendocino,APPOLINARIS - 999142,President,,PFP,Claudia De la Cruz,0,0,,0,
Mendocino,APPOLINARIS - 999142,President,,REP,Donald Trump,70,2,,68,
Mendocino,APPOLINARIS - 999142,President,,GRN,Jill Stein,1,0,,1,
Mendocino,APPOLINARIS - 999142,President,,DEM,Kamala Harris,52,1,,51,
Mendocino,APPOLINARIS - 999142,President,,,Overvotes,0,0,,0,
Mendocino,APPOLINARIS - 999142,President,,AIP,Robert F. Kennedy Jr.,5,0,,5,
Mendocino,APPOLINARIS - 999142,President,,,Undervotes,1,0,,1,
Mendocino,APPOLINARIS - 999142,President,,,Write-ins,0,0,,0,
Mendocino,ARENA - 99 9514,President,,LIB,Chase Oliver,1,0,,1,
Mendocino,ARENA - 99 9514,President,,PFP,Claudia De la Cruz,2,0,,2,
Mendocino,ARENA - 99 9514,President,,REP,Donald Trump,33,4,,29,
Mendocino,ARENA - 99 9514,President,,GRN,Jill Stein,8,1,,7,
Mendocino,ARENA - 99 9514,President,,DEM,Kamala Harris,153,8,,145,
Mendocino,ARENA - 99 9514,President,,,Overvotes,0,0,,0,
Mendocino,ARENA - 99 9514,President,,AIP,Robert F. Kennedy Jr.,5,2,,3,
