county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Missaukee,Aetna,President,,DEM,Kamala Harris,28,,,,
Missaukee,Aetna,President,,REP,Donald Trump,218,,,,
Missaukee,Aetna,President,,LIB,Chase Oliver,1,,,,
Missaukee,Aetna,President,,UST,Randall Terry,0,,,,
Missaukee,Aetna,President,,GRN,Jill Stein,1,,,,
Missaukee,Aetna,President,,NLP,Robert F. Kennedy Jr.,0,,,,
Missaukee,Aetna,President,,,Joseph Kishore,0,,,,
Missaukee,Aetna,President,,,Cornel West,0,,,,
Missaukee,Bloomfield,President,,DEM,Kamala Harris,78,,,,
Missaukee,Bloomfield,President,,REP,Donald Trump,212,,,,
Missaukee,Bloomfield,President,,LIB,Chase Oliver,6,,,,
Missaukee,Bloomfield,President,,UST,Randall Terry,0,,,,
Missaukee,Bloomfield,President,,GRN,Jill Stein,0,,,,
Missaukee,Bloomfield,President,,NLP,Robert F. Kennedy Jr.,1,,,,
Missaukee,Bloomfield,President,,,Joseph Kishore,0,,,,
Missaukee,Bloomfield,President,,,Cornel West,0,,,,
Missaukee,Butterfield,President,,DEM,Kamala Harris,65,,,,
Missaukee,Butterfield,President,,REP,Donald Trump,209,,,,
Missaukee,Butterfield,President,,LIB,Chase Oliver,4,,,,
Missaukee,Butterfield,President,,UST,Randall Terry,0,,,,
Missaukee,Butterfield,President,,GRN,Jill Stein,0,,,,
Missaukee,Butterfield,President,,NLP,Robert F. Kennedy Jr.,1,,,,
Missaukee,Butterfield,President,,,Joseph Kishore,1,,,,
Missaukee,Butterfield,President,,,Cornel West,1,,,,
Missaukee,Caldwell,President,,DEM,Kamala Harris,132,,,,
Missaukee,Caldwell,President,,REP,Donald Trump,513,,,,
Missaukee,Caldwell,President,,LIB,Chase Oliver,7,,,,
Missaukee,Caldwell,President,,UST,Randall Terry,1,,,,
Missaukee,Caldwell,President,,GRN,Jill Stein,0,,,,
Missaukee,Caldwell,President,,NLP,Robert F. Kennedy Jr.,4,,,,
Missaukee,Caldwell,President,,,Joseph Kishore,0,,,,
Missaukee,Caldwell,President,,,Cornel West,0,,,,
Missaukee,Clam Union,President,,DEM,Kamala Harris,53,,,,
Missaukee,Clam Union,President,,REP,Donald Trump,410,,,,
Missaukee,Clam Union,President,,LIB,Chase Oliver,3,,,,
Missaukee,Clam Union,President,,UST,Randall Terry,1,,,,
Missaukee,Clam Union,President,,GRN,Jill Stein,0,,,,
Missaukee,Clam Union,President,,NLP,Robert F. Kennedy Jr.,3,,,,
Missaukee,Clam Union,President,,,Joseph Kishore,1,,,,
Missaukee,Clam Union,President,,,Cornel West,0,,,,
Missaukee,Enterprise,President,,DEM,Kamala Harris,26,,,,
Missaukee,Enterprise,President,,REP,Donald Trump,65,,,,
Missaukee,Enterprise,President,,LIB,Chase Oliver,1,,,,
Missaukee,Enterprise,President,,UST,Randall Terry,0,,,,
Missaukee,Enterprise,President,,GRN,Jill Stein,0,,,,
Missaukee,Enterprise,President,,NLP,Robert F. Kennedy Jr.,0,,,,
Missaukee,Enterprise,President,,,Joseph Kishore,0,,,,
Missaukee,Enterprise,President,,,Cornel West,0,,,,
Missaukee,Forest,President,,DEM,Kamala Harris,129,,,,
Missaukee,Forest,President,,REP,Donald Trump,377,,,,
Missaukee,Forest,President,,LIB,Chase Oliver,1,,,,
Missaukee,Forest,President,,UST,Randall Terry,1,,,,
Missaukee,Forest,President,,GRN,Jill Stein,2,,,,
Missaukee,Forest,President,,NLP,Robert F. Kennedy Jr.,1,,,,
Missaukee,Forest,President,,,Joseph Kishore,0,,,,
Missaukee,Forest,President,,,Cornel West,1,,,,
Missaukee,Holland,President,,DEM,Kamala Harris,29,,,,
Missaukee,Holland,President,,REP,Donald Trump,84,,,,
Missaukee,Holland,President,,LIB,Chase Oliver,0,,,,
Missaukee,Holland,President,,UST,Randall Terry,0,,,,
Missaukee,Holland,President,,GRN,Jill Stein,0,,,,
Missaukee,Holland,President,,NLP,Robert F. Kennedy Jr.,0,,,,
Missaukee,Holland,President,,,Joseph Kishore,0,,,,
Missaukee,Holland,President,,,Cornel West,0,,,,
Missaukee,Lake,President,,DEM,Kamala Harris,441,,,,
Missaukee,Lake,President,,REP,Donald Trump,931,,,,
Missaukee,Lake,President,,LIB,Chase Oliver,5,,,,
Missaukee,Lake,President,,UST,Randall Terry,3,,,,
Missaukee,Lake,President,,GRN,Jill Stein,2,,,,
Missaukee,Lake,President,,NLP,Robert F. Kennedy Jr.,5,,,,
Missaukee,Lake,President,,,Joseph Kishore,2,,,,
Missaukee,Lake,President,,,Cornel West,1,,,,
Missaukee,Norwich,President,,DEM,Kamala Harris,66,,,,
Missaukee,Norwich,President,,REP,Donald Trump,286,,,,
Missaukee,Norwich,President,,LIB,Chase Oliver,5,,,,
Missaukee,Norwich,President,,UST,Randall Terry,0,,,,
Missaukee,Norwich,President,,GRN,Jill Stein,1,,,,
Missaukee,Norwich,President,,NLP,Robert F. Kennedy Jr.,1,,,,
Missaukee,Norwich,President,,,Joseph Kishore,0,,,,
Missaukee,Norwich,President,,,Cornel West,0,,,,
Missaukee,Pioneer,President,,DEM,Kamala Harris,47,,,,
Missaukee,Pioneer,President,,REP,Donald Trump,193,,,,
Missaukee,Pioneer,President,,LIB,Chase Oliver,4,,,,
Missaukee,Pioneer,President,,UST,Randall Terry,1,,,,
Missaukee,Pioneer,President,,GRN,Jill Stein,1,,,,
Missaukee,Pioneer,President,,NLP,Robert F. Kennedy Jr.,0,,,,
Missaukee,Pioneer,President,,,Joseph Kishore,0,,,,
Missaukee,Pioneer,President,,,Cornel West,0,,,,
Missaukee,Reeder,President,,DEM,Kamala Harris,142,,,,
Missaukee,Reeder,President,,REP,Donald Trump,387,,,,
Missaukee,Reeder,President,,LIB,Chase Oliver,0,,,,
Missaukee,Reeder,President,,UST,Randall Terry,0,,,,
Missaukee,Reeder,President,,GRN,Jill Stein,0,,,,
Missaukee,Reeder,President,,NLP,Robert F. Kennedy Jr.,3,,,,
Missaukee,Reeder,President,,,Joseph Kishore,2,,,,
Missaukee,Reeder,President,,,Cornel West,0,,,,
Missaukee,Richland,President,,DEM,Kamala Harris,130,,,,
Missaukee,Richland,President,,REP,Donald Trump,661,,,,
Missaukee,Richland,President,,LIB,Chase Oliver,7,,,,
Missaukee,Richland,President,,UST,Randall Terry,1,,,,
Missaukee,Richland,President,,GRN,Jill Stein,2,,,,
Missaukee,Richland,President,,NLP,Robert F. Kennedy Jr.,4,,,,
Missaukee,Richland,President,,,Joseph Kishore,1,,,,
Missaukee,Richland,President,,,Cornel West,0,,,,
Missaukee,Riverside,President,,DEM,Kamala Harris,67,,,,
Missaukee,Riverside,President,,REP,Donald Trump,475,,,,
Missaukee,Riverside,President,,LIB,Chase Oliver,4,,,,
Missaukee,Riverside,President,,UST,Randall Terry,2,,,,
Missaukee,Riverside,President,,GRN,Jill Stein,1,,,,
Missaukee,Riverside,President,,NLP,Robert F. Kennedy Jr.,2,,,,
Missaukee,Riverside,President,,,Joseph Kishore,0,,,,
Missaukee,Riverside,President,,,Cornel West,0,,,,
Missaukee,West Branch,President,,DEM,Kamala Harris,46,,,,
Missaukee,West Branch,President,,REP,Donald Trump,196,,,,
Missaukee,West Branch,President,,LIB,Chase Oliver,2,,,,
Missaukee,West Branch,President,,UST,Randall Terry,1,,,,
Missaukee,West Branch,President,,GRN,Jill Stein,0,,,,
Missaukee,West Branch,President,,NLP,Robert F. Kennedy Jr.,2,,,,
Missaukee,West Branch,President,,,Joseph Kishore,0,,,,
Missaukee,West Branch,President,,,Cornel West,0,,,,
Missaukee,Lake City,President,,DEM,Kamala Harris,156,,,,
Missaukee,Lake City,President,,REP,Donald Trump,248,,,,
Missaukee,Lake City,President,,LIB,Chase Oliver,4,,,,
Missaukee,Lake City,President,,UST,Randall Terry,0,,,,
Missaukee,Lake City,President,,GRN,Jill Stein,1,,,,
Missaukee,Lake City,President,,NLP,Robert F. Kennedy Jr.,3,,,,
Missaukee,Lake City,President,,,Joseph Kishore,0,,,,
Missaukee,Lake City,President,,,Cornel West,0,,,,
Missaukee,McBain,President,,DEM,Kamala Harris,55,,,,
Missaukee,McBain,President,,REP,Donald Trump,222,,,,
Missaukee,McBain,President,,LIB,Chase Oliver,2,,,,
Missaukee,McBain,President,,UST,Randall Terry,0,,,,
Missaukee,McBain,President,,GRN,Jill Stein,1,,,,
Missaukee,McBain,President,,NLP,Robert F. Kennedy Jr.,2,,,,
Missaukee,McBain,President,,,Joseph Kishore,0,,,,
Missaukee,McBain,President,,,Cornel West,0,,,,
Missaukee,EV PCT 1,President,,DEM,Kamala Harris,255,,,,
Missaukee,EV PCT 1,President,,REP,Donald Trump,1379,,,,
Missaukee,EV PCT 1,President,,LIB,Chase Oliver,11,,,,
Missaukee,EV PCT 1,President,,UST,Randall Terry,0,,,,
Missaukee,EV PCT 1,President,,GRN,Jill Stein,1,,,,
Missaukee,EV PCT 1,President,,NLP,Robert F. Kennedy Jr.,6,,,,
Missaukee,EV PCT 1,President,,,Joseph Kishore,1,,,,
Missaukee,EV PCT 1,President,,,Cornel West,0,,,,
Missaukee,Richland,President,,,Write-ins,1,,,,
