county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Missaukee,Aetna,State House,105,DEM,James Wojey,31,,,,
Missaukee,Aetna,State House,105,REP,Ken Borton,213,,,,
Missaukee,Bloomfield,State House,105,DEM,James Wojey,73,,,,
Missaukee,Bloomfield,State House,105,REP,Ken Borton,209,,,,
Missaukee,Butterfield,State House,105,DEM,James Wojey,57,,,,
Missaukee,Butterfield,State House,105,REP,Ken Borton,211,,,,
Missaukee,Caldwell,State House,105,DEM,James Wojey,113,,,,
Missaukee,Caldwell,State House,105,REP,Ken Borton,522,,,,
Missaukee,Clam Union,State House,105,DEM,James Wojey,46,,,,
Missaukee,Clam Union,State House,105,REP,Ken Borton,416,,,,
Missaukee,Enterprise,State House,105,DEM,James Wojey,23,,,,
Missaukee,Enterprise,State House,105,REP,Ken Borton,66,,,,
Missaukee,Forest,State House,105,DEM,James Wojey,116,,,,
Missaukee,Forest,State House,105,REP,Ken Borton,384,,,,
Missaukee,Holland,State House,105,DEM,James Wojey,25,,,,
Missaukee,Holland,State House,105,REP,Ken Borton,87,,,,
Missaukee,Lake,State House,105,DEM,James Wojey,395,,,,
Missaukee,Lake,State House,105,REP,Ken Borton,951,,,,
Missaukee,Norwich,State House,105,DEM,James Wojey,63,,,,
Missaukee,Norwich,State House,105,REP,Ken Borton,285,,,,
Missaukee,Pioneer,State House,105,DEM,James Wojey,42,,,,
Missaukee,Pioneer,State House,105,REP,Ken Borton,185,,,,
Missaukee,Reeder,State House,105,DEM,James Wojey,125,,,,
Missaukee,Reeder,State House,105,REP,Ken Borton,391,,,,
Missaukee,Richland,State House,105,DEM,James Wojey,101,,,,
Missaukee,Richland,State House,105,REP,Ken Borton,686,,,,
Missaukee,Riverside,State House,105,DEM,James Wojey,64,,,,
Missaukee,Riverside,State House,105,REP,Ken Borton,471,,,,
Missaukee,West Branch,State House,105,DEM,James Wojey,46,,,,
Missaukee,West Branch,State House,105,REP,Ken Borton,188,,,,
Missaukee,Lake City,State House,105,DEM,James Wojey,139,,,,
Missaukee,Lake City,State House,105,REP,Ken Borton,246,,,,
Missaukee,McBain,State House,105,DEM,James Wojey,49,,,,
Missaukee,McBain,State House,105,REP,Ken Borton,228,,,,
Missaukee,EV PCT 1,State House,105,DEM,James Wojey,249,,,,
Missaukee,EV PCT 1,State House,105,REP,Ken Borton,1358,,,,
