county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Missaukee,Aetna,Straight Party,,DEM,Democratic Party,18,,,,
Missaukee,Aetna,Straight Party,,REP,Republican Party,152,,,,
Missaukee,Aetna,Straight Party,,LIB,Libertarian Party,0,,,,
Missaukee,Aetna,Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Missaukee,Aetna,Straight Party,,GRN,Green Party,0,,,,
Missaukee,Aetna,Straight Party,,WCP,Working Class Party,1,,,,
Missaukee,Aetna,Straight Party,,NLP,Natural Law Party,0,,,,
Missaukee,Bloomfield,Straight Party,,DEM,Democratic Party,45,,,,
Missaukee,Bloomfield,Straight Party,,REP,Republican Party,131,,,,
Missaukee,Bloomfield,Straight Party,,LIB,Libertarian Party,5,,,,
Missaukee,Bloomfield,Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Missaukee,Bloomfield,Straight Party,,GRN,Green Party,0,,,,
Missaukee,Bloomfield,Straight Party,,WCP,Working Class Party,1,,,,
Missaukee,Bloomfield,Straight Party,,NLP,Natural Law Party,0,,,,
Missaukee,Butterfield,Straight Party,,DEM,Democratic Party,36,,,,
Missaukee,Butterfield,Straight Party,,REP,Republican Party,111,,,,
Missaukee,Butterfield,Straight Party,,LIB,Libertarian Party,3,,,,
Missaukee,Butterfield,Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Missaukee,Butterfield,Straight Party,,GRN,Green Party,0,,,,
Missaukee,Butterfield,Straight Party,,WCP,Working Class Party,1,,,,
Missaukee,Butterfield,Straight Party,,NLP,Natural Law Party,0,,,,
Missaukee,Caldwell,Straight Party,,DEM,Democratic Party,62,,,,
Missaukee,Caldwell,Straight Party,,REP,Republican Party,334,,,,
Missaukee,Caldwell,Straight Party,,LIB,Libertarian Party,3,,,,
Missaukee,Caldwell,Straight Party,,UST,U.S. Taxpayers Party,1,,,,
Missaukee,Caldwell,Straight Party,,GRN,Green Party,0,,,,
Missaukee,Caldwell,Straight Party,,WCP,Working Class Party,5,,,,
Missaukee,Caldwell,Straight Party,,NLP,Natural Law Party,0,,,,
Missaukee,Clam Union,Straight Party,,DEM,Democratic Party,25,,,,
Missaukee,Clam Union,Straight Party,,REP,Republican Party,331,,,,
Missaukee,Clam Union,Straight Party,,LIB,Libertarian Party,1,,,,
Missaukee,Clam Union,Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Missaukee,Clam Union,Straight Party,,GRN,Green Party,0,,,,
Missaukee,Clam Union,Straight Party,,WCP,Working Class Party,0,,,,
Missaukee,Clam Union,Straight Party,,NLP,Natural Law Party,0,,,,
Missaukee,Enterprise,Straight Party,,DEM,Democratic Party,16,,,,
Missaukee,Enterprise,Straight Party,,REP,Republican Party,47,,,,
Missaukee,Enterprise,Straight Party,,LIB,Libertarian Party,0,,,,
Missaukee,Enterprise,Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Missaukee,Enterprise,Straight Party,,GRN,Green Party,0,,,,
Missaukee,Enterprise,Straight Party,,WCP,Working Class Party,0,,,,
Missaukee,Enterprise,Straight Party,,NLP,Natural Law Party,0,,,,
Missaukee,Forest,Straight Party,,DEM,Democratic Party,70,,,,
Missaukee,Forest,Straight Party,,REP,Republican Party,261,,,,
Missaukee,Forest,Straight Party,,LIB,Libertarian Party,2,,,,
Missaukee,Forest,Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Missaukee,Forest,Straight Party,,GRN,Green Party,2,,,,
Missaukee,Forest,Straight Party,,WCP,Working Class Party,3,,,,
Missaukee,Forest,Straight Party,,NLP,Natural Law Party,2,,,,
Missaukee,Holland,Straight Party,,DEM,Democratic Party,14,,,,
Missaukee,Holland,Straight Party,,REP,Republican Party,60,,,,
Missaukee,Holland,Straight Party,,LIB,Libertarian Party,0,,,,
Missaukee,Holland,Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Missaukee,Holland,Straight Party,,GRN,Green Party,0,,,,
Missaukee,Holland,Straight Party,,WCP,Working Class Party,1,,,,
Missaukee,Holland,Straight Party,,NLP,Natural Law Party,0,,,,
Missaukee,Lake,Straight Party,,DEM,Democratic Party,202,,,,
Missaukee,Lake,Straight Party,,REP,Republican Party,604,,,,
Missaukee,Lake,Straight Party,,LIB,Libertarian Party,2,,,,
Missaukee,Lake,Straight Party,,UST,U.S. Taxpayers Party,3,,,,
Missaukee,Lake,Straight Party,,GRN,Green Party,1,,,,
Missaukee,Lake,Straight Party,,WCP,Working Class Party,12,,,,
Missaukee,Lake,Straight Party,,NLP,Natural Law Party,2,,,,
Missaukee,Norwich,Straight Party,,DEM,Democratic Party,39,,,,
Missaukee,Norwich,Straight Party,,REP,Republican Party,202,,,,
Missaukee,Norwich,Straight Party,,LIB,Libertarian Party,1,,,,
Missaukee,Norwich,Straight Party,,UST,U.S. Taxpayers Party,1,,,,
Missaukee,Norwich,Straight Party,,GRN,Green Party,0,,,,
Missaukee,Norwich,Straight Party,,WCP,Working Class Party,2,,,,
Missaukee,Norwich,Straight Party,,NLP,Natural Law Party,1,,,,
Missaukee,Pioneer,Straight Party,,DEM,Democratic Party,24,,,,
Missaukee,Pioneer,Straight Party,,REP,Republican Party,118,,,,
Missaukee,Pioneer,Straight Party,,LIB,Libertarian Party,1,,,,
Missaukee,Pioneer,Straight Party,,UST,U.S. Taxpayers Party,1,,,,
