county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Missaukee,Aetna,U.S. House,1,DEM,Callie Barr,28,,,,
Missaukee,Aetna,U.S. House,1,REP,Jack Bergman,211,,,,
Missaukee,Aetna,U.S. House,1,LIB,Andrew Gale,2,,,,
Missaukee,Aetna,U.S. House,1,WCP,Liz Hakola,5,,,,
Missaukee,Bloomfield,U.S. House,1,DEM,Callie Barr,77,,,,
Missaukee,Bloomfield,U.S. House,1,REP,Jack Bergman,199,,,,
Missaukee,Bloomfield,U.S. House,1,LIB,Andrew Gale,9,,,,
Missaukee,Bloomfield,U.S. House,1,WCP,Liz Hakola,2,,,,
Missaukee,Butterfield,U.S. House,1,DEM,Callie Barr,64,,,,
Missaukee,Butterfield,U.S. House,1,REP,Jack Bergman,198,,,,
Missaukee,Butterfield,U.S. House,1,LIB,Andrew Gale,8,,,,
Missaukee,Butterfield,U.S. House,1,WCP,Liz Hakola,5,,,,
Missaukee,Caldwell,U.S. House,1,DEM,Callie Barr,125,,,,
Missaukee,Caldwell,U.S. House,1,REP,Jack Bergman,497,,,,
Missaukee,Caldwell,U.S. House,1,LIB,Andrew Gale,13,,,,
Missaukee,Caldwell,U.S. House,1,WCP,Liz Hakola,12,,,,
Missaukee,Clam Union,U.S. House,1,DEM,Callie Barr,46,,,,
Missaukee,Clam Union,U.S. House,1,REP,Jack Bergman,411,,,,
Missaukee,Clam Union,U.S. House,1,LIB,Andrew Gale,5,,,,
Missaukee,Clam Union,U.S. House,1,WCP,Liz Hakola,5,,,,
Missaukee,Enterprise,U.S. House,1,DEM,Callie Barr,23,,,,
Missaukee,Enterprise,U.S. House,1,REP,Jack Bergman,63,,,,
Missaukee,Enterprise,U.S. House,1,LIB,Andrew Gale,2,,,,
Missaukee,Enterprise,U.S. House,1,WCP,Liz Hakola,2,,,,
Missaukee,Forest,U.S. House,1,DEM,Callie Barr,120,,,,
Missaukee,Forest,U.S. House,1,REP,Jack Bergman,362,,,,
Missaukee,Forest,U.S. House,1,LIB,Andrew Gale,10,,,,
Missaukee,Forest,U.S. House,1,WCP,Liz Hakola,12,,,,
Missaukee,Holland,U.S. House,1,DEM,Callie Barr,28,,,,
Missaukee,Holland,U.S. House,1,REP,Jack Bergman,81,,,,
Missaukee,Holland,U.S. House,1,LIB,Andrew Gale,3,,,,
Missaukee,Holland,U.S. House,1,WCP,Liz Hakola,2,,,,
Missaukee,Lake,U.S. House,1,DEM,Callie Barr,426,,,,
Missaukee,Lake,U.S. House,1,REP,Jack Bergman,905,,,,
Missaukee,Lake,U.S. House,1,LIB,Andrew Gale,14,,,,
Missaukee,Lake,U.S. House,1,WCP,Liz Hakola,25,,,,
Missaukee,Norwich,U.S. House,1,DEM,Callie Barr,63,,,,
Missaukee,Norwich,U.S. House,1,REP,Jack Bergman,279,,,,
Missaukee,Norwich,U.S. House,1,LIB,Andrew Gale,5,,,,
Missaukee,Norwich,U.S. House,1,WCP,Liz Hakola,5,,,,
Missaukee,Pioneer,U.S. House,1,DEM,Callie Barr,45,,,,
Missaukee,Pioneer,U.S. House,1,REP,Jack Bergman,178,,,,
Missaukee,Pioneer,U.S. House,1,LIB,Andrew Gale,5,,,,
Missaukee,Pioneer,U.S. House,1,WCP,Liz Hakola,6,,,,
Missaukee,Reeder,U.S. House,1,DEM,Callie Barr,137,,,,
Missaukee,Reeder,U.S. House,1,REP,Jack Bergman,375,,,,
Missaukee,Reeder,U.S. House,1,LIB,Andrew Gale,4,,,,
Missaukee,Reeder,U.S. House,1,WCP,Liz Hakola,11,,,,
Missaukee,Richland,U.S. House,1,DEM,Callie Barr,122,,,,
Missaukee,Richland,U.S. House,1,REP,Jack Bergman,658,,,,
Missaukee,Richland,U.S. House,1,LIB,Andrew Gale,8,,,,
Missaukee,Richland,U.S. House,1,WCP,Liz Hakola,11,,,,
Missaukee,Riverside,U.S. House,1,DEM,Callie Barr,72,,,,
Missaukee,Riverside,U.S. House,1,REP,Jack Bergman,466,,,,
Missaukee,Riverside,U.S. House,1,LIB,Andrew Gale,4,,,,
Missaukee,Riverside,U.S. House,1,WCP,Liz Hakola,5,,,,
Missaukee,West Branch,U.S. House,1,DEM,Callie Barr,42,,,,
Missaukee,West Branch,U.S. House,1,REP,Jack Bergman,187,,,,
Missaukee,West Branch,U.S. House,1,LIB,Andrew Gale,7,,,,
Missaukee,West Branch,U.S. House,1,WCP,Liz Hakola,3,,,,
Missaukee,Lake City,U.S. House,1,DEM,Callie Barr,150,,,,
Missaukee,Lake City,U.S. House,1,REP,Jack Bergman,227,,,,
Missaukee,Lake City,U.S. House,1,LIB,Andrew Gale,9,,,,
Missaukee,Lake City,U.S. House,1,WCP,Liz Hakola,9,,,,
Missaukee,McBain,U.S. House,1,DEM,Callie Barr,55,,,,
Missaukee,McBain,U.S. House,1,REP,Jack Bergman,218,,,,
Missaukee,McBain,U.S. House,1,LIB,Andrew Gale,4,,,,
Missaukee,McBain,U.S. House,1,WCP,Liz Hakola,6,,,,
Missaukee,EV PCT 1,U.S. House,1,DEM,Callie Barr,269,,,,
Missaukee,EV PCT 1,U.S. House,1,REP,Jack Bergman,1337,,,,
Missaukee,EV PCT 1,U.S. House,1,LIB,Andrew Gale,12,,,,
Missaukee,EV PCT 1,U.S. House,1,WCP,Liz Hakola,12,,,,
