county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Missaukee,Aetna,U.S. Senate,,DEM,Elissa Slotkin,29,,,,
Missaukee,Aetna,U.S. Senate,,REP,Mike Rogers,214,,,,
Missaukee,Aetna,U.S. Senate,,LIB,Joseph Solis-Mullen,1,,,,
Missaukee,Aetna,U.S. Senate,,UST,Dave Stein,1,,,,
Missaukee,Aetna,U.S. Senate,,GRN,Douglas Marsh,0,,,,
Missaukee,Aetna,U.S. Senate,,NLP,Doug Dern,1,,,,
Missaukee,Bloomfield,U.S. Senate,,DEM,Elissa Slotkin,79,,,,
Missaukee,Bloomfield,U.S. Senate,,REP,Mike Rogers,199,,,,
Missaukee,Bloomfield,U.S. Senate,,LIB,Joseph Solis-Mullen,7,,,,
Missaukee,Bloomfield,U.S. Senate,,UST,Dave Stein,0,,,,
Missaukee,Bloomfield,U.S. Senate,,GRN,Douglas Marsh,0,,,,
Missaukee,Bloomfield,U.S. Senate,,NLP,Doug Dern,5,,,,
Missaukee,Butterfield,U.S. Senate,,DEM,Elissa Slotkin,64,,,,
Missaukee,Butterfield,U.S. Senate,,REP,Mike Rogers,202,,,,
Missaukee,Butterfield,U.S. Senate,,LIB,Joseph Solis-Mullen,6,,,,
Missaukee,Butterfield,U.S. Senate,,UST,Dave Stein,3,,,,
Missaukee,Butterfield,U.S. Senate,,GRN,Douglas Marsh,0,,,,
Missaukee,Butterfield,U.S. Senate,,NLP,Doug Dern,1,,,,
Missaukee,Caldwell,U.S. Senate,,DEM,Elissa Slotkin,131,,,,
Missaukee,Caldwell,U.S. Senate,,REP,Mike Rogers,488,,,,
Missaukee,Caldwell,U.S. Senate,,LIB,Joseph Solis-Mullen,13,,,,
Missaukee,Caldwell,U.S. Senate,,UST,Dave Stein,7,,,,
Missaukee,Caldwell,U.S. Senate,,GRN,Douglas Marsh,1,,,,
Missaukee,Caldwell,U.S. Senate,,NLP,Doug Dern,2,,,,
Missaukee,Clam Union,U.S. Senate,,DEM,Elissa Slotkin,49,,,,
Missaukee,Clam Union,U.S. Senate,,REP,Mike Rogers,407,,,,
Missaukee,Clam Union,U.S. Senate,,LIB,Joseph Solis-Mullen,4,,,,
Missaukee,Clam Union,U.S. Senate,,UST,Dave Stein,3,,,,
Missaukee,Clam Union,U.S. Senate,,GRN,Douglas Marsh,1,,,,
Missaukee,Clam Union,U.S. Senate,,NLP,Doug Dern,3,,,,
Missaukee,Enterprise,U.S. Senate,,DEM,Elissa Slotkin,23,,,,
Missaukee,Enterprise,U.S. Senate,,REP,Mike Rogers,64,,,,
Missaukee,Enterprise,U.S. Senate,,LIB,Joseph Solis-Mullen,1,,,,
Missaukee,Enterprise,U.S. Senate,,UST,Dave Stein,1,,,,
Missaukee,Enterprise,U.S. Senate,,GRN,Douglas Marsh,0,,,,
Missaukee,Enterprise,U.S. Senate,,NLP,Doug Dern,1,,,,
Missaukee,Forest,U.S. Senate,,DEM,Elissa Slotkin,126,,,,
Missaukee,Forest,U.S. Senate,,REP,Mike Rogers,356,,,,
Missaukee,Forest,U.S. Senate,,LIB,Joseph Solis-Mullen,7,,,,
Missaukee,Forest,U.S. Senate,,UST,Dave Stein,7,,,,
Missaukee,Forest,U.S. Senate,,GRN,Douglas Marsh,3,,,,
Missaukee,Forest,U.S. Senate,,NLP,Doug Dern,4,,,,
Missaukee,Holland,U.S. Senate,,DEM,Elissa Slotkin,28,,,,
Missaukee,Holland,U.S. Senate,,REP,Mike Rogers,84,,,,
Missaukee,Holland,U.S. Senate,,LIB,Joseph Solis-Mullen,1,,,,
Missaukee,Holland,U.S. Senate,,UST,Dave Stein,1,,,,
Missaukee,Holland,U.S. Senate,,GRN,Douglas Marsh,0,,,,
Missaukee,Holland,U.S. Senate,,NLP,Doug Dern,0,,,,
Missaukee,Lake,U.S. Senate,,DEM,Elissa Slotkin,434,,,,
Missaukee,Lake,U.S. Senate,,REP,Mike Rogers,892,,,,
Missaukee,Lake,U.S. Senate,,LIB,Joseph Solis-Mullen,16,,,,
