county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Mono,01 ANTELOPE,President,,DEM,Joe Biden,210,,,,
Mono,01 ANTELOPE,President,,REP,Donald Trump,301,,,,
Mono,01 ANTELOPE,President,,PFP,Gloria La Riva,1,,,,
Mono,01 ANTELOPE,President,,AIP,Rocky De La Fuente Guerra,0,,,,
Mono,01 ANTELOPE,President,,GRN,Howie Hawkins,1,,,,
Mono,01 ANTELOPE,President,,LIB,Jo Jorgensen,19,,,,
Mono,03 BRIDGEPORT,President,,DEM,Joe Biden,149,,,,
Mono,03 BRIDGEPORT,President,,REP,Donald Trump,223,,,,
Mono,03 BRIDGEPORT,President,,PFP,Gloria La Riva,1,,,,
Mono,03 BRIDGEPORT,President,,AIP,Rocky De La Fuente Guerra,3,,,,
Mono,03 BRIDGEPORT,President,,GRN,Howie Hawkins,2,,,,
Mono,03 BRIDGEPORT,President,,LIB,Jo Jorgensen,6,,,,
Mono,04 TRI-VALLEY,President,,DEM,Joe Biden,234,,,,
Mono,04 TRI-VALLEY,President,,REP,Donald Trump,394,,,,
Mono,04 TRI-VALLEY,President,,PFP,Gloria La Riva,0,,,,
Mono,04 TRI-VALLEY,President,,AIP,Rocky De La Fuente Guerra,2,,,,
Mono,04 TRI-VALLEY,President,,GRN,Howie Hawkins,4,,,,
Mono,04 TRI-VALLEY,President,,LIB,Jo Jorgensen,13,,,,
Mono,05 JUNE LAKE,President,,DEM,Joe Biden,223,,,,
Mono,05 JUNE LAKE,President,,REP,Donald Trump,153,,,,
Mono,05 JUNE LAKE,President,,PFP,Gloria La Riva,0,,,,
Mono,05 JUNE LAKE,President,,AIP,Rocky De La Fuente Guerra,3,,,,
Mono,05 JUNE LAKE,President,,GRN,Howie Hawkins,3,,,,
Mono,05 JUNE LAKE,President,,LIB,Jo Jorgensen,6,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),President,,DEM,Joe Biden,179,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),President,,REP,Donald Trump,76,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),President,,PFP,Gloria La Riva,2,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),President,,AIP,Rocky De La Fuente Guerra,2,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),President,,GRN,Howie Hawkins,2,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),President,,LIB,Jo Jorgensen,7,,,,
Mono,07 LONG VALLEY,President,,DEM,Joe Biden,470,,,,
Mono,07 LONG VALLEY,President,,REP,Donald Trump,305,,,,
Mono,07 LONG VALLEY,President,,PFP,Gloria La Riva,6,,,,
Mono,07 LONG VALLEY,President,,AIP,Rocky De La Fuente Guerra,1,,,,
Mono,07 LONG VALLEY,President,,GRN,Howie Hawkins,4,,,,
Mono,07 LONG VALLEY,President,,LIB,Jo Jorgensen,17,,,,
Mono,08 MAMMOTH MEADOW,President,,DEM,Joe Biden,320,,,,
Mono,08 MAMMOTH MEADOW,President,,REP,Donald Trump,125,,,,
Mono,08 MAMMOTH MEADOW,President,,PFP,Gloria La Riva,0,,,,
Mono,08 MAMMOTH MEADOW,President,,AIP,Rocky De La Fuente Guerra,1,,,,
Mono,08 MAMMOTH MEADOW,President,,GRN,Howie Hawkins,4,,,,
Mono,08 MAMMOTH MEADOW,President,,LIB,Jo Jorgensen,18,,,,
Mono,09 MAMMOTH MINARET,President,,DEM,Joe Biden,587,,,,
Mono,09 MAMMOTH MINARET,President,,REP,Donald Trump,297,,,,
Mono,09 MAMMOTH MINARET,President,,PFP,Gloria La Riva,2,,,,
Mono,09 MAMMOTH MINARET,President,,AIP,Rocky De La Fuente Guerra,3,,,,
Mono,09 MAMMOTH MINARET,President,,GRN,Howie Hawkins,8,,,,
Mono,09 MAMMOTH MINARET,President,,LIB,Jo Jorgensen,11,,,,
Mono,10 MAMMOTH PINECREST,President,,DEM,Joe Biden,443,,,,
Mono,10 MAMMOTH PINECREST,President,,REP,Donald Trump,180,,,,
Mono,10 MAMMOTH PINECREST,President,,PFP,Gloria La Riva,3,,,,
Mono,10 MAMMOTH PINECREST,President,,AIP,Rocky De La Fuente Guerra,1,,,,
Mono,10 MAMMOTH PINECREST,President,,GRN,Howie Hawkins,3,,,,
Mono,10 MAMMOTH PINECREST,President,,LIB,Jo Jorgensen,4,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),President,,DEM,Joe Biden,198,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),President,,REP,Donald Trump,73,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),President,,PFP,Gloria La Riva,0,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),President,,AIP,Rocky De La Fuente Guerra,0,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),President,,GRN,Howie Hawkins,1,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),President,,LIB,Jo Jorgensen,4,,,,
Mono,12 MAMMOTH VIEW,President,,DEM,Joe Biden,619,,,,
Mono,12 MAMMOTH VIEW,President,,REP,Donald Trump,236,,,,
Mono,12 MAMMOTH VIEW,President,,PFP,Gloria La Riva,2,,,,
Mono,12 MAMMOTH VIEW,President,,AIP,Rocky De La Fuente Guerra,8,,,,
Mono,12 MAMMOTH VIEW,President,,GRN,Howie Hawkins,5,,,,
Mono,12 MAMMOTH VIEW,President,,LIB,Jo Jorgensen,9,,,,
Mono,13 OLD MAMMOTH,President,,DEM,Joe Biden,381,,,,
Mono,13 OLD MAMMOTH,President,,REP,Donald Trump,150,,,,
Mono,13 OLD MAMMOTH,President,,PFP,Gloria La Riva,1,,,,
Mono,13 OLD MAMMOTH,President,,AIP,Rocky De La Fuente Guerra,1,,,,
Mono,13 OLD MAMMOTH,President,,GRN,Howie Hawkins,5,,,,
Mono,13 OLD MAMMOTH,President,,LIB,Jo Jorgensen,12,,,,
Mono,01 ANTELOPE,President,,,Write-ins,0,,,,
Mono,03 BRIDGEPORT,President,,,Write-ins,1,,,,
Mono,04 TRI-VALLEY,President,,,Write-ins,0,,,,
Mono,05 JUNE LAKE,President,,,Write-ins,0,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),President,,,Write-ins,0,,,,
Mono,07 LONG VALLEY,President,,,Write-ins,0,,,,
Mono,08 MAMMOTH MEADOW,President,,,Write-ins,0,,,,
Mono,09 MAMMOTH MINARET,President,,,Write-ins,0,,,,
Mono,10 MAMMOTH PINECREST,President,,,Write-ins,0,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),President,,,Write-ins,0,,,,
Mono,12 MAMMOTH VIEW,President,,,Write-ins,0,,,,
Mono,13 OLD MAMMOTH,President,,,Write-ins,0,,,,
