county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Mono,01 ANTELOPE,State Assembly,5,REP,Frank Bigelow,391,,,,
Mono,03 BRIDGEPORT,State Assembly,5,REP,Frank Bigelow,288,,,,
Mono,04 TRI-VALLEY,State Assembly,5,REP,Frank Bigelow,440,,,,
Mono,05 JUNE LAKE,State Assembly,5,REP,Frank Bigelow,216,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),State Assembly,5,REP,Frank Bigelow,142,,,,
Mono,07 LONG VALLEY,State Assembly,5,REP,Frank Bigelow,458,,,,
Mono,08 MAMMOTH MEADOW,State Assembly,5,REP,Frank Bigelow,228,,,,
Mono,09 MAMMOTH MINARET,State Assembly,5,REP,Frank Bigelow,485,,,,
Mono,10 MAMMOTH PINECREST,State Assembly,5,REP,Frank Bigelow,316,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),State Assembly,5,REP,Frank Bigelow,110,,,,
Mono,12 MAMMOTH VIEW,State Assembly,5,REP,Frank Bigelow,421,,,,
Mono,13 OLD MAMMOTH,State Assembly,5,REP,Frank Bigelow,278,,,,
