county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Mono,01 ANTELOPE,U.S. House,8,DEM,Christine Bubser,214,,,,
Mono,01 ANTELOPE,U.S. House,8,REP,Jay Obernolte,312,,,,
Mono,03 BRIDGEPORT,U.S. House,8,DEM,Christine Bubser,145,,,,
Mono,03 BRIDGEPORT,U.S. House,8,REP,Jay Obernolte,233,,,,
Mono,04 TRI-VALLEY,U.S. House,8,DEM,Christine Bubser,242,,,,
Mono,04 TRI-VALLEY,U.S. House,8,REP,Jay Obernolte,383,,,,
Mono,05 JUNE LAKE,U.S. House,8,DEM,Christine Bubser,223,,,,
Mono,05 JUNE LAKE,U.S. House,8,REP,Jay Obernolte,155,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),U.S. House,8,DEM,Christine Bubser,184,,,,
Mono,06 LEE VINING (ALL MAIL BALLOT),U.S. House,8,REP,Jay Obernolte,80,,,,
Mono,07 LONG VALLEY,U.S. House,8,DEM,Christine Bubser,466,,,,
Mono,07 LONG VALLEY,U.S. House,8,REP,Jay Obernolte,328,,,,
Mono,08 MAMMOTH MEADOW,U.S. House,8,DEM,Christine Bubser,315,,,,
Mono,08 MAMMOTH MEADOW,U.S. House,8,REP,Jay Obernolte,136,,,,
Mono,09 MAMMOTH MINARET,U.S. House,8,DEM,Christine Bubser,576,,,,
Mono,09 MAMMOTH MINARET,U.S. House,8,REP,Jay Obernolte,314,,,,
Mono,10 MAMMOTH PINECREST,U.S. House,8,DEM,Christine Bubser,434,,,,
Mono,10 MAMMOTH PINECREST,U.S. House,8,REP,Jay Obernolte,189,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),U.S. House,8,DEM,Christine Bubser,193,,,,
Mono,11 SWALL MEADOWS (ALL MAIL BALLOT),U.S. House,8,REP,Jay Obernolte,84,,,,
Mono,12 MAMMOTH VIEW,U.S. House,8,DEM,Christine Bubser,603,,,,
Mono,12 MAMMOTH VIEW,U.S. House,8,REP,Jay Obernolte,249,,,,
Mono,13 OLD MAMMOTH,U.S. House,8,DEM,Christine Bubser,374,,,,
Mono,13 OLD MAMMOTH,U.S. House,8,REP,Jay Obernolte,170,,,,
