county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Montmorency,"Albert Township, Precinct 1",President,,DEM,Kamala Harris,523,156,36,331,
Montmorency,"Albert Township, Precinct 1",President,,REP,Donald Trump,1173,570,187,416,
Montmorency,"Albert Township, Precinct 1",President,,LIB,Chase Oliver,7,3,1,3,
Montmorency,"Albert Township, Precinct 1",President,,UST,Randall Terry /,1,0,0,1,
Montmorency,"Albert Township, Precinct 1",President,,GRN,Jill Stein,4,3,0,1,
Montmorency,"Albert Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,6,3,0,3,
Montmorency,"Albert Township, Precinct 1",President,,NPA,Joseph Kishore /,2,0,0,2,
Montmorency,"Albert Township, Precinct 1",President,,NPA,Cornel West /,0,0,0,0,
Montmorency,"Avery Township, Precinct 1",President,,DEM,Kamala Harris,105,79,26,0,
Montmorency,"Avery Township, Precinct 1",President,,REP,Donald Trump,321,269,52,0,
Montmorency,"Avery Township, Precinct 1",President,,LIB,Chase Oliver,7,7,0,0,
Montmorency,"Avery Township, Precinct 1",President,,UST,Randall Terry /,2,2,0,0,
Montmorency,"Avery Township, Precinct 1",President,,GRN,Jill Stein,2,2,0,0,
Montmorency,"Avery Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,3,3,0,0,
Montmorency,"Avery Township, Precinct 1",President,,NPA,Joseph Kishore /,1,1,0,0,
Montmorency,"Avery Township, Precinct 1",President,,NPA,Cornel West /,0,0,0,0,
Montmorency,"Briley Township, Precinct 1",President,,DEM,Kamala Harris,299,209,90,0,
Montmorency,"Briley Township, Precinct 1",President,,REP,Donald Trump,884,538,346,0,
Montmorency,"Briley Township, Precinct 1",President,,LIB,Chase Oliver,4,3,1,0,
Montmorency,"Briley Township, Precinct 1",President,,UST,Randall Terry /,0,0,0,0,
Montmorency,"Briley Township, Precinct 1",President,,GRN,Jill Stein,3,3,0,0,
Montmorency,"Briley Township, Precinct 1",President,,NLP,Robert F. Kennedy Jr.,12,10,2,0,
Montmorency,"Briley Township, Precinct 1",President,,NPA,Joseph Kishore /,0,0,0,0,
Montmorency,"Briley Township, Precinct 1",President,,NPA,Cornel West /,0,0,0,0,
Montmorency,"Hillman Township, Precinct 1",President,,DEM,Kamala Harris,316,288,28,0,
Montmorency,"Hillman Township, Precinct 1",President,,REP,Donald Trump,896,774,122,0,
Montmorency,"Hillman Township, Precinct 1",President,,LIB,Chase Oliver,3,2,1,,
