county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Montmorency,"Albert Township, Precinct 1",Straight Party,,DEM,Democraty Party,273,93,17,163,
Montmorency,"Albert Township, Precinct 1",Straight Party,,REP,Republican Party,775,389,133,253,
Montmorency,"Albert Township, Precinct 1",Straight Party,,LIB,Libertarian Party,2,1,1,0,
Montmorency,"Albert Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,1,1,0,0,
Montmorency,"Albert Township, Precinct 1",Straight Party,,GRN,Green Party,1,0,1,0,
Montmorency,"Albert Township, Precinct 1",Straight Party,,WCP,Working Class Party,2,0,0,2,
Montmorency,"Albert Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,0,0,0,
Montmorency,"Avery Township, Precinct 1",Straight Party,,DEM,Democraty Party,59,44,15,0,
Montmorency,"Avery Township, Precinct 1",Straight Party,,REP,Republican Party,178,141,37,0,
Montmorency,"Avery Township, Precinct 1",Straight Party,,LIB,Libertarian Party,3,3,0,0,
Montmorency,"Avery Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,1,1,0,0,
Montmorency,"Avery Township, Precinct 1",Straight Party,,GRN,Green Party,0,0,0,0,
Montmorency,"Avery Township, Precinct 1",Straight Party,,WCP,Working Class Party,2,2,0,0,
Montmorency,"Avery Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,0,0,0,
Montmorency,"Briley Township, Precinct 1",Straight Party,,DEM,Democraty Party,136,94,42,0,
Montmorency,"Briley Township, Precinct 1",Straight Party,,REP,Republican Party,540,317,223,0,
Montmorency,"Briley Township, Precinct 1",Straight Party,,LIB,Libertarian Party,6,4,2,0,
Montmorency,"Briley Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,7,4,3,0,
Montmorency,"Briley Township, Precinct 1",Straight Party,,GRN,Green Party,1,1,0,0,
Montmorency,"Briley Township, Precinct 1",Straight Party,,WCP,Working Class Party,4,2,2,0,
Montmorency,"Briley Township, Precinct 1",Straight Party,,NLP,Natural Law Party,1,1,0,0,
Montmorency,"Hillman Township, Precinct 1",Straight Party,,DEM,Democraty Party,132,118,14,0,
Montmorency,"Hillman Township, Precinct 1",Straight Party,,REP,Republican Party,432,355,77,0,
Montmorency,"Hillman Township, Precinct 1",Straight Party,,LIB,Libertarian Party,5,4,1,0,
Montmorency,"Hillman Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,2,2,0,0,
Montmorency,"Hillman Township, Precinct 1",Straight Party,,GRN,Green Party,1,1,0,0,
Montmorency,"Hillman Township, Precinct 1",Straight Party,,WCP,Working Class Party,3,3,0,0,
Montmorency,"Hillman Township, Precinct 1",Straight Party,,NLP,Natural Law Party,1,1,0,0,
Montmorency,"Loud Township, Precinct 1",Straight Party,,DEM,Democraty Party,24,22,2,0,
Montmorency,"Loud Township, Precinct 1",Straight Party,,REP,Republican Party,98,77,21,0,
Montmorency,"Loud Township, Precinct 1",Straight Party,,LIB,Libertarian Party,1,1,0,0,
Montmorency,"Loud Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Montmorency,"Loud Township, Precinct 1",Straight Party,,GRN,Green Party,0,0,0,0,
Montmorency,"Loud Township, Precinct 1",Straight Party,,WCP,Working Class Party,3,3,0,0,
Montmorency,"Loud Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 1",Straight Party,,DEM,Democraty Party,57,53,4,0,
Montmorency,"Montmorency Township, Precinct 1",Straight Party,,REP,Republican Party,166,143,23,0,
Montmorency,"Montmorency Township, Precinct 1",Straight Party,,LIB,Libertarian Party,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 1",Straight Party,,GRN,Green Party,1,1,0,0,
Montmorency,"Montmorency Township, Precinct 1",Straight Party,,WCP,Working Class Party,1,1,0,0,
Montmorency,"Montmorency Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 2",Straight Party,,DEM,Democraty Party,63,50,13,0,
Montmorency,"Montmorency Township, Precinct 2",Straight Party,,REP,Republican Party,167,112,55,0,
Montmorency,"Montmorency Township, Precinct 2",Straight Party,,LIB,Libertarian Party,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 2",Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 2",Straight Party,,GRN,Green Party,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 2",Straight Party,,WCP,Working Class Party,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 2",Straight Party,,NLP,Natural Law Party,1,1,0,0,
Montmorency,"Rust Township, Precinct 1",Straight Party,,DEM,Democraty Party,35,35,0,0,
Montmorency,"Rust Township, Precinct 1",Straight Party,,REP,Republican Party,148,124,24,0,
Montmorency,"Rust Township, Precinct 1",Straight Party,,LIB,Libertarian Party,0,0,0,0,
Montmorency,"Rust Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0,0,0,0,
