county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Montmorency,"Albert Township, Precinct 1",U.S. House,1,DEM,Callie Barr,491,146,34,311,
Montmorency,"Albert Township, Precinct 1",U.S. House,1,REP,Jack Bergman,1148,541,180,427,
Montmorency,"Albert Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,22,8,4,10,
Montmorency,"Albert Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,27,23,1,3,
Montmorency,"Avery Township, Precinct 1",U.S. House,1,DEM,Callie Barr,103,77,26,0,
Montmorency,"Avery Township, Precinct 1",U.S. House,1,REP,Jack Bergman,306,258,48,0,
Montmorency,"Avery Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,10,10,0,0,
Montmorency,"Avery Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,2,1,1,0,
Montmorency,"Briley Township, Precinct 1",U.S. House,1,DEM,Callie Barr,276,188,88,0,
Montmorency,"Briley Township, Precinct 1",U.S. House,1,REP,Jack Bergman,852,521,331,0,
Montmorency,"Briley Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,18,13,5,0,
Montmorency,"Briley Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,24,17,7,0,
Montmorency,"Hillman Township, Precinct 1",U.S. House,1,DEM,Callie Barr,302,274,28,0,
Montmorency,"Hillman Township, Precinct 1",U.S. House,1,REP,Jack Bergman,858,739,119,0,
Montmorency,"Hillman Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,15,13,2,0,
Montmorency,"Hillman Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,29,28,1,0,
Montmorency,"Loud Township, Precinct 1",U.S. House,1,DEM,Callie Barr,46,41,5,0,
Montmorency,"Loud Township, Precinct 1",U.S. House,1,REP,Jack Bergman,157,132,25,0,
Montmorency,"Loud Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,2,2,0,0,
Montmorency,"Loud Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,3,3,0,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. House,1,DEM,Callie Barr,115,108,7,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. House,1,REP,Jack Bergman,314,271,43,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,5,5,0,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,9,8,1,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. House,1,DEM,Callie Barr,113,97,16,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. House,1,REP,Jack Bergman,285,202,83,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. House,1,LIB,Andrew Gale,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. House,1,WCP,Liz Hakola,5,4,1,0,
Montmorency,"Rust Township, Precinct 1",U.S. House,1,DEM,Callie Barr,73,70,3,0,
Montmorency,"Rust Township, Precinct 1",U.S. House,1,REP,Jack Bergman,247,208,39,0,
Montmorency,"Rust Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,3,3,0,0,
Montmorency,"Rust Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,4,3,1,0,
Montmorency,"Vienna Township, Precinct 1",U.S. House,1,DEM,Callie Barr,97,91,6,0,
Montmorency,"Vienna Township, Precinct 1",U.S. House,1,REP,Jack Bergman,277,239,38,0,
Montmorency,"Vienna Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,4,3,1,0,
Montmorency,"Vienna Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,8,6,2,0,
Montmorency,"Albert Township, Precinct 1",U.S. House,1,,Write-ins,3,2,0,1,
Montmorency,"Avery Township, Precinct 1",U.S. House,1,,Write-ins,0,0,0,0,
Montmorency,"Briley Township, Precinct 1",U.S. House,1,,Write-ins,3,3,0,0,
Montmorency,"Hillman Township, Precinct 1",U.S. House,1,,Write-ins,5,4,1,0,
Montmorency,"Loud Township, Precinct 1",U.S. House,1,,Write-ins,1,0,1,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. House,1,,Write-ins,1,1,0,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. House,1,,Write-ins,0,0,0,0,
Montmorency,"Rust Township, Precinct 1",U.S. House,1,,Write-ins,0,0,0,0,
Montmorency,"Vienna Township, Precinct 1",U.S. House,1,,Write-ins,1,1,0,0,
