county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Montmorency,"Albert Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,509,157,33,319,
Montmorency,"Albert Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,1135,539,183,413,
Montmorency,"Albert Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,19,10,2,7,
Montmorency,"Albert Township, Precinct 1",U.S. Senate,,UST,Dave Stein,13,4,0,9,
Montmorency,"Albert Township, Precinct 1",U.S. Senate,,GRN,Douglas Marsh,3,1,1,1,
Montmorency,"Albert Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,7,7,0,0,
Montmorency,"Avery Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,98,73,25,0,
Montmorency,"Avery Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,310,260,50,0,
Montmorency,"Avery Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,6,6,0,0,
Montmorency,"Avery Township, Precinct 1",U.S. Senate,,UST,Dave Stein,5,4,1,0,
Montmorency,"Avery Township, Precinct 1",U.S. Senate,,GRN,Douglas Marsh,3,3,0,0,
Montmorency,"Avery Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,0,0,0,0,
Montmorency,"Briley Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,287,196,91,0,
Montmorency,"Briley Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,849,514,335,0,
Montmorency,"Briley Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,9,8,1,0,
Montmorency,"Briley Township, Precinct 1",U.S. Senate,,UST,Dave Stein,20,16,4,0,
Montmorency,"Briley Township, Precinct 1",U.S. Senate,,GRN,Douglas Marsh,5,4,1,0,
Montmorency,"Briley Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,5,3,2,0,
Montmorency,"Hillman Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,306,279,27,0,
Montmorency,"Hillman Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,870,748,122,0,
Montmorency,"Hillman Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,13,11,2,0,
Montmorency,"Hillman Township, Precinct 1",U.S. Senate,,UST,Dave Stein,15,14,1,0,
Montmorency,"Hillman Township, Precinct 1",U.S. Senate,,GRN,Douglas Marsh,1,1,0,0,
Montmorency,"Hillman Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,4,4,0,0,
Montmorency,"Loud Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,49,42,7,0,
Montmorency,"Loud Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,149,126,23,0,
Montmorency,"Loud Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,0,0,0,0,
Montmorency,"Loud Township, Precinct 1",U.S. Senate,,UST,Dave Stein,4,4,0,0,
Montmorency,"Loud Township, Precinct 1",U.S. Senate,,GRN,Douglas Marsh,2,2,0,0,
Montmorency,"Loud Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,2,2,0,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,113,107,6,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,329,284,45,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,4,4,0,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. Senate,,UST,Dave Stein,1,1,0,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. Senate,,GRN,Douglas Marsh,1,1,0,0,
Montmorency,"Montmorency Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,1,1,0,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. Senate,,DEM,Elissa Slotkin,122,106,16,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. Senate,,REP,Mike Rogers,276,192,84,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. Senate,,LIB,Joseph Solis-Mullen,0,0,0,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. Senate,,UST,Dave Stein,1,1,0,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. Senate,,GRN,Douglas Marsh,2,2,0,0,
Montmorency,"Montmorency Township, Precinct 2",U.S. Senate,,NLP,Doug Dern,3,3,0,0,
Montmorency,"Rust Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,71,68,3,0,
Montmorency,"Rust Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,256,215,41,0,
Montmorency,"Rust Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,4,4,0,0,
Montmorency,"Rust Township, Precinct 1",U.S. Senate,,UST,Dave Stein,1,1,0,0,
Montmorency,"Rust Township, Precinct 1",U.S. Senate,,GRN,Douglas Marsh,1,1,0,0,
