county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Nevada,CP01,President,,DEM,Joe Biden,92,0,2,89,1
Nevada,CP01,President,,REP,Donald Trump,45,2,2,40,1
Nevada,CP01,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP01,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP01,President,,GRN,Howie Hawkins,0,0,0,0,0
Nevada,CP01,President,,LIB,Jo Jorgensen,0,0,0,0,0
Nevada,CP02,President,,DEM,Joe Biden,398,2,6,387,3
Nevada,CP02,President,,REP,Donald Trump,256,11,9,236,0
Nevada,CP02,President,,PFP,Gloria La Riva,1,0,0,1,0
Nevada,CP02,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP02,President,,GRN,Howie Hawkins,0,0,0,0,0
Nevada,CP02,President,,LIB,Jo Jorgensen,6,1,0,5,0
Nevada,CP03,President,,DEM,Joe Biden,1725,48,56,1604,17
Nevada,CP03,President,,REP,Donald Trump,1095,76,71,929,19
Nevada,CP03,President,,PFP,Gloria La Riva,10,0,0,10,0
Nevada,CP03,President,,AIP,Rocky De La Fuente Guerra,12,1,1,9,1
Nevada,CP03,President,,GRN,Howie Hawkins,21,0,1,17,3
Nevada,CP03,President,,LIB,Jo Jorgensen,35,5,1,28,1
Nevada,CP04,President,,DEM,Joe Biden,17,0,1,16,0
Nevada,CP04,President,,REP,Donald Trump,14,0,3,11,0
Nevada,CP04,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP04,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP04,President,,GRN,Howie Hawkins,0,0,0,0,0
Nevada,CP04,President,,LIB,Jo Jorgensen,2,0,0,1,1
Nevada,CP05,President,,DEM,Joe Biden,3,1,1,1,0
Nevada,CP05,President,,REP,Donald Trump,3,0,0,3,0
Nevada,CP05,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP05,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP05,President,,GRN,Howie Hawkins,0,0,0,0,0
Nevada,CP05,President,,LIB,Jo Jorgensen,0,0,0,0,0
Nevada,CP06,President,,DEM,Joe Biden,540,15,20,502,3
Nevada,CP06,President,,REP,Donald Trump,413,35,46,323,9
Nevada,CP06,President,,PFP,Gloria La Riva,4,0,0,3,1
Nevada,CP06,President,,AIP,Rocky De La Fuente Guerra,6,2,0,3,1
Nevada,CP06,President,,GRN,Howie Hawkins,5,0,0,5,0
Nevada,CP06,President,,LIB,Jo Jorgensen,10,0,1,8,1
Nevada,CP07,President,,DEM,Joe Biden,889,16,27,842,4
Nevada,CP07,President,,REP,Donald Trump,289,17,17,252,3
Nevada,CP07,President,,PFP,Gloria La Riva,5,0,1,4,0
Nevada,CP07,President,,AIP,Rocky De La Fuente Guerra,6,0,0,6,0
Nevada,CP07,President,,GRN,Howie Hawkins,5,0,0,5,0
Nevada,CP07,President,,LIB,Jo Jorgensen,16,2,0,14,0
Nevada,CP08,President,,DEM,Joe Biden,763,8,14,735,6
Nevada,CP08,President,,REP,Donald Trump,169,12,17,138,2
Nevada,CP08,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP08,President,,AIP,Rocky De La Fuente Guerra,4,1,0,3,0
Nevada,CP08,President,,GRN,Howie Hawkins,18,4,0,14,0
Nevada,CP08,President,,LIB,Jo Jorgensen,9,0,0,9,0
Nevada,CP09,President,,DEM,Joe Biden,1904,62,108,1689,45
Nevada,CP09,President,,REP,Donald Trump,487,38,53,380,16
Nevada,CP09,President,,PFP,Gloria La Riva,1,0,0,1,0
Nevada,CP09,President,,AIP,Rocky De La Fuente Guerra,6,0,0,5,1
Nevada,CP09,President,,GRN,Howie Hawkins,20,3,1,16,0
Nevada,CP09,President,,LIB,Jo Jorgensen,33,5,0,25,3
Nevada,CP10,President,,DEM,Joe Biden,1534,65,80,1345,44
Nevada,CP10,President,,REP,Donald Trump,479,34,38,395,12
Nevada,CP10,President,,PFP,Gloria La Riva,5,0,1,3,1
Nevada,CP10,President,,AIP,Rocky De La Fuente Guerra,10,3,0,7,0
Nevada,CP10,President,,GRN,Howie Hawkins,12,3,0,8,1
Nevada,CP10,President,,LIB,Jo Jorgensen,27,1,1,25,0
Nevada,CP11,President,,DEM,Joe Biden,1916,65,70,1740,41
Nevada,CP11,President,,REP,Donald Trump,573,42,46,472,13
Nevada,CP11,President,,PFP,Gloria La Riva,9,0,0,9,0
Nevada,CP11,President,,AIP,Rocky De La Fuente Guerra,9,1,0,8,0
Nevada,CP11,President,,GRN,Howie Hawkins,14,0,1,13,0
Nevada,CP11,President,,LIB,Jo Jorgensen,27,2,2,21,2
Nevada,CP12,President,,DEM,Joe Biden,1467,40,49,1363,15
Nevada,CP12,President,,REP,Donald Trump,429,31,26,365,7
Nevada,CP12,President,,PFP,Gloria La Riva,3,0,0,3,0
Nevada,CP12,President,,AIP,Rocky De La Fuente Guerra,3,0,0,3,0
Nevada,CP12,President,,GRN,Howie Hawkins,12,0,1,11,0
Nevada,CP12,President,,LIB,Jo Jorgensen,30,1,3,26,0
Nevada,CP13,President,,DEM,Joe Biden,622,18,26,568,10
Nevada,CP13,President,,REP,Donald Trump,230,18,22,185,5
Nevada,CP13,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP13,President,,AIP,Rocky De La Fuente Guerra,5,0,0,5,0
Nevada,CP13,President,,GRN,Howie Hawkins,1,0,0,1,0
Nevada,CP13,President,,LIB,Jo Jorgensen,14,2,0,12,0
Nevada,CP14,President,,DEM,Joe Biden,284,8,7,266,3
Nevada,CP14,President,,REP,Donald Trump,272,18,17,235,2
Nevada,CP14,President,,PFP,Gloria La Riva,4,1,0,3,0
Nevada,CP14,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP14,President,,GRN,Howie Hawkins,4,0,0,4,0
Nevada,CP14,President,,LIB,Jo Jorgensen,4,0,0,4,0
Nevada,CP15,President,,DEM,Joe Biden,919,26,28,854,11
Nevada,CP15,President,,REP,Donald Trump,591,38,50,482,21
Nevada,CP15,President,,PFP,Gloria La Riva,6,1,0,4,1
Nevada,CP15,President,,AIP,Rocky De La Fuente Guerra,2,1,0,1,0
Nevada,CP15,President,,GRN,Howie Hawkins,13,0,0,13,0
Nevada,CP15,President,,LIB,Jo Jorgensen,31,3,2,24,2
Nevada,CP16,President,,DEM,Joe Biden,3,0,0,3,0
Nevada,CP16,President,,REP,Donald Trump,3,0,2,1,0
Nevada,CP16,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP16,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP16,President,,GRN,Howie Hawkins,0,0,0,0,0
Nevada,CP16,President,,LIB,Jo Jorgensen,0,0,0,0,0
Nevada,CP17,President,,DEM,Joe Biden,74,1,0,73,0
Nevada,CP17,President,,REP,Donald Trump,72,1,5,65,1
Nevada,CP17,President,,PFP,Gloria La Riva,1,0,0,1,0
Nevada,CP17,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP17,President,,GRN,Howie Hawkins,1,0,0,1,0
Nevada,CP17,President,,LIB,Jo Jorgensen,6,1,0,5,0
Nevada,CP18,President,,DEM,Joe Biden,811,18,17,769,7
Nevada,CP18,President,,REP,Donald Trump,1084,74,106,889,15
Nevada,CP18,President,,PFP,Gloria La Riva,5,0,0,5,0
Nevada,CP18,President,,AIP,Rocky De La Fuente Guerra,6,0,0,6,0
Nevada,CP18,President,,GRN,Howie Hawkins,3,0,1,2,0
Nevada,CP18,President,,LIB,Jo Jorgensen,31,0,2,29,0
Nevada,CP19,President,,DEM,Joe Biden,982,22,31,925,4
Nevada,CP19,President,,REP,Donald Trump,1445,121,103,1208,13
Nevada,CP19,President,,PFP,Gloria La Riva,5,1,0,4,0
Nevada,CP19,President,,AIP,Rocky De La Fuente Guerra,10,0,0,10,0
Nevada,CP19,President,,GRN,Howie Hawkins,11,0,0,10,1
Nevada,CP19,President,,LIB,Jo Jorgensen,32,2,1,28,1
Nevada,CP20,President,,DEM,Joe Biden,639,13,16,602,8
Nevada,CP20,President,,REP,Donald Trump,953,87,75,779,12
Nevada,CP20,President,,PFP,Gloria La Riva,7,0,0,7,0
Nevada,CP20,President,,AIP,Rocky De La Fuente Guerra,5,0,0,5,0
Nevada,CP20,President,,GRN,Howie Hawkins,7,1,0,6,0
Nevada,CP20,President,,LIB,Jo Jorgensen,19,1,0,18,0
Nevada,CP21,President,,DEM,Joe Biden,54,0,4,50,0
Nevada,CP21,President,,REP,Donald Trump,84,3,10,70,1
Nevada,CP21,President,,PFP,Gloria La Riva,2,0,0,2,0
Nevada,CP21,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP21,President,,GRN,Howie Hawkins,1,0,0,1,0
Nevada,CP21,President,,LIB,Jo Jorgensen,3,0,0,3,0
Nevada,CP22,President,,DEM,Joe Biden,91,3,2,86,0
Nevada,CP22,President,,REP,Donald Trump,77,0,5,71,1
Nevada,CP22,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP22,President,,AIP,Rocky De La Fuente Guerra,4,1,0,3,0
Nevada,CP22,President,,GRN,Howie Hawkins,2,0,0,2,0
Nevada,CP22,President,,LIB,Jo Jorgensen,3,0,0,3,0
Nevada,CP23,President,,DEM,Joe Biden,22,0,0,22,0
Nevada,CP23,President,,REP,Donald Trump,19,2,0,17,0
Nevada,CP23,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP23,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP23,President,,GRN,Howie Hawkins,0,0,0,0,0
Nevada,CP23,President,,LIB,Jo Jorgensen,0,0,0,0,0
Nevada,CP24,President,,DEM,Joe Biden,185,2,7,176,0
Nevada,CP24,President,,REP,Donald Trump,228,19,9,198,2
Nevada,CP24,President,,PFP,Gloria La Riva,1,0,0,1,0
Nevada,CP24,President,,AIP,Rocky De La Fuente Guerra,3,0,0,3,0
Nevada,CP24,President,,GRN,Howie Hawkins,3,1,0,2,0
Nevada,CP24,President,,LIB,Jo Jorgensen,9,0,0,9,0
Nevada,CP25,President,,DEM,Joe Biden,99,2,3,93,1
Nevada,CP25,President,,REP,Donald Trump,66,1,4,61,0
Nevada,CP25,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP25,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP25,President,,GRN,Howie Hawkins,0,0,0,0,0
Nevada,CP25,President,,LIB,Jo Jorgensen,5,0,0,5,0
Nevada,CP26,President,,DEM,Joe Biden,360,5,8,345,2
Nevada,CP26,President,,REP,Donald Trump,349,18,21,306,4
Nevada,CP26,President,,PFP,Gloria La Riva,2,0,0,2,0
Nevada,CP26,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP26,President,,GRN,Howie Hawkins,2,0,0,2,0
Nevada,CP26,President,,LIB,Jo Jorgensen,13,0,0,13,0
Nevada,CP27,President,,DEM,Joe Biden,840,24,19,790,7
Nevada,CP27,President,,REP,Donald Trump,1061,52,63,934,12
Nevada,CP27,President,,PFP,Gloria La Riva,4,0,0,4,0
Nevada,CP27,President,,AIP,Rocky De La Fuente Guerra,8,1,0,6,1
Nevada,CP27,President,,GRN,Howie Hawkins,7,0,0,7,0
Nevada,CP27,President,,LIB,Jo Jorgensen,32,0,0,32,0
Nevada,CP28,President,,DEM,Joe Biden,745,14,18,708,5
Nevada,CP28,President,,REP,Donald Trump,835,43,37,749,6
Nevada,CP28,President,,PFP,Gloria La Riva,3,0,0,3,0
Nevada,CP28,President,,AIP,Rocky De La Fuente Guerra,3,0,0,3,0
Nevada,CP28,President,,GRN,Howie Hawkins,9,0,0,9,0
Nevada,CP28,President,,LIB,Jo Jorgensen,20,1,1,18,0
Nevada,CP29,President,,DEM,Joe Biden,642,10,21,608,3
Nevada,CP29,President,,REP,Donald Trump,758,32,37,677,12
Nevada,CP29,President,,PFP,Gloria La Riva,1,0,0,1,0
Nevada,CP29,President,,AIP,Rocky De La Fuente Guerra,3,0,0,3,0
Nevada,CP29,President,,GRN,Howie Hawkins,6,0,0,6,0
Nevada,CP29,President,,LIB,Jo Jorgensen,23,1,1,21,0
Nevada,CP30,President,,DEM,Joe Biden,273,11,7,254,1
Nevada,CP30,President,,REP,Donald Trump,203,9,7,181,6
Nevada,CP30,President,,PFP,Gloria La Riva,1,0,0,1,0
Nevada,CP30,President,,AIP,Rocky De La Fuente Guerra,1,0,0,1,0
Nevada,CP30,President,,GRN,Howie Hawkins,0,0,0,0,0
Nevada,CP30,President,,LIB,Jo Jorgensen,6,0,0,6,0
Nevada,CP31,President,,DEM,Joe Biden,164,4,11,148,1
Nevada,CP31,President,,REP,Donald Trump,229,9,10,207,3
Nevada,CP31,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP31,President,,AIP,Rocky De La Fuente Guerra,1,0,0,1,0
Nevada,CP31,President,,GRN,Howie Hawkins,1,0,0,1,0
Nevada,CP31,President,,LIB,Jo Jorgensen,9,0,0,9,0
Nevada,CP32,President,,DEM,Joe Biden,16,1,0,15,0
Nevada,CP32,President,,REP,Donald Trump,15,0,3,12,0
Nevada,CP32,President,,PFP,Gloria La Riva,0,0,0,0,0
Nevada,CP32,President,,AIP,Rocky De La Fuente Guerra,0,0,0,0,0
Nevada,CP32,President,,GRN,Howie Hawkins,0,0,0,0,0
Nevada,CP32,President,,LIB,Jo Jorgensen,1,0,0,1,0
Nevada,CP33,President,,DEM,Joe Biden,735,21,19,686,9
Nevada,CP33,President,,REP,Donald Trump,1074,75,50,938,11
