county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Nevada,CP09,U.S. House,4,REP,TOM MCCLINTOCK,546,40,55,433,18
Nevada,CP09,U.S. House,4,DEM,BRYNNE S. KENNEDY,1899,65,106,1685,43
Nevada,CP10,U.S. House,4,REP,TOM MCCLINTOCK,527,41,42,431,13
Nevada,CP10,U.S. House,4,DEM,BRYNNE S. KENNEDY,1532,63,79,1346,44
Nevada,CP11,U.S. House,4,REP,TOM MCCLINTOCK,635,48,48,523,16
Nevada,CP11,U.S. House,4,DEM,BRYNNE S. KENNEDY,1895,57,70,1732,36
Nevada,CP12,U.S. House,4,REP,TOM MCCLINTOCK,479,32,26,415,6
Nevada,CP12,U.S. House,4,DEM,BRYNNE S. KENNEDY,1443,38,50,1340,15
Nevada,CP13,U.S. House,4,REP,TOM MCCLINTOCK,241,16,23,198,4
Nevada,CP13,U.S. House,4,DEM,BRYNNE S. KENNEDY,624,21,24,571,8
Nevada,CP77,U.S. House,4,REP,TOM MCCLINTOCK,36,0,0,35,1
Nevada,CP77,U.S. House,4,DEM,BRYNNE S. KENNEDY,30,1,0,28,1
Nevada,CP78,U.S. House,4,REP,TOM MCCLINTOCK,11,0,1,10,0
Nevada,CP78,U.S. House,4,DEM,BRYNNE S. KENNEDY,50,0,0,50,0
Nevada,CP79,U.S. House,4,REP,TOM MCCLINTOCK,3,0,0,3,0
Nevada,CP79,U.S. House,4,DEM,BRYNNE S. KENNEDY,5,0,1,4,0
Nevada,CP80,U.S. House,4,REP,TOM MCCLINTOCK,13,0,0,12,1
Nevada,CP80,U.S. House,4,DEM,BRYNNE S. KENNEDY,13,0,2,10,1
Nevada,CP110,U.S. House,4,REP,TOM MCCLINTOCK,4,0,0,3,1
Nevada,CP110,U.S. House,4,DEM,BRYNNE S. KENNEDY,17,1,0,16,0
