county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Ontonagon,"Bergland Township, Precinct 1",President,,DEM,Kamala D. Harris,102,,,,
Ontonagon,"Bergland Township, Precinct 1",President,,REP,Donald J. Trump,215,,,,
Ontonagon,"Bohemia Township, Precinct 1",President,,DEM,Kamala D. Harris,19,,,,
Ontonagon,"Bohemia Township, Precinct 1",President,,REP,Donald J. Trump,27,,,,
Ontonagon,"Carp Lake Township, Precinct 1",President,,DEM,Kamala D. Harris,152,,,,
Ontonagon,"Carp Lake Township, Precinct 1",President,,REP,Donald J. Trump,230,,,,
Ontonagon,"Greenland Township, Precinct 1",President,,DEM,Kamala D. Harris,130,,,,
Ontonagon,"Greenland Township, Precinct 1",President,,REP,Donald J. Trump,283,,,,
Ontonagon,"Haight Township, Precinct 1",President,,DEM,Kamala D. Harris,54,,,,
Ontonagon,"Haight Township, Precinct 1",President,,REP,Donald J. Trump,78,,,,
Ontonagon,"Interior Township, Precinct 1",President,,DEM,Kamala D. Harris,60,,,,
Ontonagon,"Interior Township, Precinct 1",President,,REP,Donald J. Trump,130,,,,
Ontonagon,"Matchwood Township, Precinct 1",President,,DEM,Kamala D. Harris,24,,,,
Ontonagon,"Matchwood Township, Precinct 1",President,,REP,Donald J. Trump,38,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,DEM,Kamala D. Harris,105,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,REP,Donald J. Trump,176,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,DEM,Kamala D. Harris,495,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,REP,Donald J. Trump,915,,,,
Ontonagon,"Rockland Township, Precinct 1",President,,DEM,Kamala D. Harris,37,,,,
Ontonagon,"Rockland Township, Precinct 1",President,,REP,Donald J. Trump,97,,,,
Ontonagon,"Stannard Township, Precinct 1",President,,DEM,Kamala D. Harris,135,,,,
Ontonagon,"Stannard Township, Precinct 1",President,,REP,Donald J. Trump,290,,,,
Ontonagon,"Bergland Township, Precinct 1",President,,LIB,Chase Oliver,1,,,,
Ontonagon,"Bergland Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"Bergland Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Ontonagon,"Bergland Township, Precinct 1",President,,NLP,Robert F. Kennedy,4,,,,
Ontonagon,"Bergland Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"Bergland Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",President,,LIB,Chase Oliver,2,,,,
Ontonagon,"Bohemia Township, Precinct 1",President,,UST,Randall Terry,1,,,,
Ontonagon,"Bohemia Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",President,,NLP,Robert F. Kennedy,1,,,,
Ontonagon,"Bohemia Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"Carp Lake Township, Precinct 1",President,,LIB,Chase Oliver,2,,,,
Ontonagon,"Carp Lake Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"Carp Lake Township, Precinct 1",President,,GRN,Jill Stein,1,,,,
Ontonagon,"Carp Lake Township, Precinct 1",President,,NLP,Robert F. Kennedy,2,,,,
Ontonagon,"Carp Lake Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"Carp Lake Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"Greenland Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Ontonagon,"Greenland Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"Greenland Township, Precinct 1",President,,GRN,Jill Stein,2,,,,
Ontonagon,"Greenland Township, Precinct 1",President,,NLP,Robert F. Kennedy,4,,,,
Ontonagon,"Greenland Township, Precinct 1",President,,,Joseph Kishore,1,,,,
Ontonagon,"Greenland Township, Precinct 1",President,,,Cornel West,1,,,,
Ontonagon,"Haight Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Ontonagon,"Haight Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"Haight Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Ontonagon,"Haight Township, Precinct 1",President,,NLP,Robert F. Kennedy,0,,,,
Ontonagon,"Haight Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"Haight Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"Interior Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Ontonagon,"Interior Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"Interior Township, Precinct 1",President,,GRN,Jill Stein,2,,,,
Ontonagon,"Interior Township, Precinct 1",President,,NLP,Robert F. Kennedy,0,,,,
Ontonagon,"Interior Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"Interior Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",President,,NLP,Robert F. Kennedy,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,NLP,Robert F. Kennedy,1,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,LIB,Chase Oliver,7,,,,
