county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Ontonagon,"Bergland Township, Precinct 1",Straight Party,,DEM,Democratic Party,49,,,,
Ontonagon,"Bergland Township, Precinct 1",Straight Party,,REP,Republican Party,99,,,,
Ontonagon,"Bohemia Township, Precinct 1",Straight Party,,DEM,Democratic Party,5,,,,
Ontonagon,"Bohemia Township, Precinct 1",Straight Party,,REP,Republican Party,17,,,,
Ontonagon,"Carp Lake Township, Precinct 1",Straight Party,,DEM,Democratic Party,72,,,,
Ontonagon,"Carp Lake Township, Precinct 1",Straight Party,,REP,Republican Party,120,,,,
Ontonagon,"Greenland Township, Precinct 1",Straight Party,,DEM,Democratic Party,62,,,,
Ontonagon,"Greenland Township, Precinct 1",Straight Party,,REP,Republican Party,124,,,,
Ontonagon,"Haight Township, Precinct 1",Straight Party,,DEM,Democratic Party,23,,,,
Ontonagon,"Haight Township, Precinct 1",Straight Party,,REP,Republican Party,39,,,,
Ontonagon,"Interior Township, Precinct 1",Straight Party,,DEM,Democratic Party,25,,,,
Ontonagon,"Interior Township, Precinct 1",Straight Party,,REP,Republican Party,63,,,,
Ontonagon,"Matchwood Township, Precinct 1",Straight Party,,DEM,Democratic Party,11,,,,
Ontonagon,"Matchwood Township, Precinct 1",Straight Party,,REP,Republican Party,13,,,,
Ontonagon,"McMillan Township, Precinct 1",Straight Party,,DEM,Democratic Party,46,,,,
Ontonagon,"McMillan Township, Precinct 1",Straight Party,,REP,Republican Party,92,,,,
Ontonagon,"Ontonagon Township, Precinct 1",Straight Party,,DEM,Democratic Party,217,,,,
Ontonagon,"Ontonagon Township, Precinct 1",Straight Party,,REP,Republican Party,414,,,,
Ontonagon,"Rockland Township, Precinct 1",Straight Party,,DEM,Democratic Party,12,,,,
Ontonagon,"Rockland Township, Precinct 1",Straight Party,,REP,Republican Party,42,,,,
Ontonagon,"Stannard Township, Precinct 1",Straight Party,,DEM,Democratic Party,48,,,,
Ontonagon,"Stannard Township, Precinct 1",Straight Party,,REP,Republican Party,174,,,,
Ontonagon,"Bergland Township, Precinct 1",Straight Party,,LIB,Libertarian Party,0,,,,
Ontonagon,"Bergland Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,1,,,,
Ontonagon,"Bergland Township, Precinct 1",Straight Party,,GRN,Green Party,0,,,,
Ontonagon,"Bergland Township, Precinct 1",Straight Party,,WCP,Working Class Party,0,,,,
Ontonagon,"Bergland Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",Straight Party,,LIB,Libertarian Party,1,,,,
Ontonagon,"Bohemia Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",Straight Party,,GRN,Green Party,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",Straight Party,,WCP,Working Class Party,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,,,,
Ontonagon,"Carp Lake Township, Precinct 1",Straight Party,,LIB,Libertarian Party,1,,,,
Ontonagon,"Carp Lake Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,1,,,,
Ontonagon,"Carp Lake Township, Precinct 1",Straight Party,,GRN,Green Party,0,,,,
Ontonagon,"Carp Lake Township, Precinct 1",Straight Party,,WCP,Working Class Party,2,,,,
Ontonagon,"Carp Lake Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,,,,
Ontonagon,"Greenland Township, Precinct 1",Straight Party,,LIB,Libertarian Party,0,,,,
Ontonagon,"Greenland Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,1,,,,
Ontonagon,"Greenland Township, Precinct 1",Straight Party,,GRN,Green Party,0,,,,
Ontonagon,"Greenland Township, Precinct 1",Straight Party,,WCP,Working Class Party,2,,,,
Ontonagon,"Greenland Township, Precinct 1",Straight Party,,NLP,Natural Law Party,1,,,,
Ontonagon,"Haight Township, Precinct 1",Straight Party,,LIB,Libertarian Party,0,,,,
Ontonagon,"Haight Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Ontonagon,"Haight Township, Precinct 1",Straight Party,,GRN,Green Party,0,,,,
Ontonagon,"Haight Township, Precinct 1",Straight Party,,WCP,Working Class Party,2,,,,
Ontonagon,"Haight Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,,,,
Ontonagon,"Interior Township, Precinct 1",Straight Party,,LIB,Libertarian Party,0,,,,
Ontonagon,"Interior Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Ontonagon,"Interior Township, Precinct 1",Straight Party,,GRN,Green Party,0,,,,
Ontonagon,"Interior Township, Precinct 1",Straight Party,,WCP,Working Class Party,0,,,,
Ontonagon,"Interior Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",Straight Party,,LIB,Libertarian Party,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",Straight Party,,GRN,Green Party,0,,,,
