county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Ontonagon,"Bergland Township, Precinct 1",U.S. House,1,DEM,Callie Barr,97,,,,
Ontonagon,"Bergland Township, Precinct 1",U.S. House,1,REP,Jack Bergman,220,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. House,1,DEM,Callie Barr,18,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. House,1,REP,Jack Bergman,26,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. House,1,DEM,Callie Barr,148,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. House,1,REP,Jack Bergman,232,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. House,1,DEM,Callie Barr,132,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. House,1,REP,Jack Bergman,273,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. House,1,DEM,Callie Barr,53,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. House,1,REP,Jack Bergman,74,,,,
Ontonagon,"Interior Township, Precinct 1",U.S. House,1,DEM,Callie Barr,63,,,,
Ontonagon,"Interior Township, Precinct 1",U.S. House,1,REP,Jack Bergman,125,,,,
Ontonagon,"Matchwood Township, Precinct 1",U.S. House,1,DEM,Callie Barr,24,,,,
Ontonagon,"Matchwood Township, Precinct 1",U.S. House,1,REP,Jack Bergman,35,,,,
Ontonagon,"McMillan Township, Precinct 1",U.S. House,1,DEM,Callie Barr,104,,,,
Ontonagon,"McMillan Township, Precinct 1",U.S. House,1,REP,Jack Bergman,169,,,,
Ontonagon,"Ontonagon Township, Precinct 1",U.S. House,1,DEM,Callie Barr,469,,,,
Ontonagon,"Ontonagon Township, Precinct 1",U.S. House,1,REP,Jack Bergman,895,,,,
Ontonagon,"Rockland Township, Precinct 1",U.S. House,1,DEM,Callie Barr,38,,,,
Ontonagon,"Rockland Township, Precinct 1",U.S. House,1,REP,Jack Bergman,93,,,,
Ontonagon,"Stannard Township, Precinct 1",U.S. House,1,DEM,Callie Barr,128,,,,
Ontonagon,"Stannard Township, Precinct 1",U.S. House,1,REP,Jack Bergman,283,,,,
Ontonagon,"Bergland Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,0,,,,
Ontonagon,"Bergland Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,2,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,2,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,4,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,4,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,4,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,2,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,12,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,1,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,0,,,,
Ontonagon,"Interior Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,1,,,,
Ontonagon,"Interior Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,2,,,,
Ontonagon,"Matchwood Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,0,,,,
Ontonagon,"McMillan Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,2,,,,
Ontonagon,"McMillan Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,5,,,,
Ontonagon,"Ontonagon Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,18,,,,
Ontonagon,"Ontonagon Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,20,,,,
Ontonagon,"Rockland Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,2,,,,
Ontonagon,"Rockland Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,0,,,,
Ontonagon,"Stannard Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,6,,,,
Ontonagon,"Stannard Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,9,,,,
Ontonagon,"Bergland Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,
Ontonagon,"Interior Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",U.S. House,1,,Write-ins,1,,,,
Ontonagon,"McMillan Township, Precinct 1",U.S. House,1,,Write-ins,1,,,,
Ontonagon,"Ontonagon Township, Precinct 1",U.S. House,1,,Write-ins,1,,,,
Ontonagon,"Rockland Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,
Ontonagon,"Stannard Township, Precinct 1",U.S. House,1,,Write-ins,0,,,,
