county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Ontonagon,"Bergland Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,93,,,,
Ontonagon,"Bergland Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,213,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,18,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,28,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,149,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,222,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,121,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,278,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,53,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,73,,,,
Ontonagon,"Interior Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,59,,,,
Ontonagon,"Interior Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,126,,,,
Ontonagon,"Matchwood Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,22,,,,
Ontonagon,"Matchwood Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,34,,,,
Ontonagon,"McMillan Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,103,,,,
Ontonagon,"McMillan Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,170,,,,
Ontonagon,"Ontonagon Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,482,,,,
Ontonagon,"Ontonagon Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,881,,,,
Ontonagon,"Rockland Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,42,,,,
Ontonagon,"Rockland Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,86,,,,
Ontonagon,"Stannard Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,137,,,,
Ontonagon,"Stannard Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,276,,,,
Ontonagon,"Bergland Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,2,,,,
Ontonagon,"Bergland Township, Precinct 1",U.S. Senate,,UST,Dave Stein,3,,,,
Ontonagon,"Bergland Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,1,,,,
Ontonagon,"Bergland Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,2,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,2,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. Senate,,UST,Dave Stein,2,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,0,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,7,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. Senate,,UST,Dave Stein,6,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,0,,,,
Ontonagon,"Carp Lake Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,0,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,3,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. Senate,,UST,Dave Stein,4,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,1,,,,
Ontonagon,"Greenland Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,6,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,0,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. Senate,,UST,Dave Stein,0,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,1,,,,
Ontonagon,"Haight Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,2,,,,
