county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Oscoda,"Big Creek Township, Precinct 1",President,,DEM,Kamala D. Harris,222,172,50,,
Oscoda,"Big Creek Township, Precinct 1",President,,REP,Donald J. Trump,543,331,212,,
Oscoda,"Big Creek Township, Precinct 1",President,,LIB,Chase Oliver,2,2,0,,
Oscoda,"Big Creek Township, Precinct 1",President,,UST,Randall Terry,1,0,1,,
Oscoda,"Big Creek Township, Precinct 1",President,,GRN,Jill Stein,0,0,0,,
Oscoda,"Big Creek Township, Precinct 1",President,,NLP,"Robert F. Kennedy, Jr.",3,2,1,,
Oscoda,"Big Creek Township, Precinct 1",President,,,Joseph Kishore,0,0,0,,
Oscoda,"Big Creek Township, Precinct 1",President,,,Cornel West,1,1,0,,
Oscoda,"Big Creek Township, Precinct 1",President,,,Write-ins,0,0,0,,
Oscoda,"Big Creek Township, Precinct 2",President,,DEM,Kamala D. Harris,261,201,60,,
Oscoda,"Big Creek Township, Precinct 2",President,,REP,Donald J. Trump,688,401,287,,
Oscoda,"Big Creek Township, Precinct 2",President,,LIB,Chase Oliver,3,3,0,,
Oscoda,"Big Creek Township, Precinct 2",President,,UST,Randall Terry,1,1,0,,
Oscoda,"Big Creek Township, Precinct 2",President,,GRN,Jill Stein,2,2,0,,
Oscoda,"Big Creek Township, Precinct 2",President,,NLP,"Robert F. Kennedy, Jr.",4,4,0,,
Oscoda,"Big Creek Township, Precinct 2",President,,,Joseph Kishore,0,0,0,,
Oscoda,"Big Creek Township, Precinct 2",President,,,Cornel West,0,0,0,,
Oscoda,"Big Creek Township, Precinct 2",President,,,Write-ins,1,1,0,,
Oscoda,"Clinton Township, Precinct 1",President,,DEM,Kamala D. Harris,78,70,8,,
Oscoda,"Clinton Township, Precinct 1",President,,REP,Donald J. Trump,232,198,34,,
Oscoda,"Clinton Township, Precinct 1",President,,LIB,Chase Oliver,0,0,0,,
Oscoda,"Clinton Township, Precinct 1",President,,UST,Randall Terry,0,0,0,,
Oscoda,"Clinton Township, Precinct 1",President,,GRN,Jill Stein,0,0,0,,
Oscoda,"Clinton Township, Precinct 1",President,,NLP,"Robert F. Kennedy, Jr.",3,3,0,,
Oscoda,"Clinton Township, Precinct 1",President,,,Joseph Kishore,0,0,0,,
Oscoda,"Clinton Township, Precinct 1",President,,,Cornel West,0,0,0,,
Oscoda,"Clinton Township, Precinct 1",President,,,Write-ins,1,1,0,,
Oscoda,"Comins Township, Precinct 1",President,,DEM,Kamala D. Harris,253,225,28,,
Oscoda,"Comins Township, Precinct 1",President,,REP,Donald J. Trump,812,687,125,,
Oscoda,"Comins Township, Precinct 1",President,,LIB,Chase Oliver,3,3,0,,
