county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Oscoda,"Big Creek Township, Precinct 1",U.S. House,1,DEM,Callie Barr,216,166,50,,
Oscoda,"Big Creek Township, Precinct 1",U.S. House,1,REP,Jack Bergman,509,308,201,,
Oscoda,"Big Creek Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,10,6,4,,
Oscoda,"Big Creek Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,19,14,5,,
Oscoda,"Big Creek Township, Precinct 1",U.S. House,1,,Write-ins,2,1,1,,
Oscoda,"Big Creek Township, Precinct 2",U.S. House,1,DEM,Callie Barr,244,180,64,,
Oscoda,"Big Creek Township, Precinct 2",U.S. House,1,REP,Jack Bergman,643,381,262,,
Oscoda,"Big Creek Township, Precinct 2",U.S. House,1,LIB,Andrew Gale,19,13,6,,
Oscoda,"Big Creek Township, Precinct 2",U.S. House,1,WCP,Liz Hakola,25,19,6,,
Oscoda,"Big Creek Township, Precinct 2",U.S. House,1,,Write-ins,7,7,0,,
Oscoda,"Clinton Township, Precinct 1",U.S. House,1,DEM,Callie Barr,76,67,9,,
Oscoda,"Clinton Township, Precinct 1",U.S. House,1,REP,Jack Bergman,217,185,32,,
Oscoda,"Clinton Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,3,3,0,,
Oscoda,"Clinton Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,4,3,1,,
Oscoda,"Clinton Township, Precinct 1",U.S. House,1,,Write-ins,1,1,0,,
Oscoda,"Comins Township, Precinct 1",U.S. House,1,DEM,Callie Barr,247,219,28,,
Oscoda,"Comins Township, Precinct 1",U.S. House,1,REP,Jack Bergman,780,662,118,,
Oscoda,"Comins Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,19,16,3,,
Oscoda,"Comins Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,19,18,1,,
Oscoda,"Comins Township, Precinct 1",U.S. House,1,,Write-ins,2,2,0,,
Oscoda,"Elmer Township, Precinct 1",U.S. House,1,DEM,Callie Barr,120,101,19,,
Oscoda,"Elmer Township, Precinct 1",U.S. House,1,REP,Jack Bergman,322,256,66,,
Oscoda,"Elmer Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,3,3,0,,
Oscoda,"Elmer Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,7,5,2,,
Oscoda,"Elmer Township, Precinct 1",U.S. House,1,,Write-ins,0,0,0,,
Oscoda,"Greenwood Township, Precinct 1",U.S. House,1,DEM,Callie Barr,231,220,11,,
Oscoda,"Greenwood Township, Precinct 1",U.S. House,1,REP,Jack Bergman,559,486,73,,
Oscoda,"Greenwood Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,9,9,0,,
Oscoda,"Greenwood Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,11,11,0,,
Oscoda,"Greenwood Township, Precinct 1",U.S. House,1,,Write-ins,1,1,0,,
Oscoda,"Mentor Township, Precinct 1",U.S. House,1,DEM,Callie Barr,226,183,43,,
Oscoda,"Mentor Township, Precinct 1",U.S. House,1,REP,Jack Bergman,486,366,120,,
Oscoda,"Mentor Township, Precinct 1",U.S. House,1,LIB,Andrew Gale,12,9,3,,
Oscoda,"Mentor Township, Precinct 1",U.S. House,1,WCP,Liz Hakola,16,13,3,,
Oscoda,"Mentor Township, Precinct 1",U.S. House,1,,Write-ins,3,1,2,,
