county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Plumas,01 - Chilcoot,President,,DEM,Joseph R Biden,41,,,,
Plumas,01 - Chilcoot,President,,REP,Donald J Trump,212,,,,
Plumas,01 - Chilcoot,President,,PEF,La Riva,1,,,,
Plumas,01 - Chilcoot,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,01 - Chilcoot,President,,GRN,Howie Hawkins,2,,,,
Plumas,02 Beckwourth,President,,DEM,Joseph R Biden,117,,,,
Plumas,02 Beckwourth,President,,REP,Donald J Trump,279,,,,
Plumas,02 Beckwourth,President,,PEF,La Riva,0,,,,
Plumas,02 Beckwourth,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,02 Beckwourth,President,,GRN,Howie Hawkins,0,,,,
Plumas,03- Cromberg,President,,DEM,Joseph R Biden,94,,,,
Plumas,03- Cromberg,President,,REP,Donald J Trump,104,,,,
Plumas,03- Cromberg,President,,PEF,La Riva,1,,,,
Plumas,03- Cromberg,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,03- Cromberg,President,,GRN,Howie Hawkins,0,,,,
Plumas,04 - La Porte,President,,DEM,Joseph R Biden,6,,,,
Plumas,04 - La Porte,President,,REP,Donald J Trump,11,,,,
Plumas,04 - La Porte,President,,PEF,La Riva,0,,,,
Plumas,04 - La Porte,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,04 - La Porte,President,,GRN,Howie Hawkins,0,,,,
Plumas,05 - Blackhawk,President,,DEM,Joseph R Biden,104,,,,
Plumas,05 - Blackhawk,President,,REP,Donald J Trump,77,,,,
Plumas,05 - Blackhawk,President,,PEF,La Riva,0,,,,
Plumas,05 - Blackhawk,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,05 - Blackhawk,President,,GRN,Howie Hawkins,0,,,,
Plumas,06 - Keddie,President,,DEM,Joseph R Biden,55,,,,
Plumas,06 - Keddie,President,,REP,Donald J Trump,18,,,,
Plumas,06 - Keddie,President,,PEF,La Riva,0,,,,
Plumas,06 - Keddie,President,,AIP,De La Fuente Guerra,2,,,,
Plumas,06 - Keddie,President,,GRN,Howie Hawkins,1,,,,
Plumas,07 - Twain,President,,DEM,Joseph R Biden,55,,,,
Plumas,07 - Twain,President,,REP,Donald J Trump,37,,,,
Plumas,07 - Twain,President,,PEF,La Riva,2,,,,
Plumas,07 - Twain,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,07 - Twain,President,,GRN,Howie Hawkins,0,,,,
Plumas,08 - Belden,President,,DEM,Joseph R Biden,27,,,,
Plumas,08 - Belden,President,,REP,Donald J Trump,23,,,,
Plumas,08 - Belden,President,,PEF,La Riva,0,,,,
Plumas,08 - Belden,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,08 - Belden,President,,GRN,Howie Hawkins,1,,,,
Plumas,09 - Canyon Dam,President,,DEM,Joseph R Biden,6,,,,
Plumas,09 - Canyon Dam,President,,REP,Donald J Trump,18,,,,
Plumas,09 - Canyon Dam,President,,PEF,La Riva,0,,,,
Plumas,09 - Canyon Dam,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,09 - Canyon Dam,President,,GRN,Howie Hawkins,0,,,,
Plumas,10- Portola City S,President,,DEM,Joseph R Biden,165,,,,
Plumas,10- Portola City S,President,,REP,Donald J Trump,184,,,,
Plumas,10- Portola City S,President,,AIP,De La Fuente Guerra,2,,,,
Plumas,10- Portola City S,President,,GRN,Howie Hawkins,1,,,,
Plumas,11 - Portola City N,President,,DEM,Joseph R Biden,217,,,,
Plumas,11 - Portola City N,President,,REP,Donald J Trump,338,,,,
Plumas,11 - Portola City N,President,,PEF,La Riva,1,,,,
Plumas,11 - Portola City N,President,,AIP,De La Fuente Guerra,2,,,,
Plumas,11 - Portola City N,President,,GRN,Howie Hawkins,4,,,,
Plumas,12 Portola Unincorporated,President,,DEM,Joseph R Biden,150,,,,
Plumas,12 Portola Unincorporated,President,,REP,Donald J Trump,274,,,,
Plumas,12 Portola Unincorporated,President,,PEF,La Riva,2,,,,
Plumas,12 Portola Unincorporated,President,,AIP,De La Fuente Guerra,1,,,,
Plumas,12 Portola Unincorporated,President,,GRN,Howie Hawkins,2,,,,
Plumas,13 - Graeagle,President,,DEM,Joseph R Biden,362,,,,
Plumas,13 - Graeagle,President,,REP,Donald J Trump,446,,,,
Plumas,13 - Graeagle,President,,PEF,La Riva,2,,,,
Plumas,13 - Graeagle,President,,AIP,De La Fuente Guerra,3,,,,
Plumas,13 - Graeagle,President,,GRN,Howie Hawkins,1,,,,
Plumas,14 - Mohawk Vista,President,,DEM,Joseph R Biden,345,,,,
Plumas,14 - Mohawk Vista,President,,REP,Donald J Trump,464,,,,
Plumas,14 - Mohawk Vista,President,,PEF,La Riva,1,,,,
Plumas,14 - Mohawk Vista,President,,AIP,De La Fuente Guerra,1,,,,
Plumas,14 - Mohawk Vista,President,,GRN,Howie Hawkins,3,,,,
Plumas,15 Meadow Valley,President,,DEM,Joseph R Biden,132,,,,
Plumas,15 Meadow Valley,President,,REP,Donald J Trump,180,,,,
Plumas,15 Meadow Valley,President,,PEF,La Riva,2,,,,
Plumas,15 Meadow Valley,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,15 Meadow Valley,President,,GRN,Howie Hawkins,1,,,,
Plumas,16 - Pioneer,President,,DEM,Joseph R Biden,253,,,,
Plumas,16 - Pioneer,President,,REP,Donald J Trump,312,,,,
Plumas,16 - Pioneer,President,,PEF,La Riva,3,,,,
Plumas,16 - Pioneer,President,,AIP,De La Fuente Guerra,2,,,,
Plumas,16 - Pioneer,President,,GRN,Howie Hawkins,2,,,,
Plumas,17 East Quincy,President,,DEM,Joseph R Biden,305,,,,
Plumas,17 East Quincy,President,,REP,Donald J Trump,412,,,,
Plumas,17 East Quincy,President,,PEF,La Riva,0,,,,
Plumas,17 East Quincy,President,,AIP,De La Fuente Guerra,2,,,,
Plumas,17 East Quincy,President,,GRN,Howie Hawkins,2,,,,
Plumas,18 - Greenhorn,President,,DEM,Joseph R Biden,217,,,,
Plumas,18 - Greenhorn,President,,REP,Donald J Trump,230,,,,
Plumas,18 - Greenhorn,President,,PEF,La Riva,3,,,,
Plumas,18 - Greenhorn,President,,AIP,De La Fuente Guerra,2,,,,
Plumas,18 - Greenhorn,President,,GRN,Howie Hawkins,2,,,,
Plumas,19 American Valley West,President,,DEM,Joseph R Biden,146,,,,
Plumas,19 American Valley West,President,,REP,Donald J Trump,151,,,,
Plumas,19 American Valley West,President,,PEF,La Riva,1,,,,
Plumas,19 American Valley West,President,,AIP,De La Fuente Guerra,3,,,,
Plumas,19 American Valley West,President,,GRN,Howie Hawkins,1,,,,
Plumas,20 Quincy Downtown,President,,DEM,Joseph R Biden,250,,,,
Plumas,20 Quincy Downtown,President,,REP,Donald J Trump,203,,,,
Plumas,20 Quincy Downtown,President,,PEF,La Riva,1,,,,
Plumas,20 Quincy Downtown,President,,AIP,De La Fuente Guerra,2,,,,
Plumas,20 Quincy Downtown,President,,GRN,Howie Hawkins,4,,,,
Plumas,21 Quincy Uptown,President,,DEM,Joseph R Biden,270,,,,
Plumas,21 Quincy Uptown,President,,REP,Donald J Trump,148,,,,
Plumas,21 Quincy Uptown,President,,PEF,La Riva,0,,,,
Plumas,21 Quincy Uptown,President,,AIP,De La Fuente Guerra,1,,,,
Plumas,21 Quincy Uptown,President,,GRN,Howie Hawkins,2,,,,
Plumas,22 - Crescent Mills,President,,DEM,Joseph R Biden,54,,,,
Plumas,22 - Crescent Mills,President,,REP,Donald J Trump,95,,,,
Plumas,22 - Crescent Mills,President,,PEF,La Riva,0,,,,
Plumas,22 - Crescent Mills,President,,AIP,De La Fuente Guerra,1,,,,
Plumas,22 - Crescent Mills,President,,GRN,Howie Hawkins,0,,,,
Plumas,23 - Taylorsville,President,,DEM,Joseph R Biden,184,,,,
Plumas,23 - Taylorsville,President,,REP,Donald J Trump,230,,,,
Plumas,23 - Taylorsville,President,,PEF,La Riva,1,,,,
Plumas,23 - Taylorsville,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,23 - Taylorsville,President,,GRN,Howie Hawkins,1,,,,
Plumas,24 Greenville Downtown,President,,DEM,Joseph R Biden,76,,,,
Plumas,24 Greenville Downtown,President,,REP,Donald J Trump,102,,,,
Plumas,24 Greenville Downtown,President,,PEF,La Riva,0,,,,
Plumas,24 Greenville Downtown,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,24 Greenville Downtown,President,,GRN,Howie Hawkins,1,,,,
Plumas,25 Greenville Outlying,President,,DEM,Joseph R Biden,217,,,,
Plumas,25 Greenville Outlying,President,,REP,Donald J Trump,333,,,,
Plumas,25 Greenville Outlying,President,,PEF,La Riva,3,,,,
Plumas,25 Greenville Outlying,President,,AIP,De La Fuente Guerra,2,,,,
Plumas,25 Greenville Outlying,President,,GRN,Howie Hawkins,6,,,,
Plumas,26 - Hamilton Branch,President,,DEM,Joseph R Biden,134,,,,
Plumas,26 - Hamilton Branch,President,,REP,Donald J Trump,295,,,,
Plumas,26 - Hamilton Branch,President,,PEF,La Riva,0,,,,
Plumas,26 - Hamilton Branch,President,,AIP,De La Fuente Guerra,2,,,,
Plumas,26 - Hamilton Branch,President,,GRN,Howie Hawkins,0,,,,
Plumas,27 - Chester Central,President,,DEM,Joseph R Biden,218,,,,
Plumas,27 - Chester Central,President,,REP,Donald J Trump,454,,,,
Plumas,27 - Chester Central,President,,PEF,La Riva,0,,,,
Plumas,27 - Chester Central,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,27 - Chester Central,President,,GRN,Howie Hawkins,1,,,,
Plumas,28 - Chester Outlying,President,,DEM,Joseph R Biden,188,,,,
Plumas,28 - Chester Outlying,President,,REP,Donald J Trump,451,,,,
Plumas,28 - Chester Outlying,President,,PEF,La Riva,3,,,,
Plumas,28 - Chester Outlying,President,,AIP,De La Fuente Guerra,3,,,,
Plumas,28 - Chester Outlying,President,,GRN,Howie Hawkins,1,,,,
Plumas,29 - Lake Almanor,President,,DEM,Joseph R Biden,173,,,,
Plumas,29 - Lake Almanor,President,,REP,Donald J Trump,364,,,,
Plumas,29 - Lake Almanor,President,,PEF,La Riva,0,,,,
Plumas,29 - Lake Almanor,President,,AIP,De La Fuente Guerra,0,,,,
Plumas,29 - Lake Almanor,President,,GRN,Howie Hawkins,0,,,,
Plumas,01 - Chilcoot,President,,LIB,Jo Jorgensen,4,,,,
Plumas,02 Beckwourth,President,,LIB,Jo Jorgensen,5,,,,
Plumas,03- Cromberg,President,,LIB,Jo Jorgensen,4,,,,
Plumas,04 - La Porte,President,,LIB,Jo Jorgensen,0,,,,
Plumas,05 - Blackhawk,President,,LIB,Jo Jorgensen,5,,,,
Plumas,06 - Keddie,President,,LIB,Jo Jorgensen,2,,,,
Plumas,07 - Twain,President,,LIB,Jo Jorgensen,4,,,,
Plumas,08 - Belden,President,,LIB,Jo Jorgensen,0,,,,
Plumas,09 - Canyon Dam,President,,LIB,Jo Jorgensen,0,,,,
Plumas,10- Portola City S,President,,LIB,Jo Jorgensen,10,,,,
Plumas,11 - Portola City N,President,,LIB,Jo Jorgensen,6,,,,
Plumas,12 Portola Unincorporated,President,,LIB,Jo Jorgensen,8,,,,
Plumas,13 - Graeagle,President,,LIB,Jo Jorgensen,10,,,,
Plumas,14 - Mohawk Vista,President,,LIB,Jo Jorgensen,4,,,,
