county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Plumas,01 Chilcoot,U.S. House,1,REP,Doug La Malfa,214,,,,
Plumas,01 Chilcoot,U.S. House,1,DEM,Audrey Denney,46,,,,
Plumas,02 Beckwourth,U.S. House,1,REP,Doug La Malfa,274,,,,
Plumas,02 Beckwourth,U.S. House,1,DEM,Audrey Denney,124,,,,
Plumas,03- Cromberg,U.S. House,1,REP,Doug La Malfa,116,,,,
Plumas,03- Cromberg,U.S. House,1,DEM,Audrey Denney,84,,,,
Plumas,04 La Porte,U.S. House,1,REP,Doug La Malfa,10,,,,
Plumas,04 La Porte,U.S. House,1,DEM,Audrey Denney,7,,,,
Plumas,05 Blackhawk,U.S. House,1,REP,Doug La Malfa,83,,,,
Plumas,05 Blackhawk,U.S. House,1,DEM,Audrey Denney,104,,,,
Plumas,06 Keddie,U.S. House,1,REP,Doug La Malfa,19,,,,
Plumas,06 Keddie,U.S. House,1,DEM,Audrey Denney,61,,,,
Plumas,07 Twain,U.S. House,1,REP,Doug La Malfa,40,,,,
Plumas,07 Twain,U.S. House,1,DEM,Audrey Denney,60,,,,
Plumas,08 Belden,U.S. House,1,REP,Doug La Malfa,23,,,,
Plumas,08 Belden,U.S. House,1,DEM,Audrey Denney,28,,,,
Plumas,09 Canyon Dam,U.S. House,1,REP,Doug La Malfa,19,,,,
Plumas,09 Canyon Dam,U.S. House,1,DEM,Audrey Denney,5,,,,
Plumas,10 - Portola City S,U.S. House,1,REP,Doug La Malfa,177,,,,
Plumas,10 - Portola City S,U.S. House,1,DEM,Audrey Denney,179,,,,
Plumas,11 - Portola City N,U.S. House,1,REP,Doug La Malfa,323,,,,
Plumas,11 - Portola City N,U.S. House,1,DEM,Audrey Denney,238,,,,
Plumas,12 - Portola Unincorporated,U.S. House,1,REP,Doug La Malfa,278,,,,
Plumas,12 - Portola Unincorporated,U.S. House,1,DEM,Audrey Denney,157,,,,
Plumas,13 Graeagle,U.S. House,1,REP,Doug La Malfa,471,,,,
Plumas,13 Graeagle,U.S. House,1,DEM,Audrey Denney,360,,,,
Plumas,14 - Mohawk Vista,U.S. House,1,REP,Doug La Malfa,479,,,,
Plumas,14 - Mohawk Vista,U.S. House,1,DEM,Audrey Denney,342,,,,
Plumas,15 - Meadow Valley,U.S. House,1,REP,Doug La Malfa,177,,,,
Plumas,15 - Meadow Valley,U.S. House,1,DEM,Audrey Denney,143,,,,
Plumas,16 Pioneer,U.S. House,1,REP,Doug La Malfa,307,,,,
Plumas,16 Pioneer,U.S. House,1,DEM,Audrey Denney,283,,,,
Plumas,17 East Quincy,U.S. House,1,REP,Doug La Malfa,418,,,,
Plumas,17 East Quincy,U.S. House,1,DEM,Audrey Denney,319,,,,
Plumas,18 Greenhorn,U.S. House,1,REP,Doug La Malfa,247,,,,
Plumas,18 Greenhorn,U.S. House,1,DEM,Audrey Denney,218,,,,
Plumas,19 - American Valley West,U.S. House,1,REP,Doug La Malfa,154,,,,
Plumas,19 - American Valley West,U.S. House,1,DEM,Audrey Denney,155,,,,
Plumas,20 - Quincy Downtown,U.S. House,1,REP,Doug La Malfa,196,,,,
Plumas,20 - Quincy Downtown,U.S. House,1,DEM,Audrey Denney,264,,,,
Plumas,21 - Quincy Uptown,U.S. House,1,REP,Doug La Malfa,148,,,,
Plumas,21 - Quincy Uptown,U.S. House,1,DEM,Audrey Denney,275,,,,
Plumas,22 - Crescent Mills,U.S. House,1,REP,Doug La Malfa,94,,,,
Plumas,22 - Crescent Mills,U.S. House,1,DEM,Audrey Denney,56,,,,
Plumas,23 Taylorsville,U.S. House,1,REP,Doug La Malfa,237,,,,
Plumas,23 Taylorsville,U.S. House,1,DEM,Audrey Denney,189,,,,
Plumas,24 - Greenville Downtown,U.S. House,1,REP,Doug La Malfa,101,,,,
Plumas,24 - Greenville Downtown,U.S. House,1,DEM,Audrey Denney,78,,,,
Plumas,25 - Greenville Outlying,U.S. House,1,REP,Doug La Malfa,335,,,,
Plumas,25 - Greenville Outlying,U.S. House,1,DEM,Audrey Denney,245,,,,
Plumas,26 - Hamilton Branch,U.S. House,1,REP,Doug La Malfa,307,,,,
Plumas,26 - Hamilton Branch,U.S. House,1,DEM,Audrey Denney,132,,,,
Plumas,27 - Chester Central,U.S. House,1,REP,Doug La Malfa,462,,,,
Plumas,27 - Chester Central,U.S. House,1,DEM,Audrey Denney,220,,,,
Plumas,28 - Chester Outlying,U.S. House,1,REP,Doug La Malfa,455,,,,
Plumas,28 - Chester Outlying,U.S. House,1,DEM,Audrey Denney,199,,,,
Plumas,29 - Lake Almanor,U.S. House,1,REP,Doug La Malfa,377,,,,
Plumas,29 - Lake Almanor,U.S. House,1,DEM,Audrey Denney,166,,,,
Plumas,01 Chilcoot,U.S. House,1,,Write-ins,0,,,,
Plumas,02 Beckwourth,U.S. House,1,,Write-ins,0,,,,
Plumas,03- Cromberg,U.S. House,1,,Write-ins,0,,,,
Plumas,04 La Porte,U.S. House,1,,Write-ins,0,,,,
Plumas,05 Blackhawk,U.S. House,1,,Write-ins,0,,,,
Plumas,06 Keddie,U.S. House,1,,Write-ins,0,,,,
Plumas,07 Twain,U.S. House,1,,Write-ins,0,,,,
Plumas,08 Belden,U.S. House,1,,Write-ins,0,,,,
Plumas,09 Canyon Dam,U.S. House,1,,Write-ins,0,,,,
Plumas,10 - Portola City S,U.S. House,1,,Write-ins,0,,,,
Plumas,11 - Portola City N,U.S. House,1,,Write-ins,0,,,,
Plumas,12 - Portola Unincorporated,U.S. House,1,,Write-ins,0,,,,
Plumas,13 Graeagle,U.S. House,1,,Write-ins,0,,,,
Plumas,14 - Mohawk Vista,U.S. House,1,,Write-ins,0,,,,
Plumas,15 - Meadow Valley,U.S. House,1,,Write-ins,0,,,,
Plumas,16 Pioneer,U.S. House,1,,Write-ins,0,,,,
Plumas,17 East Quincy,U.S. House,1,,Write-ins,0,,,,
Plumas,18 Greenhorn,U.S. House,1,,Write-ins,0,,,,
Plumas,19 - American Valley West,U.S. House,1,,Write-ins,0,,,,
Plumas,20 - Quincy Downtown,U.S. House,1,,Write-ins,0,,,,
Plumas,21 - Quincy Uptown,U.S. House,1,,Write-ins,0,,,,
Plumas,22 - Crescent Mills,U.S. House,1,,Write-ins,0,,,,
Plumas,23 Taylorsville,U.S. House,1,,Write-ins,0,,,,
Plumas,24 - Greenville Downtown,U.S. House,1,,Write-ins,0,,,,
Plumas,25 - Greenville Outlying,U.S. House,1,,Write-ins,0,,,,
Plumas,26 - Hamilton Branch,U.S. House,1,,Write-ins,0,,,,
Plumas,27 - Chester Central,U.S. House,1,,Write-ins,0,,,,
Plumas,28 - Chester Outlying,U.S. House,1,,Write-ins,0,,,,
Plumas,29 - Lake Almanor,U.S. House,1,,Write-ins,0,,,,
